Geneid	locus	condition	avg.z
gene-SYNPCC7002_RS00180	SYNPCC7002_A0036	4	-0.8219126177112319
gene-SYNPCC7002_RS00180	SYNPCC7002_A0036	8	-0.8878103205857688
gene-SYNPCC7002_RS00180	SYNPCC7002_A0036	30	0.2315609808090024
gene-SYNPCC7002_RS00185	SYNPCC7002_A0037	0.04	-1.6381228260947884
gene-SYNPCC7002_RS00185	SYNPCC7002_A0037	4	0.44217968181294875
gene-SYNPCC7002_RS00185	SYNPCC7002_A0037	8	0.5726707763411133
gene-SYNPCC7002_RS00185	SYNPCC7002_A0037	30	0.6232723679407257
gene-SYNPCC7002_RS00190	SYNPCC7002_A0038	0.04	-1.5678831047978279
gene-SYNPCC7002_RS00190	SYNPCC7002_A0038	4	0.2917477629431625
gene-SYNPCC7002_RS00190	SYNPCC7002_A0038	8	0.4005595345389768
gene-SYNPCC7002_RS00190	SYNPCC7002_A0038	30	0.8755758073156895
gene-SYNPCC7002_RS00195	SYNPCC7002_A0039	0.04	-1.617472951828055
gene-SYNPCC7002_RS00195	SYNPCC7002_A0039	4	0.35137660679463045
gene-SYNPCC7002_RS00195	SYNPCC7002_A0039	8	0.6499543216284458
gene-SYNPCC7002_RS00195	SYNPCC7002_A0039	30	0.6161420234049756
gene-SYNPCC7002_RS00205	SYNPCC7002_A0040	0.04	1.2755793408168568
gene-SYNPCC7002_RS00205	SYNPCC7002_A0040	4	-0.9719079084679999
gene-SYNPCC7002_RS00205	SYNPCC7002_A0040	8	-0.847523310667882
gene-SYNPCC7002_RS00205	SYNPCC7002_A0040	30	0.5438518783190261
gene-SYNPCC7002_RS00210	SYNPCC7002_A0041	0.04	1.2698757845681372
gene-SYNPCC7002_RS00210	SYNPCC7002_A0041	4	-0.2576717273406669
gene-SYNPCC7002_RS00210	SYNPCC7002_A0041	8	-1.2104028881695952
gene-SYNPCC7002_RS00210	SYNPCC7002_A0041	30	0.19819883094211674
gene-SYNPCC7002_RS00215	SYNPCC7002_A0042	0.04	-1.6656079482598205
gene-SYNPCC7002_RS00215	SYNPCC7002_A0042	4	0.3987078949077247
gene-SYNPCC7002_RS00215	SYNPCC7002_A0042	8	0.6082601165181436
gene-SYNPCC7002_RS00215	SYNPCC7002_A0042	30	0.6586399368339524
gene-SYNPCC7002_RS00220	SYNPCC7002_A0043	0.04	1.1246971074486445
gene-SYNPCC7002_RS00220	SYNPCC7002_A0043	4	-0.7784115297915433
gene-SYNPCC7002_RS00220	SYNPCC7002_A0043	8	-1.093577819648773
gene-SYNPCC7002_RS00220	SYNPCC7002_A0043	30	0.7472922419916728
gene-SYNPCC7002_RS00225	SYNPCC7002_A0044	0.04	-1.3529882961574173
gene-SYNPCC7002_RS00225	SYNPCC7002_A0044	4	0.44944857561498386
gene-SYNPCC7002_RS00225	SYNPCC7002_A0044	8	0.7003034092041561
gene-SYNPCC7002_RS00225	SYNPCC7002_A0044	30	0.2032363113382844
gene-SYNPCC7002_RS00230	SYNPCC7002_A0045	0.04	1.629737530873267
gene-SYNPCC7002_RS00230	SYNPCC7002_A0045	4	-0.5451993651236521
gene-SYNPCC7002_RS00230	SYNPCC7002_A0045	8	-0.7744646339995911
gene-SYNPCC7002_RS00230	SYNPCC7002_A0045	30	-0.3100735317500195
gene-SYNPCC7002_RS00235	SYNPCC7002_A0046	0.04	1.5329641060905432
gene-SYNPCC7002_RS00235	SYNPCC7002_A0046	4	-0.3601259599274426
gene-SYNPCC7002_RS00235	SYNPCC7002_A0046	8	-0.6701946500422274
gene-SYNPCC7002_RS00235	SYNPCC7002_A0046	30	-0.5026434961208794
gene-SYNPCC7002_RS00240	SYNPCC7002_A0047	0.04	1.5829540642067637
gene-SYNPCC7002_RS00240	SYNPCC7002_A0047	4	-0.3309278743515666
gene-SYNPCC7002_RS00240	SYNPCC7002_A0047	8	-0.8324353711829751
gene-SYNPCC7002_RS00240	SYNPCC7002_A0047	30	-0.41959081867221676
gene-SYNPCC7002_RS00245	SYNPCC7002_A0048	0.04	1.6028826739014987
gene-SYNPCC7002_RS00245	SYNPCC7002_A0048	4	-0.4809629126665878
gene-SYNPCC7002_RS00245	SYNPCC7002_A0048	8	-0.8857696545323486
gene-SYNPCC7002_RS00245	SYNPCC7002_A0048	30	-0.2361501067025615
gene-SYNPCC7002_RS00250	SYNPCC7002_A0049	0.04	1.6147597139949221
gene-SYNPCC7002_RS00250	SYNPCC7002_A0049	4	-0.35998207679887495
gene-SYNPCC7002_RS00250	SYNPCC7002_A0049	8	-0.6154583948055561
gene-SYNPCC7002_RS00250	SYNPCC7002_A0049	30	-0.6393192423904968
gene-SYNPCC7002_RS00255	SYNPCC7002_A0050	0.04	-1.4820066408124632
gene-SYNPCC7002_RS00255	SYNPCC7002_A0050	4	0.1554409012257096
gene-SYNPCC7002_RS00255	SYNPCC7002_A0050	8	0.16751058415820588
gene-SYNPCC7002_RS00255	SYNPCC7002_A0050	30	1.15905515542855
gene-SYNPCC7002_RS00260	SYNPCC7002_A0051	0.04	-1.6301782329266097
gene-SYNPCC7002_RS00260	SYNPCC7002_A0051	4	0.40659627131070636
gene-SYNPCC7002_RS00260	SYNPCC7002_A0051	8	0.5249484222886033
gene-SYNPCC7002_RS00260	SYNPCC7002_A0051	30	0.6986335393273068
gene-SYNPCC7002_RS00265	SYNPCC7002_A0052	0.04	-1.576230951765566
gene-SYNPCC7002_RS00265	SYNPCC7002_A0052	4	0.687476544291132
gene-SYNPCC7002_RS00265	SYNPCC7002_A0052	8	0.8370092757744684
gene-SYNPCC7002_RS00265	SYNPCC7002_A0052	30	0.051745131699963365
gene-SYNPCC7002_RS00270	SYNPCC7002_A0053	0.04	-1.5315949264703943
gene-SYNPCC7002_RS00270	SYNPCC7002_A0053	4	0.7469156989246564
gene-SYNPCC7002_RS00270	SYNPCC7002_A0053	8	0.838250304589367
gene-SYNPCC7002_RS00270	SYNPCC7002_A0053	30	-0.05357107704363065
gene-SYNPCC7002_RS00275	SYNPCC7002_A0054	0.04	0.7519722858686041
gene-SYNPCC7002_RS00275	SYNPCC7002_A0054	4	-0.8369412583237682
gene-SYNPCC7002_RS00275	SYNPCC7002_A0054	8	-0.6447406390872045
gene-SYNPCC7002_RS00275	SYNPCC7002_A0054	30	0.7297096115423665
gene-SYNPCC7002_RS00280	SYNPCC7002_A0055	0.04	1.5227937127083846
gene-SYNPCC7002_RS00280	SYNPCC7002_A0055	4	-0.6766209170041204
gene-SYNPCC7002_RS00280	SYNPCC7002_A0055	8	-0.7706168969607186
gene-SYNPCC7002_RS00280	SYNPCC7002_A0055	30	-0.07555589874355197
gene-SYNPCC7002_RS00285	SYNPCC7002_A0056	0.04	1.5425974790165304
gene-SYNPCC7002_RS00285	SYNPCC7002_A0056	4	-0.7166308081772179
gene-SYNPCC7002_RS00285	SYNPCC7002_A0056	8	-0.7178099266745974
gene-SYNPCC7002_RS00285	SYNPCC7002_A0056	30	-0.10815674416470812
gene-SYNPCC7002_RS00290	SYNPCC7002_A0057	0.04	1.6190984920747398
gene-SYNPCC7002_RS00290	SYNPCC7002_A0057	4	-0.6620559499137025
gene-SYNPCC7002_RS00290	SYNPCC7002_A0057	8	-0.7468677131494084
gene-SYNPCC7002_RS00290	SYNPCC7002_A0057	30	-0.2101748290116287
gene-SYNPCC7002_RS00295	SYNPCC7002_A0058	0.04	0.9388154815963597
gene-SYNPCC7002_RS00295	SYNPCC7002_A0058	4	-1.129469970470349
gene-SYNPCC7002_RS00295	SYNPCC7002_A0058	8	0.014194656382893488
gene-SYNPCC7002_RS00295	SYNPCC7002_A0058	30	0.17645983249108455
gene-SYNPCC7002_RS00300	SYNPCC7002_A0059	0.04	1.1146661881865227
gene-SYNPCC7002_RS00300	SYNPCC7002_A0059	4	-0.661712678271187
gene-SYNPCC7002_RS00300	SYNPCC7002_A0059	8	-0.21652035951708073
gene-SYNPCC7002_RS00300	SYNPCC7002_A0059	30	-0.2364331503982597
gene-SYNPCC7002_RS00305	SYNPCC7002_A0060	0.04	-1.587954319733007
gene-SYNPCC7002_RS00305	SYNPCC7002_A0060	4	0.7444516848640599
gene-SYNPCC7002_RS00305	SYNPCC7002_A0060	8	0.6508589413403623
gene-SYNPCC7002_RS00305	SYNPCC7002_A0060	30	0.19264369352858476
gene-SYNPCC7002_RS00310	SYNPCC7002_A0061	0.04	1.025036254928685
gene-SYNPCC7002_RS00310	SYNPCC7002_A0061	4	-1.1359436977070383
gene-SYNPCC7002_RS00310	SYNPCC7002_A0061	8	-0.6132473810811996
gene-SYNPCC7002_RS00310	SYNPCC7002_A0061	30	0.7241548238595623
gene-SYNPCC7002_RS00315	SYNPCC7002_A0062	0.04	1.0543171821918784
gene-SYNPCC7002_RS00315	SYNPCC7002_A0062	4	-0.9145463498764872
gene-SYNPCC7002_RS00315	SYNPCC7002_A0062	8	-0.8516130751297293
gene-SYNPCC7002_RS00315	SYNPCC7002_A0062	30	0.7118422428143414
gene-SYNPCC7002_RS00320	SYNPCC7002_A0063	0.04	0.08275180604012086
gene-SYNPCC7002_RS00320	SYNPCC7002_A0063	4	-0.3538147714161252
gene-SYNPCC7002_RS00320	SYNPCC7002_A0063	8	-0.8305790240802566
gene-SYNPCC7002_RS00320	SYNPCC7002_A0063	30	1.1016419894562492
gene-SYNPCC7002_RS00325	SYNPCC7002_A0064	0.04	1.5992283638188267
gene-SYNPCC7002_RS00325	SYNPCC7002_A0064	4	-0.1875008899895615
gene-SYNPCC7002_RS00325	SYNPCC7002_A0064	8	-0.5308531395585361
gene-SYNPCC7002_RS00325	SYNPCC7002_A0064	30	-0.8808743342707338
gene-SYNPCC7002_RS00330	SYNPCC7002_A0065	0.04	0.32473041974953504
gene-SYNPCC7002_RS00330	SYNPCC7002_A0065	4	-0.5256558401287803
gene-SYNPCC7002_RS00330	SYNPCC7002_A0065	8	-0.46423093328348575
gene-SYNPCC7002_RS00330	SYNPCC7002_A0065	30	0.6651563536627517
gene-SYNPCC7002_RS00335	SYNPCC7002_A0066	0.04	-1.123570792202059
gene-SYNPCC7002_RS00335	SYNPCC7002_A0066	4	0.7686359362083981
gene-SYNPCC7002_RS00335	SYNPCC7002_A0066	8	0.7000882021570777
gene-SYNPCC7002_RS00335	SYNPCC7002_A0066	30	-0.34515334616340476
gene-SYNPCC7002_RS00340	SYNPCC7002_A0067	0.04	0.18183700442656786
gene-SYNPCC7002_RS00340	SYNPCC7002_A0067	4	-0.6628242251697005
gene-SYNPCC7002_RS00340	SYNPCC7002_A0067	8	0.7253533684682731
gene-SYNPCC7002_RS00340	SYNPCC7002_A0067	30	-0.24436614772511867
gene-SYNPCC7002_RS00345	SYNPCC7002_A0068	0.04	-1.555397913852923
gene-SYNPCC7002_RS00345	SYNPCC7002_A0068	4	0.771872090250614
gene-SYNPCC7002_RS00345	SYNPCC7002_A0068	8	0.7581049736373033
gene-SYNPCC7002_RS00345	SYNPCC7002_A0068	30	0.025420849965005723
gene-SYNPCC7002_RS00350	SYNPCC7002_A0069	0.04	-1.6093285817972323
gene-SYNPCC7002_RS00350	SYNPCC7002_A0069	4	0.7117298285497923
gene-SYNPCC7002_RS00350	SYNPCC7002_A0069	8	0.5596287244308684
gene-SYNPCC7002_RS00350	SYNPCC7002_A0069	30	0.3379700288165702
gene-SYNPCC7002_RS00355	SYNPCC7002_A0070	0.04	-1.5644353775227193
gene-SYNPCC7002_RS00355	SYNPCC7002_A0070	4	0.691483758896962
gene-SYNPCC7002_RS00355	SYNPCC7002_A0070	8	0.7689495270542906
gene-SYNPCC7002_RS00355	SYNPCC7002_A0070	30	0.10400209157146224
gene-SYNPCC7002_RS00360	SYNPCC7002_A0071	0.04	-1.5786174604806935
gene-SYNPCC7002_RS00360	SYNPCC7002_A0071	4	0.45188611939132395
gene-SYNPCC7002_RS00360	SYNPCC7002_A0071	8	0.7250384670799379
gene-SYNPCC7002_RS00360	SYNPCC7002_A0071	30	0.40169287400943177
gene-SYNPCC7002_RS00365	SYNPCC7002_A0072	0.04	-1.3656804076195512
gene-SYNPCC7002_RS00365	SYNPCC7002_A0072	4	0.5905974871068169
gene-SYNPCC7002_RS00365	SYNPCC7002_A0072	8	1.070086521381961
gene-SYNPCC7002_RS00365	SYNPCC7002_A0072	30	-0.2950036008692222
gene-SYNPCC7002_RS00370	SYNPCC7002_A0073	0.04	-1.5393867574653664
gene-SYNPCC7002_RS00370	SYNPCC7002_A0073	4	0.810227456871918
gene-SYNPCC7002_RS00370	SYNPCC7002_A0073	8	0.7434569036034732
gene-SYNPCC7002_RS00370	SYNPCC7002_A0073	30	-0.014297603010025441
gene-SYNPCC7002_RS00375	SYNPCC7002_A0074	0.04	-1.2624478637530105
gene-SYNPCC7002_RS00375	SYNPCC7002_A0074	4	0.0037502722100801883
gene-SYNPCC7002_RS00375	SYNPCC7002_A0074	8	-0.15275027135984492
gene-SYNPCC7002_RS00375	SYNPCC7002_A0074	30	1.4114478629027711
gene-SYNPCC7002_RS00380	SYNPCC7002_A0075	0.04	-1.3072998425495594
gene-SYNPCC7002_RS00380	SYNPCC7002_A0075	4	0.10740204298950483
gene-SYNPCC7002_RS00380	SYNPCC7002_A0075	8	-0.19436691980986306
gene-SYNPCC7002_RS00380	SYNPCC7002_A0075	30	1.3942647193699187
gene-SYNPCC7002_RS00385	SYNPCC7002_A0076	0.04	1.5277939500363276
gene-SYNPCC7002_RS00385	SYNPCC7002_A0076	4	-0.8579935812575853
gene-SYNPCC7002_RS00385	SYNPCC7002_A0076	8	-0.7637488151839571
gene-SYNPCC7002_RS00385	SYNPCC7002_A0076	30	0.09394844640521534
gene-SYNPCC7002_RS00390	SYNPCC7002_A0078	0.04	0.3831752784004481
gene-SYNPCC7002_RS00390	SYNPCC7002_A0078	4	-0.8239486107803126
gene-SYNPCC7002_RS00390	SYNPCC7002_A0078	8	-0.8200564340616227
gene-SYNPCC7002_RS00390	SYNPCC7002_A0078	30	1.2608297664414811
gene-SYNPCC7002_RS00395	SYNPCC7002_A0079	0.04	1.497624912297482
gene-SYNPCC7002_RS00395	SYNPCC7002_A0079	4	-0.1622223814098916
gene-SYNPCC7002_RS00395	SYNPCC7002_A0079	8	-0.28361697314879436
gene-SYNPCC7002_RS00395	SYNPCC7002_A0079	30	-1.0517855577387927
gene-SYNPCC7002_RS00405	SYNPCC7002_A0081	0.04	0.9701807331280636
gene-SYNPCC7002_RS00405	SYNPCC7002_A0081	4	0.3076319608798779
gene-SYNPCC7002_RS00405	SYNPCC7002_A0081	8	-0.1802949689130989
gene-SYNPCC7002_RS00405	SYNPCC7002_A0081	30	-1.0975177250948402
gene-SYNPCC7002_RS00410	SYNPCC7002_A0082	0.04	0.040801968297113494
gene-SYNPCC7002_RS00410	SYNPCC7002_A0082	4	0.49413564657354103
gene-SYNPCC7002_RS00410	SYNPCC7002_A0082	8	0.7145010696039426
gene-SYNPCC7002_RS00410	SYNPCC7002_A0082	30	-1.2494386844745806
gene-SYNPCC7002_RS00415	SYNPCC7002_A0083	0.04	-0.3772755408522337
gene-SYNPCC7002_RS00415	SYNPCC7002_A0083	4	0.4566698019705081
gene-SYNPCC7002_RS00415	SYNPCC7002_A0083	8	0.7513930953287664
gene-SYNPCC7002_RS00415	SYNPCC7002_A0083	30	-0.8307873564470546
gene-SYNPCC7002_RS00420	SYNPCC7002_A0084	0.04	-0.5767143322185808
gene-SYNPCC7002_RS00420	SYNPCC7002_A0084	4	-0.3937681650107919
gene-SYNPCC7002_RS00420	SYNPCC7002_A0084	8	0.2883397579878927
gene-SYNPCC7002_RS00420	SYNPCC7002_A0084	30	0.6821427392415004
gene-SYNPCC7002_RS00425	SYNPCC7002_A0085	0.04	-1.2451115834693958
gene-SYNPCC7002_RS00425	SYNPCC7002_A0085	4	0.5960076924953289
gene-SYNPCC7002_RS00425	SYNPCC7002_A0085	8	0.20913394727894302
gene-SYNPCC7002_RS00425	SYNPCC7002_A0085	30	0.43996994369513265
gene-SYNPCC7002_RS00430	SYNPCC7002_A0086	0.04	-1.1340501114070403
gene-SYNPCC7002_RS00430	SYNPCC7002_A0086	4	-0.2946611994204853
gene-SYNPCC7002_RS00430	SYNPCC7002_A0086	8	0.07223537265798197
gene-SYNPCC7002_RS00430	SYNPCC7002_A0086	30	1.3564759381695513
gene-SYNPCC7002_RS00435	SYNPCC7002_A0087	0.04	-0.158188830325407
gene-SYNPCC7002_RS00435	SYNPCC7002_A0087	4	-0.6004997239573344
gene-SYNPCC7002_RS00435	SYNPCC7002_A0087	8	-0.8350556650921759
gene-SYNPCC7002_RS00435	SYNPCC7002_A0087	30	1.5937442193749174
gene-SYNPCC7002_RS00440	SYNPCC7002_A0088	0.04	-0.10347774717716651
gene-SYNPCC7002_RS00440	SYNPCC7002_A0088	4	-1.0485030699569133
gene-SYNPCC7002_RS00440	SYNPCC7002_A0088	8	-0.10952500158802983
gene-SYNPCC7002_RS00440	SYNPCC7002_A0088	30	1.2615058187221033
gene-SYNPCC7002_RS00445	SYNPCC7002_A0089	0.04	0.015175165450007688
gene-SYNPCC7002_RS00445	SYNPCC7002_A0089	4	-0.26957748074218524
gene-SYNPCC7002_RS00445	SYNPCC7002_A0089	8	-0.7988276752473445
gene-SYNPCC7002_RS00445	SYNPCC7002_A0089	30	1.0532299905395126
gene-SYNPCC7002_RS00450	SYNPCC7002_A0090	0.04	0.10572723196215493
