Geneid	S1	S2	S3	S4	S5	S6	S7	S8	S9	S10	S11	S12	S13	S14	S15	S16	length
gene-SYNPCC7002_RS00385	3554	3378	3702	3798	1181	1274	1732	1055	1036	723	1237	1330	1936	2598	1826	2067	249
gene-SYNPCC7002_RS16340	1779	1625	1787	1860	638	665	894	587	515	334	603	654	1059	1394	1005	1149	243
gene-SYNPCC7002_RS00390	3928	3162	3481	3262	3595	3923	4953	5105	3073	2978	3786	3674	5289	7167	4327	5397	390
gene-SYNPCC7002_RS00395	991	844	1349	1248	631	777	1062	676	494	451	704	638	461	571	387	448	348
gene-SYNPCC7002_RS17030	39	32	23	19	32	35	31	37	20	13	36	54	63	39	16	31	519
gene-SYNPCC7002_RS17035	83	66	56	40	121	74	109	124	75	67	83	129	83	96	58	92	363
gene-SYNPCC7002_RS00405	466	342	429	361	530	535	675	490	401	343	448	421	382	559	364	396	195
gene-SYNPCC7002_RS00410	1467	1146	1324	1063	1674	1888	2375	1936	1453	1191	1783	1793	1475	1873	1323	1593	678
gene-SYNPCC7002_RS00415	1735	1642	1784	1704	2517	2850	3736	2512	2017	1841	3087	2386	2155	2706	2097	2104	1290
gene-SYNPCC7002_RS00420	266	190	182	194	258	265	459	330	215	227	344	297	281	381	290	365	774
gene-SYNPCC7002_RS00425	409	285	210	195	540	535	697	618	426	302	488	507	479	609	408	622	666
gene-SYNPCC7002_RS00430	596	548	606	629	850	961	1256	1124	774	731	884	1043	1155	1597	991	1258	978
gene-SYNPCC7002_RS00435	540	478	452	402	465	525	824	638	419	307	482	516	1174	1491	997	1370	1266
gene-SYNPCC7002_RS00440	181	174	183	172	165	259	273	235	195	170	228	249	251	365	313	323	303
gene-SYNPCC7002_RS00445	562	501	542	575	755	822	902	751	577	460	629	730	769	1033	755	797	498
gene-SYNPCC7002_RS00450	439	393	473	473	479	475	710	709	417	398	517	472	669	936	710	759	540
gene-SYNPCC7002_RS00455	797	638	501	430	1149	1058	1552	1381	1015	757	961	1221	1003	1165	859	1207	918
gene-SYNPCC7002_RS00460	1841	1537	1537	1348	2463	3167	4360	2952	2263	2146	3034	2922	2250	2832	2051	2239	804
gene-SYNPCC7002_RS00465	2182	1827	1765	1812	3321	3749	5196	3246	2937	2403	3818	3679	2299	2980	2093	2347	324
gene-SYNPCC7002_RS00470	1313	992	823	861	1738	1943	2692	2055	1396	1418	1728	1964	1679	2348	1482	1920	741
gene-SYNPCC7002_RS17175	171	138	142	191	35	64	58	66	38	32	47	58	68	101	62	51	129
gene-SYNPCC7002_RS00475	16389	15184	12183	13571	26272	29408	36097	28543	24501	20847	28220	31015	20035	25611	18045	20819	1290
gene-SYNPCC7002_RS00480	456	359	379	330	393	432	570	558	288	252	330	422	358	431	283	332	555
gene-SYNPCC7002_RS00485	1851	1449	1270	1278	1157	1035	1266	1424	892	622	898	1101	825	893	538	793	282
gene-SYNPCC7002_RS00490	3102	2397	2209	2215	5567	6425	8678	6107	4914	4239	6057	6636	3935	5070	3533	4382	1305
gene-SYNPCC7002_RS00495	1008	924	927	977	1462	1790	2303	1549	1343	1094	1737	1902	1504	2052	1460	1502	882
gene-SYNPCC7002_RS00500	731	615	597	526	1107	1015	1239	1066	795	632	864	1005	926	1204	801	941	750
gene-SYNPCC7002_RS00505	28	22	34	44	50	24	28	24	34	38	58	18	24	24	20	14	74
gene-SYNPCC7002_RS00510	2877	2365	2069	2161	4490	5172	7188	6283	3262	3090	4439	4079	5632	7313	5062	6039	2007
gene-SYNPCC7002_RS00515	5226	4525	3850	4171	9144	9828	13953	9981	8169	7279	10759	10747	8431	12105	8106	8678	333
gene-SYNPCC7002_RS00520	1973	1667	1542	1470	2489	2859	3753	3351	2014	1716	2416	2812	2158	2743	1875	2359	945
gene-SYNPCC7002_RS00525	2555	1953	1762	1716	5100	6045	8078	5630	4171	3926	5261	5463	3896	5470	3943	4368	1467
gene-SYNPCC7002_RS00530	23077	21023	17911	19955	36625	43844	54520	36764	34291	30611	41930	43578	31609	40839	28621	32220	1017
gene-SYNPCC7002_RS00535	293	223	267	244	408	431	598	507	330	242	361	315	268	353	266	285	345
gene-SYNPCC7002_RS00540	1472	1274	1183	1291	1820	2803	3382	2334	1634	1799	2339	2244	1469	1858	1468	1457	873
gene-SYNPCC7002_RS00545	249	222	165	152	691	768	993	689	593	561	866	713	596	821	587	670	528
gene-SYNPCC7002_RS00550	4415	3719	2803	3288	11022	12839	16630	12509	9448	8890	12178	12732	8826	11134	8052	9222	1311
gene-SYNPCC7002_RS00555	17313	17508	13918	17793	25101	35032	43599	25827	25059	23616	34311	34366	15810	21242	15879	15947	513
gene-SYNPCC7002_RS00560	174	147	157	162	235	265	313	275	165	176	263	259	232	331	193	184	705
gene-SYNPCC7002_RS00565	568	469	524	567	809	1127	1347	811	751	717	1024	953	651	932	572	690	582
gene-SYNPCC7002_RS00570	5600	4489	5739	5561	7032	8686	11660	9820	5094	5146	7194	6798	4368	6032	4229	4766	2229
gene-SYNPCC7002_RS00575	425	340	338	343	631	607	971	828	512	476	610	676	859	1207	918	1016	1179
gene-SYNPCC7002_RS00580	2570	2603	2237	2569	5788	5733	7856	5926	4642	3856	5937	5765	4589	6335	4108	4663	495
gene-SYNPCC7002_RS00585	1722	1297	896	891	2505	2085	3050	3827	1947	1492	2056	2577	3010	4114	2606	3757	801
gene-SYNPCC7002_RS00590	3849	3465	3412	3590	3905	3862	5513	4839	3036	2666	3973	4044	3491	4955	3681	3947	360
gene-SYNPCC7002_RS00595	2477	2354	2347	2216	2333	3016	3779	3269	2013	2093	2844	2770	2978	4157	2977	3078	1755
gene-SYNPCC7002_RS00600	3257	2759	2611	2639	3126	3809	4889	4357	2535	2477	3169	3135	3232	4323	3005	3071	1497
gene-SYNPCC7002_RS00605	677	585	629	529	914	892	1274	1052	626	641	837	833	589	984	736	748	552
gene-SYNPCC7002_RS00610	3873	3575	4018	3824	3550	3938	5315	4123	2821	2518	3556	3754	4080	6341	4665	4827	1362
gene-SYNPCC7002_RS00615	326	262	308	258	375	422	660	422	349	313	357	443	582	892	656	621	1230
gene-SYNPCC7002_RS00620	2973	1429	547	650	44634	39711	48808	69724	20987	22102	27832	26593	9158	11414	7888	10021	843
gene-SYNPCC7002_RS00625	322	347	313	238	809	702	1322	729	596	487	776	659	591	929	617	745	660
gene-SYNPCC7002_RS00630	80	65	58	51	79	43	83	90	51	39	66	55	115	187	117	145	387
gene-SYNPCC7002_RS00635	125	119	158	127	103	141	163	181	88	108	117	109	207	313	244	206	444
gene-SYNPCC7002_RS00640	3887	3363	3228	3265	7431	6581	9757	8506	6237	4596	7007	7850	5215	6918	4434	5664	387
gene-SYNPCC7002_RS00645	87	100	71	120	240	326	369	199	184	166	229	179	271	468	365	299	639
gene-SYNPCC7002_RS00650	357	295	295	328	422	444	561	513	356	306	392	463	885	1506	1009	1063	417
gene-SYNPCC7002_RS00655	452	323	384	360	403	499	566	497	370	277	381	436	926	1245	804	996	285
gene-SYNPCC7002_RS00660	482	392	316	297	591	719	986	717	514	458	647	689	610	761	537	574	879
gene-SYNPCC7002_RS00665	502	471	268	302	849	999	1196	1015	571	485	764	884	685	754	603	752	1602
gene-SYNPCC7002_RS00670	8902	8382	7215	9338	9360	11825	15817	9237	8814	7354	13468	9834	7277	10244	6602	7380	189
gene-SYNPCC7002_RS00675	1415	1420	1325	1378	1791	1930	2769	1816	1546	1331	1928	1937	1417	1955	1385	1356	477
gene-SYNPCC7002_RS00680	8	12	8	16	24	14	36	4	12	14	32	8	12	16	4	4	72
gene-SYNPCC7002_RS00685	12609	10091	8866	8331	2999	3330	4379	4386	2464	2033	3063	3114	4034	5050	3492	4761	2388
gene-SYNPCC7002_RS00690	384	291	361	314	303	280	423	370	249	212	321	294	488	597	444	557	684
gene-SYNPCC7002_RS00695	12810	14067	17941	16194	3859	4285	4995	3629	3184	2548	3480	4093	8547	10060	7328	8409	414
gene-SYNPCC7002_RS00700	46536	39884	40563	40364	57041	60720	82487	74356	45930	42513	56487	59553	80074	105854	75686	87646	2466
gene-SYNPCC7002_RS00705	330	331	303	354	387	415	601	485	379	306	425	368	375	491	417	388	372
gene-SYNPCC7002_RS00710	1121	907	858	932	1034	1210	1531	1392	874	865	1089	1179	1223	1579	1066	1291	603
gene-SYNPCC7002_RS00715	1535	1226	1112	1162	1454	1609	1727	1807	1286	1032	1451	1685	1645	2216	1558	2011	1602
gene-SYNPCC7002_RS00720	278	236	320	266	230	315	295	319	194	210	222	257	351	412	264	335	582
gene-SYNPCC7002_RS00725	425	404	568	537	645	774	1025	835	533	523	665	717	645	951	680	762	1761
gene-SYNPCC7002_RS00730	11470	9595	6655	7617	20073	25527	32630	22758	17282	17253	24366	23273	13994	18209	13539	13955	1668
gene-SYNPCC7002_RS16040	763	742	631	654	408	593	664	517	355	333	484	500	516	729	452	600	3231
gene-SYNPCC7002_RS00740	67	72	41	60	114	115	181	137	123	77	106	149	99	136	92	114	1401
gene-SYNPCC7002_RS00745	67	64	64	43	59	62	80	67	50	46	64	53	81	148	86	80	1752
gene-SYNPCC7002_RS00750	14224	12185	16449	15111	3870	4636	5829	4059	3897	3173	4797	5635	4751	6346	4346	5571	1620
gene-SYNPCC7002_RS00755	340	294	225	309	474	498	678	662	410	350	469	527	371	560	403	506	444
gene-SYNPCC7002_RS00760	2194	1986	1970	1960	2358	2844	3407	2625	2136	1888	2863	2699	2195	2969	1993	2346	273
gene-SYNPCC7002_RS00765	616	560	429	624	783	1130	1413	987	835	812	1146	957	924	1307	932	937	669
gene-SYNPCC7002_RS00770	382	412	329	359	572	617	793	612	466	437	637	647	428	675	529	462	429
gene-SYNPCC7002_RS00775	786	825	857	830	541	571	897	801	589	466	594	701	1222	1765	1143	1237	849
gene-SYNPCC7002_RS00780	41672	57476	54572	71291	27043	32391	43617	30536	24168	26034	37729	29687	68933	103720	73127	64988	1083
gene-SYNPCC7002_RS00785	1228	1196	1001	995	1769	2535	3207	2591	1904	2079	2662	2566	2261	3002	2161	2446	2154
gene-SYNPCC7002_RS00790	811	746	532	558	3482	3360	5066	3755	2836	2887	3944	3733	1933	2890	1971	1994	1053
gene-SYNPCC7002_RS00795	1883	1729	1674	1728	1978	2136	2730	2295	1731	1424	2114	1917	1676	2069	1648	1752	468
gene-SYNPCC7002_RS00800	934	767	662	581	1059	1242	1481	1437	922	813	1044	1333	1043	1470	927	1368	555
gene-SYNPCC7002_RS00805	1323	974	894	941	570	834	1097	996	538	417	517	645	773	812	653	806	1098
gene-SYNPCC7002_RS00810	2939	2711	2690	2499	3471	4068	5263	3912	3077	2819	3828	4041	3917	5482	3709	4117	729
gene-SYNPCC7002_RS00815	5414	4714	5378	4817	4308	4776	5959	5353	3548	3010	4381	4335	4275	6157	3982	4847	543
gene-SYNPCC7002_RS00820	4045	3083	2509	2579	7085	7469	9426	8465	5683	5036	6688	7670	5062	6136	4549	5628	1434
gene-SYNPCC7002_RS00825	1400	1230	843	875	1983	2016	2796	2273	1657	1349	1877	2082	1550	2228	1485	1829	987
gene-SYNPCC7002_RS00830	19546	16094	14981	15318	35866	44317	51358	34984	31613	29485	43147	38747	24361	30662	19928	23583	354
gene-SYNPCC7002_RS00835	7092	6011	8027	6696	14921	16674	21951	23728	8708	10620	13480	11903	12475	19097	13582	14126	1302
gene-SYNPCC7002_RS00840	830	515	494	476	1718	1752	2599	2015	1062	1139	1396	1682	1770	2323	1473	2111	1341
gene-SYNPCC7002_RS00845	986	798	812	751	604	687	1059	1025	512	536	620	783	909	1160	798	1081	1368
gene-SYNPCC7002_RS00850	83154	69943	54959	61564	3533	3252	4633	4152	2702	2289	3019	3659	1558	2063	1345	1918	936
gene-SYNPCC7002_RS00855	81687	72650	55638	66587	2951	3512	5374	3988	2548	2432	3216	3248	1605	2131	1444	1772	1851
gene-SYNPCC7002_RS00860	48536	45366	36489	42926	1934	2553	3747	2642	1686	1605	2441	2352	1093	1375	1087	1106	1497
gene-SYNPCC7002_RS00865	42817	38118	30492	33717	1945	2116	2981	2523	1722	1464	2045	2309	871	1262	841	1026	1284
gene-SYNPCC7002_RS00870	15549	14221	12396	12987	789	795	1060	843	674	535	700	931	407	556	360	378	402
gene-SYNPCC7002_RS00875	859	731	677	647	2549	2870	3997	2782	2494	2080	3067	2843	1799	2418	1566	1820	774
gene-SYNPCC7002_RS00880	1886	1346	1082	1140	4456	4871	6144	4856	3649	3332	4188	5202	2835	3285	2349	3132	1149
gene-SYNPCC7002_RS00885	924	782	717	751	1563	2070	2748	1729	1439	1332	1892	1967	1373	1871	1416	1629	2646
gene-SYNPCC7002_RS00890	119	115	99	118	239	241	361	292	171	170	219	248	153	253	174	173	261
gene-SYNPCC7002_RS00895	1903	1705	2270	2321	485	636	937	501	447	394	631	503	682	927	627	779	195
gene-SYNPCC7002_RS00900	2749	2198	1893	2179	5293	6338	8035	6733	4403	4345	6291	5814	3679	4782	3540	3799	477
gene-SYNPCC7002_RS00905	758	724	702	617	435	460	822	555	351	348	476	505	491	584	457	498	1584
gene-SYNPCC7002_RS00910	0	0	2	2	6	4	6	4	0	0	4	0	2	0	0	0	73
gene-SYNPCC7002_RS00915	1027	878	808	788	1712	2156	2930	2248	1444	1365	1914	2039	1574	2080	1482	1899	1197
gene-SYNPCC7002_RS00920	3495	2900	3904	3413	1027	703	952	1304	770	563	780	991	3071	3743	2611	3453	345
gene-SYNPCC7002_RS00925	3454	4403	4327	4399	3279	3760	4847	4088	2654	3001	4657	3489	11941	16175	9053	11716	138
gene-SYNPCC7002_RS00930	6477	5550	6290	5820	7281	8283	11106	9281	5696	5592	7258	7246	8544	11766	8545	9470	945
gene-SYNPCC7002_RS00935	1075	941	770	792	1790	2032	2765	2025	1580	1340	1927	2112	1791	2401	1473	2014	1117
gene-SYNPCC7002_RS00940	1346	1119	975	969	1710	2154	2960	2080	1466	1388	2011	1963	1618	2212	1635	1726	1467
gene-SYNPCC7002_RS00945	985	835	760	643	1384	1547	1862	1937	1133	928	1320	1537	1301	1675	1096	1513	1485
gene-SYNPCC7002_RS00950	1687	1341	1604	1651	847	1172	1609	1035	908	710	971	1026	706	901	647	740	1326
gene-SYNPCC7002_RS00955	477	312	525	431	356	271	389	430	258	181	257	333	306	465	339	398	579
gene-SYNPCC7002_RS00960	1401	955	869	793	1518	1799	2586	2303	1235	1207	1496	1577	929	1262	959	1071	1710
gene-SYNPCC7002_RS00965	283	190	173	156	218	245	366	353	217	139	199	281	188	280	181	286	1047
gene-SYNPCC7002_RS00970	410	303	508	364	253	302	362	265	175	160	253	273	291	351	232	331	492
gene-SYNPCC7002_RS00975	850	642	814	690	489	539	734	528	312	230	390	440	623	846	584	711	1605
gene-SYNPCC7002_RS00980	691	410	508	349	348	337	540	449	317	215	257	397	574	640	432	601	717
gene-SYNPCC7002_RS00985	440	380	469	424	299	317	398	371	250	165	290	344	427	550	377	491	567
gene-SYNPCC7002_RS00990	455	382	502	530	343	338	493	374	251	234	326	294	400	547	412	431	645
gene-SYNPCC7002_RS00995	1247	1137	1313	984	844	958	1117	1040	715	564	772	885	1105	1531	958	1148	1425
gene-SYNPCC7002_RS01000	187	192	287	195	136	130	219	194	125	110	127	184	169	255	167	165	432
gene-SYNPCC7002_RS01005	148	83	175	137	71	127	134	132	90	49	103	73	115	134	126	103	342
gene-SYNPCC7002_RS01010	345	321	445	285	299	294	386	283	275	198	255	288	312	411	273	334	783
gene-SYNPCC7002_RS01015	199	149	220	162	235	271	347	254	207	139	227	251	265	329	190	250	2295
gene-SYNPCC7002_RS01020	161	112	108	105	110	105	123	155	77	52	98	89	99	147	111	143	240
gene-SYNPCC7002_RS01025	699	381	602	498	416	501	704	557	325	337	400	470	616	783	550	636	1086
gene-SYNPCC7002_RS01030	526	405	345	367	717	835	1168	899	545	541	770	710	796	1141	908	841	393
gene-SYNPCC7002_RS01035	880	679	582	652	1079	1216	1689	1311	817	738	1249	1213	1344	1676	1091	1365	348
gene-SYNPCC7002_RS01040	68	36	65	54	92	97	140	97	56	58	101	118	76	133	73	98	456
gene-SYNPCC7002_RS01045	6727	5480	5146	5882	8833	10531	13433	9430	8045	6779	9452	10222	4276	5826	4304	4915	969
gene-SYNPCC7002_RS16540	508	447	496	471	249	256	316	311	228	158	243	279	256	338	255	286	477
gene-SYNPCC7002_RS01055	10825	9933	10096	10339	8005	9875	12461	10800	6396	6033	8589	7765	5188	6958	5116	5151	1104
gene-SYNPCC7002_RS01060	19525	17245	18836	18939	10843	12405	16908	15476	9872	9066	12060	12981	22255	30853	22314	23863	1323
gene-SYNPCC7002_RS01065	2902	2261	2714	2494	3091	4090	5175	3112	3018	2577	3816	3897	1589	2285	1715	1744	3051
gene-SYNPCC7002_RS01070	2525	2001	1769	1814	2767	2889	3536	4294	2299	2008	2598	3358	3391	4164	2701	3853	660
gene-SYNPCC7002_RS01075	3414	2773	1909	2023	3717	3633	4338	4675	3421	2471	3088	4427	3959	5269	3312	4938	987
gene-SYNPCC7002_RS01080	1821	1573	1548	1683	2512	3126	4076	3008	2361	2166	2995	3090	2784	3928	2733	2988	942
gene-SYNPCC7002_RS01085	896	643	819	739	764	836	1042	998	613	525	740	792	631	1102	755	858	726
gene-SYNPCC7002_RS01090	400	355	395	281	854	698	899	791	598	419	604	805	628	868	569	742	537
gene-SYNPCC7002_RS01095	182	153	138	129	313	331	423	399	256	199	309	302	339	524	300	352	732
gene-SYNPCC7002_RS01100	11536	9552	9219	9322	8156	7743	10165	11985	5753	5378	7174	7373	6684	9072	6035	7669	1419
gene-SYNPCC7002_RS01105	866	814	748	756	801	787	1040	1050	662	537	848	857	877	1230	828	975	1317
gene-SYNPCC7002_RS01110	65	23	31	22	73	51	80	66	57	21	45	57	59	88	67	88	82
gene-SYNPCC7002_RS16350	3744	3384	2905	2892	4871	5719	7956	6296	4172	3949	5435	6033	7783	10830	8045	8216	867
gene-SYNPCC7002_RS01120	1795	1377	1117	1095	2609	2384	3231	3440	2143	1640	2083	3117	3210	4351	2891	4204	432
gene-SYNPCC7002_RS01125	3957	3994	3881	4019	3500	4035	5339	4651	3006	2582	3701	4144	6353	8825	6365	6929	354
gene-SYNPCC7002_RS01130	2474	2199	1783	1916	1570	2003	2538	2330	1277	1209	1607	1916	2664	3126	2168	3036	1929
gene-SYNPCC7002_RS01135	2300	2475	1679	2215	3129	3553	4629	3347	2676	2175	3513	3425	3167	4720	3165	3399	348
gene-SYNPCC7002_RS01140	4430	4735	3365	4177	6134	6876	9038	7030	5227	4766	6121	7224	6436	9605	6238	7324	1023
