database	geneset	geneset.name	cluster	genes	locus	Geneid	type	name	locus_tag	product
STRING Clusters	CL:2398	Translation, and RNA processing	cluster_1	atpE	SYNPCC7002_A0738	gene-SYNPCC7002_RS03680	protein_coding	atpE	SYNPCC7002_RS03680	ATP synthase F0 subunit C
STRING Clusters	CL:2398	Translation, and RNA processing	cluster_1	atpB	SYNPCC7002_A0739	gene-SYNPCC7002_RS03685	protein_coding	atpB	SYNPCC7002_RS03685	F0F1 ATP synthase subunit A
STRING Clusters	CL:2398	Translation, and RNA processing	cluster_1	atpD	SYNPCC7002_A0749	gene-SYNPCC7002_RS03740	protein_coding	atpD	SYNPCC7002_RS03740	F0F1 ATP synthase subunit beta
STRING Clusters	CL:2398	Translation, and RNA processing	cluster_1	atpC	SYNPCC7002_A0750	gene-SYNPCC7002_RS03745	protein_coding	atpC	SYNPCC7002_RS03745	ATP synthase F1 subunit epsilon
STRING Clusters	CL:2398	Translation, and RNA processing	cluster_1	rimP	SYNPCC7002_A0752	gene-SYNPCC7002_RS03755	protein_coding	rimP	SYNPCC7002_RS03755	ribosome maturation factor RimP
STRING Clusters	CL:2398	Translation, and RNA processing	cluster_1	nusA	SYNPCC7002_A0753	gene-SYNPCC7002_RS03760	protein_coding	nusA	SYNPCC7002_RS03760	transcription termination factor NusA
STRING Clusters	CL:2398	Translation, and RNA processing	cluster_1	ACA98759.1	SYNPCC7002_A0754	gene-SYNPCC7002_RS03765	protein_coding	SYNPCC7002_RS03765	SYNPCC7002_RS03765	YlxR family protein
STRING Clusters	CL:2398	Translation, and RNA processing	cluster_1	infB	SYNPCC7002_A0755	gene-SYNPCC7002_RS03770	protein_coding	infB	SYNPCC7002_RS03770	translation initiation factor IF-2
STRING Clusters	CL:2398	Translation, and RNA processing	cluster_1	frr	SYNPCC7002_A0952	gene-SYNPCC7002_RS04760	protein_coding	frr	SYNPCC7002_RS04760	ribosome recycling factor
STRING Clusters	CL:2398	Translation, and RNA processing	cluster_1	rpsA	SYNPCC7002_A0955	gene-SYNPCC7002_RS04775	protein_coding	SYNPCC7002_RS04775	SYNPCC7002_RS04775	30S ribosomal protein S1
STRING Clusters	CL:2398	Translation, and RNA processing	cluster_1	rmpH	SYNPCC7002_A0988	gene-SYNPCC7002_RS16410	protein_coding	rpmH	SYNPCC7002_RS16410	50S ribosomal protein L34
STRING Clusters	CL:2398	Translation, and RNA processing	cluster_1	rplL	SYNPCC7002_A1026	gene-SYNPCC7002_RS05115	protein_coding	rplL	SYNPCC7002_RS05115	50S ribosomal protein L7/L12
STRING Clusters	CL:2398	Translation, and RNA processing	cluster_1	rpl10	SYNPCC7002_A1027	gene-SYNPCC7002_RS05120	protein_coding	rplJ	SYNPCC7002_RS05120	50S ribosomal protein L10
STRING Clusters	CL:2398	Translation, and RNA processing	cluster_1	rplA	SYNPCC7002_A1028	gene-SYNPCC7002_RS05125	protein_coding	rplA	SYNPCC7002_RS05125	50S ribosomal protein L1
STRING Clusters	CL:2398	Translation, and RNA processing	cluster_1	rplK	SYNPCC7002_A1029	gene-SYNPCC7002_RS05130	protein_coding	rplK	SYNPCC7002_RS05130	50S ribosomal protein L11
STRING Clusters	CL:2398	Translation, and RNA processing	cluster_1	nusG	SYNPCC7002_A1030	gene-SYNPCC7002_RS05135	protein_coding	nusG	SYNPCC7002_RS05135	transcription termination/antitermination protein NusG
STRING Clusters	CL:2398	Translation, and RNA processing	cluster_1	rplS	SYNPCC7002_A1033	gene-SYNPCC7002_RS05150	protein_coding	rplS	SYNPCC7002_RS05150	50S ribosomal protein L19
STRING Clusters	CL:2398	Translation, and RNA processing	cluster_1	prfA	SYNPCC7002_A1036	gene-SYNPCC7002_RS05165	protein_coding	prfA	SYNPCC7002_RS05165	peptide chain release factor 1
STRING Clusters	CL:2398	Translation, and RNA processing	cluster_1	rpmE	SYNPCC7002_A1037	gene-SYNPCC7002_RS05170	protein_coding	rpmE	SYNPCC7002_RS05170	50S ribosomal protein L31
STRING Clusters	CL:2398	Translation, and RNA processing	cluster_1	rpsI	SYNPCC7002_A1038	gene-SYNPCC7002_RS05175	protein_coding	rpsI	SYNPCC7002_RS05175	30S ribosomal protein S9
STRING Clusters	CL:2398	Translation, and RNA processing	cluster_1	rplM	SYNPCC7002_A1039	gene-SYNPCC7002_RS05180	protein_coding	rplM	SYNPCC7002_RS05180	50S ribosomal protein L13
STRING Clusters	CL:2398	Translation, and RNA processing	cluster_1	truA	SYNPCC7002_A1040	gene-SYNPCC7002_RS05185	protein_coding	truA	SYNPCC7002_RS05185	tRNA pseudouridine(38-40) synthase TruA
STRING Clusters	CL:2398	Translation, and RNA processing	cluster_1	rplQ	SYNPCC7002_A1041	gene-SYNPCC7002_RS05190	protein_coding	rplQ	SYNPCC7002_RS05190	50S ribosomal protein L17
STRING Clusters	CL:2398	Translation, and RNA processing	cluster_1	rpoA	SYNPCC7002_A1042	gene-SYNPCC7002_RS05195	protein_coding	SYNPCC7002_RS05195	SYNPCC7002_RS05195	DNA-directed RNA polymerase subunit alpha
STRING Clusters	CL:2398	Translation, and RNA processing	cluster_1	rpsK	SYNPCC7002_A1043	gene-SYNPCC7002_RS05200	protein_coding	rpsK	SYNPCC7002_RS05200	30S ribosomal protein S11
STRING Clusters	CL:2398	Translation, and RNA processing	cluster_1	rpsM	SYNPCC7002_A1044	gene-SYNPCC7002_RS05205	protein_coding	rpsM	SYNPCC7002_RS05205	30S ribosomal protein S13
STRING Clusters	CL:2398	Translation, and RNA processing	cluster_1	infA	SYNPCC7002_A1045	gene-SYNPCC7002_RS05210	protein_coding	infA	SYNPCC7002_RS05210	translation initiation factor IF-1
STRING Clusters	CL:2398	Translation, and RNA processing	cluster_1	secY	SYNPCC7002_A1047	gene-SYNPCC7002_RS05220	protein_coding	secY	SYNPCC7002_RS05220	preprotein translocase subunit SecY
STRING Clusters	CL:2398	Translation, and RNA processing	cluster_1	rplO	SYNPCC7002_A1048	gene-SYNPCC7002_RS05225	protein_coding	rplO	SYNPCC7002_RS05225	50S ribosomal protein L15
STRING Clusters	CL:2398	Translation, and RNA processing	cluster_1	rpsE	SYNPCC7002_A1049	gene-SYNPCC7002_RS05230	protein_coding	rpsE	SYNPCC7002_RS05230	30S ribosomal protein S5
STRING Clusters	CL:2398	Translation, and RNA processing	cluster_1	rplR	SYNPCC7002_A1050	gene-SYNPCC7002_RS05235	protein_coding	rplR	SYNPCC7002_RS05235	50S ribosomal protein L18
STRING Clusters	CL:2398	Translation, and RNA processing	cluster_1	rpl6	SYNPCC7002_A1051	gene-SYNPCC7002_RS05240	protein_coding	rplF	SYNPCC7002_RS05240	50S ribosomal protein L6
STRING Clusters	CL:2398	Translation, and RNA processing	cluster_1	rpsH	SYNPCC7002_A1052	gene-SYNPCC7002_RS05245	protein_coding	rpsH	SYNPCC7002_RS05245	30S ribosomal protein S8
STRING Clusters	CL:2398	Translation, and RNA processing	cluster_1	rpl5	SYNPCC7002_A1053	gene-SYNPCC7002_RS05250	protein_coding	rplE	SYNPCC7002_RS05250	50S ribosomal protein L5
STRING Clusters	CL:2398	Translation, and RNA processing	cluster_1	rplX	SYNPCC7002_A1054	gene-SYNPCC7002_RS05255	protein_coding	rplX	SYNPCC7002_RS05255	50S ribosomal protein L24
STRING Clusters	CL:2398	Translation, and RNA processing	cluster_1	rplN	SYNPCC7002_A1055	gene-SYNPCC7002_RS05260	protein_coding	rplN	SYNPCC7002_RS05260	50S ribosomal protein L14
STRING Clusters	CL:2398	Translation, and RNA processing	cluster_1	rpsQ	SYNPCC7002_A1056	gene-SYNPCC7002_RS05265	protein_coding	rpsQ	SYNPCC7002_RS05265	30S ribosomal protein S17
STRING Clusters	CL:2398	Translation, and RNA processing	cluster_1	rpmC	SYNPCC7002_A1057	gene-SYNPCC7002_RS05270	protein_coding	rpmC	SYNPCC7002_RS05270	50S ribosomal protein L29
STRING Clusters	CL:2398	Translation, and RNA processing	cluster_1	rplP	SYNPCC7002_A1058	gene-SYNPCC7002_RS05275	protein_coding	rplP	SYNPCC7002_RS05275	50S ribosomal protein L16
STRING Clusters	CL:2398	Translation, and RNA processing	cluster_1	rpsC	SYNPCC7002_A1059	gene-SYNPCC7002_RS05280	protein_coding	rpsC	SYNPCC7002_RS05280	30S ribosomal protein S3
STRING Clusters	CL:2398	Translation, and RNA processing	cluster_1	rplV	SYNPCC7002_A1060	gene-SYNPCC7002_RS05285	protein_coding	rplV	SYNPCC7002_RS05285	50S ribosomal protein L22
STRING Clusters	CL:2398	Translation, and RNA processing	cluster_1	rpsS	SYNPCC7002_A1061	gene-SYNPCC7002_RS05290	protein_coding	rpsS	SYNPCC7002_RS05290	30S ribosomal protein S19
STRING Clusters	CL:2398	Translation, and RNA processing	cluster_1	rplB	SYNPCC7002_A1062	gene-SYNPCC7002_RS05295	protein_coding	rplB	SYNPCC7002_RS05295	50S ribosomal protein L2
STRING Clusters	CL:2398	Translation, and RNA processing	cluster_1	rplW	SYNPCC7002_A1063	gene-SYNPCC7002_RS05300	protein_coding	SYNPCC7002_RS05300	SYNPCC7002_RS05300	50S ribosomal protein L23
STRING Clusters	CL:2398	Translation, and RNA processing	cluster_1	rplD	SYNPCC7002_A1064	gene-SYNPCC7002_RS05305	protein_coding	rplD	SYNPCC7002_RS05305	50S ribosomal protein L4
STRING Clusters	CL:2398	Translation, and RNA processing	cluster_1	rplC	SYNPCC7002_A1065	gene-SYNPCC7002_RS05310	protein_coding	rplC	SYNPCC7002_RS05310	50S ribosomal protein L3
STRING Clusters	CL:2398	Translation, and RNA processing	cluster_1	ppib	SYNPCC7002_A1092	gene-SYNPCC7002_RS05445	protein_coding	SYNPCC7002_RS05445	SYNPCC7002_RS05445	peptidylprolyl isomerase
STRING Clusters	CL:2398	Translation, and RNA processing	cluster_1	ACA99107.1	SYNPCC7002_A1107	gene-SYNPCC7002_RS05520	protein_coding	SYNPCC7002_RS05520	SYNPCC7002_RS05520	RNA methyltransferase
STRING Clusters	CL:2398	Translation, and RNA processing	cluster_1	trmE	SYNPCC7002_A1170	gene-SYNPCC7002_RS05835	protein_coding	mnmE	SYNPCC7002_RS05835	tRNA uridine-5-carboxymethylaminomethyl(34) synthesis GTPase MnmE
STRING Clusters	CL:2398	Translation, and RNA processing	cluster_1	ACA99172.1	SYNPCC7002_A1173	gene-SYNPCC7002_RS05850	protein_coding	ols	SYNPCC7002_RS05850	fatty-acyl-[ACP] elongase/decarboxylase Ols
STRING Clusters	CL:2398	Translation, and RNA processing	cluster_1	ppa	SYNPCC7002_A1228	gene-SYNPCC7002_RS06145	protein_coding	SYNPCC7002_RS06145	SYNPCC7002_RS06145	inorganic diphosphatase
STRING Clusters	CL:2398	Translation, and RNA processing	cluster_1	rimM	SYNPCC7002_A1245	gene-SYNPCC7002_RS06230	protein_coding	rimM	SYNPCC7002_RS06230	ribosome maturation factor RimM
STRING Clusters	CL:2398	Translation, and RNA processing	cluster_1	tig	SYNPCC7002_A1276	gene-SYNPCC7002_RS06385	protein_coding	tig	SYNPCC7002_RS06385	trigger factor
STRING Clusters	CL:2398	Translation, and RNA processing	cluster_1	map	SYNPCC7002_A1277	gene-SYNPCC7002_RS06390	protein_coding	map	SYNPCC7002_RS06390	type I methionyl aminopeptidase
STRING Clusters	CL:2398	Translation, and RNA processing	cluster_1	rplI	SYNPCC7002_A1498	gene-SYNPCC7002_RS07510	protein_coding	rplI	SYNPCC7002_RS07510	50S ribosomal protein L9
STRING Clusters	CL:2398	Translation, and RNA processing	cluster_1	obg	SYNPCC7002_A1521	gene-SYNPCC7002_RS07625	protein_coding	obgE	SYNPCC7002_RS07625	GTPase ObgE
STRING Clusters	CL:2398	Translation, and RNA processing	cluster_1	ffh	SYNPCC7002_A1622	gene-SYNPCC7002_RS08125	protein_coding	ffh	SYNPCC7002_RS08125	signal recognition particle protein
STRING Clusters	CL:2398	Translation, and RNA processing	cluster_1	rpsU	SYNPCC7002_A1741	gene-SYNPCC7002_RS08720	protein_coding	rpsU	SYNPCC7002_RS08720	30S ribosomal protein S21
STRING Clusters	CL:2398	Translation, and RNA processing	cluster_1	ybeY	SYNPCC7002_A1764	gene-SYNPCC7002_RS08835	protein_coding	ybeY	SYNPCC7002_RS08835	rRNA maturation RNase YbeY
STRING Clusters	CL:2398	Translation, and RNA processing	cluster_1	tsf	SYNPCC7002_A1958	gene-SYNPCC7002_RS09790	protein_coding	tsf	SYNPCC7002_RS09790	translation elongation factor Ts
STRING Clusters	CL:2398	Translation, and RNA processing	cluster_1	rpsB	SYNPCC7002_A1959	gene-SYNPCC7002_RS09795	protein_coding	rpsB	SYNPCC7002_RS09795	30S ribosomal protein S2
STRING Clusters	CL:2398	Translation, and RNA processing	cluster_1	ACA99966.1	SYNPCC7002_A1979	gene-SYNPCC7002_RS09885	protein_coding	SYNPCC7002_RS09885	SYNPCC7002_RS09885	aminotransferase class I/II-fold pyridoxal phosphate-dependent enzyme
STRING Clusters	CL:2398	Translation, and RNA processing	cluster_1	ACA99988.1	SYNPCC7002_A2002	gene-SYNPCC7002_RS09990	protein_coding	SYNPCC7002_RS09990	SYNPCC7002_RS09990	rhodanese-like domain-containing protein
STRING Clusters	CL:2398	Translation, and RNA processing	cluster_1	rpoC2	SYNPCC7002_A2043	gene-SYNPCC7002_RS10195	protein_coding	SYNPCC7002_RS10195	SYNPCC7002_RS10195	DNA-directed RNA polymerase subunit beta'
STRING Clusters	CL:2398	Translation, and RNA processing	cluster_1	rpoC1	SYNPCC7002_A2044	gene-SYNPCC7002_RS10200	protein_coding	SYNPCC7002_RS10200	SYNPCC7002_RS10200	DNA-directed RNA polymerase subunit gamma
STRING Clusters	CL:2398	Translation, and RNA processing	cluster_1	rpoB	SYNPCC7002_A2045	gene-SYNPCC7002_RS10205	protein_coding	rpoB	SYNPCC7002_RS10205	DNA-directed RNA polymerase subunit beta
STRING Clusters	CL:2398	Translation, and RNA processing	cluster_1	rpsJ	SYNPCC7002_A2060	gene-SYNPCC7002_RS10275	protein_coding	rpsJ	SYNPCC7002_RS10275	30S ribosomal protein S10
STRING Clusters	CL:2398	Translation, and RNA processing	cluster_1	tuf	SYNPCC7002_A2061	gene-SYNPCC7002_RS10280	protein_coding	tuf	SYNPCC7002_RS10280	elongation factor Tu
STRING Clusters	CL:2398	Translation, and RNA processing	cluster_1	fusA-2	SYNPCC7002_A2062	gene-SYNPCC7002_RS10285	protein_coding	fusA	SYNPCC7002_RS10285	elongation factor G
STRING Clusters	CL:2398	Translation, and RNA processing	cluster_1	rpsG	SYNPCC7002_A2063	gene-SYNPCC7002_RS10290	protein_coding	rpsG	SYNPCC7002_RS10290	30S ribosomal protein S7
STRING Clusters	CL:2398	Translation, and RNA processing	cluster_1	rpsL	SYNPCC7002_A2064	gene-SYNPCC7002_RS10300	protein_coding	rpsL	SYNPCC7002_RS10300	30S ribosomal protein S12
STRING Clusters	CL:2398	Translation, and RNA processing	cluster_1	fus	SYNPCC7002_A2079	gene-SYNPCC7002_RS10375	protein_coding	SYNPCC7002_RS10375	SYNPCC7002_RS10375	elongation factor G
STRING Clusters	CL:2398	Translation, and RNA processing	cluster_1	rpsD	SYNPCC7002_A2083	gene-SYNPCC7002_RS10395	protein_coding	rpsD	SYNPCC7002_RS10395	30S ribosomal protein S4
STRING Clusters	CL:2398	Translation, and RNA processing	cluster_1	rplT	SYNPCC7002_A2180	gene-SYNPCC7002_RS10850	protein_coding	rplT	SYNPCC7002_RS10850	50S ribosomal protein L20
STRING Clusters	CL:2398	Translation, and RNA processing	cluster_1	rpmI	SYNPCC7002_A2181	gene-SYNPCC7002_RS10855	protein_coding	rpmI	SYNPCC7002_RS10855	50S ribosomal protein L35
STRING Clusters	CL:2398	Translation, and RNA processing	cluster_1	ACB00272.1	SYNPCC7002_A2294	gene-SYNPCC7002_RS11370	protein_coding	SYNPCC7002_RS11370	SYNPCC7002_RS11370	peptidylprolyl isomerase
STRING Clusters	CL:2398	Translation, and RNA processing	cluster_1	map-2	SYNPCC7002_A2343	gene-SYNPCC7002_RS11605	protein_coding	map	SYNPCC7002_RS11605	type I methionyl aminopeptidase
STRING Clusters	CL:2398	Translation, and RNA processing	cluster_1	def	SYNPCC7002_A2348	gene-SYNPCC7002_RS11630	protein_coding	def	SYNPCC7002_RS11630	peptide deformylase
STRING Clusters	CL:2398	Translation, and RNA processing	cluster_1	lepA	SYNPCC7002_A2421	gene-SYNPCC7002_RS12005	protein_coding	lepA	SYNPCC7002_RS12005	translation elongation factor 4
STRING Clusters	CL:2398	Translation, and RNA processing	cluster_1	rnc-2	SYNPCC7002_A2542	gene-SYNPCC7002_RS12605	protein_coding	rnc	SYNPCC7002_RS12605	ribonuclease III
STRING Clusters	CL:2398	Translation, and RNA processing	cluster_1	infC	SYNPCC7002_A2702	gene-SYNPCC7002_RS13370	protein_coding	infC	SYNPCC7002_RS13370	translation initiation factor IF-3
STRING Clusters	CL:2398	Translation, and RNA processing	cluster_1	ftsY	SYNPCC7002_A2793	gene-SYNPCC7002_RS13810	protein_coding	ftsY	SYNPCC7002_RS13810	signal recognition particle-docking protein FtsY
STRING Clusters	CL:2398	Translation, and RNA processing	cluster_1	ACB00805.1	SYNPCC7002_A2836	gene-SYNPCC7002_RS14010	protein_coding	SYNPCC7002_RS14010	SYNPCC7002_RS14010	RluA family pseudouridine synthase
STRING Clusters	CL:2400	Translation, and Ribosome biogenesis	cluster_1	efp	SYNPCC7002_A0053	gene-SYNPCC7002_RS00270	protein_coding	efp	SYNPCC7002_RS00270	elongation factor P
STRING Clusters	CL:2400	Translation, and Ribosome biogenesis	cluster_1	ACA98089.1	SYNPCC7002_A0072	gene-SYNPCC7002_RS00365	protein_coding	ylqF	SYNPCC7002_RS00365	ribosome biogenesis GTPase YlqF
STRING Clusters	CL:2400	Translation, and Ribosome biogenesis	cluster_1	rbfA	SYNPCC7002_A0074	gene-SYNPCC7002_RS00375	protein_coding	rbfA	SYNPCC7002_RS00375	30S ribosome-binding factor RbfA
STRING Clusters	CL:2400	Translation, and Ribosome biogenesis	cluster_1	prfB	SYNPCC7002_A0188	gene-SYNPCC7002_RS00935	protein_coding	prfB	SYNPCC7002_RS00935	peptide chain release factor 2
STRING Clusters	CL:2400	Translation, and Ribosome biogenesis	cluster_1	sodB	SYNPCC7002_A0242	gene-SYNPCC7002_RS01200	protein_coding	SYNPCC7002_RS01200	SYNPCC7002_RS01200	superoxide dismutase
STRING Clusters	CL:2400	Translation, and Ribosome biogenesis	cluster_1	lrtA	SYNPCC7002_A0263	gene-SYNPCC7002_RS01305	protein_coding	raiA	SYNPCC7002_RS01305	ribosome-associated translation inhibitor RaiA
STRING Clusters	CL:2400	Translation, and Ribosome biogenesis	cluster_1	fusA	SYNPCC7002_A0341	gene-SYNPCC7002_RS01680	protein_coding	fusA	SYNPCC7002_RS01680	elongation factor G
STRING Clusters	CL:2400	Translation, and Ribosome biogenesis	cluster_1	rpsF	SYNPCC7002_A0443	gene-SYNPCC7002_RS02195	protein_coding	rpsF	SYNPCC7002_RS02195	30S ribosomal protein S6
STRING Clusters	CL:2400	Translation, and Ribosome biogenesis	cluster_1	rplU	SYNPCC7002_A0490	gene-SYNPCC7002_RS02425	protein_coding	rplU	SYNPCC7002_RS02425	50S ribosomal protein L21
STRING Clusters	CL:2400	Translation, and Ribosome biogenesis	cluster_1	deaD	SYNPCC7002_A0618	gene-SYNPCC7002_RS03080	protein_coding	SYNPCC7002_RS03080	SYNPCC7002_RS03080	DEAD/DEAH box helicase
STRING Clusters	CL:2400	Translation, and Ribosome biogenesis	cluster_1	thrS	SYNPCC7002_A0628	gene-SYNPCC7002_RS03130	protein_coding	thrS	SYNPCC7002_RS03130	threonine--tRNA ligase
STRING Clusters	CL:2400	Translation, and Ribosome biogenesis	cluster_1	atpG	SYNPCC7002_A0733	gene-SYNPCC7002_RS03655	protein_coding	SYNPCC7002_RS03655	SYNPCC7002_RS03655	F0F1 ATP synthase subunit gamma
STRING Clusters	CL:2400	Translation, and Ribosome biogenesis	cluster_1	atpA	SYNPCC7002_A0734	gene-SYNPCC7002_RS03660	protein_coding	atpA	SYNPCC7002_RS03660	F0F1 ATP synthase subunit alpha
STRING Clusters	CL:2400	Translation, and Ribosome biogenesis	cluster_1	atpH	SYNPCC7002_A0735	gene-SYNPCC7002_RS03665	protein_coding	atpH	SYNPCC7002_RS03665	ATP synthase F1 subunit delta
STRING Clusters	CL:2400	Translation, and Ribosome biogenesis	cluster_1	atpF	SYNPCC7002_A0736	gene-SYNPCC7002_RS03670	protein_coding	SYNPCC7002_RS03670	SYNPCC7002_RS03670	F0F1 ATP synthase subunit B
STRING Clusters	CL:2400	Translation, and Ribosome biogenesis	cluster_1	atpG-2	SYNPCC7002_A0737	gene-SYNPCC7002_RS03675	protein_coding	SYNPCC7002_RS03675	SYNPCC7002_RS03675	F0F1 ATP synthase subunit B'
STRING Clusters	CL:2400	Translation, and Ribosome biogenesis	cluster_1	atpE	SYNPCC7002_A0738	gene-SYNPCC7002_RS03680	protein_coding	atpE	SYNPCC7002_RS03680	ATP synthase F0 subunit C
STRING Clusters	CL:2400	Translation, and Ribosome biogenesis	cluster_1	atpB	SYNPCC7002_A0739	gene-SYNPCC7002_RS03685	protein_coding	atpB	SYNPCC7002_RS03685	F0F1 ATP synthase subunit A
STRING Clusters	CL:2400	Translation, and Ribosome biogenesis	cluster_1	atpD	SYNPCC7002_A0749	gene-SYNPCC7002_RS03740	protein_coding	atpD	SYNPCC7002_RS03740	F0F1 ATP synthase subunit beta
STRING Clusters	CL:2400	Translation, and Ribosome biogenesis	cluster_1	atpC	SYNPCC7002_A0750	gene-SYNPCC7002_RS03745	protein_coding	atpC	SYNPCC7002_RS03745	ATP synthase F1 subunit epsilon
STRING Clusters	CL:2400	Translation, and Ribosome biogenesis	cluster_1	rimP	SYNPCC7002_A0752	gene-SYNPCC7002_RS03755	protein_coding	rimP	SYNPCC7002_RS03755	ribosome maturation factor RimP
STRING Clusters	CL:2400	Translation, and Ribosome biogenesis	cluster_1	nusA	SYNPCC7002_A0753	gene-SYNPCC7002_RS03760	protein_coding	nusA	SYNPCC7002_RS03760	transcription termination factor NusA
STRING Clusters	CL:2400	Translation, and Ribosome biogenesis	cluster_1	ACA98759.1	SYNPCC7002_A0754	gene-SYNPCC7002_RS03765	protein_coding	SYNPCC7002_RS03765	SYNPCC7002_RS03765	YlxR family protein
STRING Clusters	CL:2400	Translation, and Ribosome biogenesis	cluster_1	infB	SYNPCC7002_A0755	gene-SYNPCC7002_RS03770	protein_coding	infB	SYNPCC7002_RS03770	translation initiation factor IF-2
STRING Clusters	CL:2400	Translation, and Ribosome biogenesis	cluster_1	frr	SYNPCC7002_A0952	gene-SYNPCC7002_RS04760	protein_coding	frr	SYNPCC7002_RS04760	ribosome recycling factor
STRING Clusters	CL:2400	Translation, and Ribosome biogenesis	cluster_1	rpsA	SYNPCC7002_A0955	gene-SYNPCC7002_RS04775	protein_coding	SYNPCC7002_RS04775	SYNPCC7002_RS04775	30S ribosomal protein S1
STRING Clusters	CL:2400	Translation, and Ribosome biogenesis	cluster_1	rmpH	SYNPCC7002_A0988	gene-SYNPCC7002_RS16410	protein_coding	rpmH	SYNPCC7002_RS16410	50S ribosomal protein L34
STRING Clusters	CL:2400	Translation, and Ribosome biogenesis	cluster_1	rplL	SYNPCC7002_A1026	gene-SYNPCC7002_RS05115	protein_coding	rplL	SYNPCC7002_RS05115	50S ribosomal protein L7/L12
STRING Clusters	CL:2400	Translation, and Ribosome biogenesis	cluster_1	rpl10	SYNPCC7002_A1027	gene-SYNPCC7002_RS05120	protein_coding	rplJ	SYNPCC7002_RS05120	50S ribosomal protein L10
STRING Clusters	CL:2400	Translation, and Ribosome biogenesis	cluster_1	rplA	SYNPCC7002_A1028	gene-SYNPCC7002_RS05125	protein_coding	rplA	SYNPCC7002_RS05125	50S ribosomal protein L1
STRING Clusters	CL:2400	Translation, and Ribosome biogenesis	cluster_1	rplK	SYNPCC7002_A1029	gene-SYNPCC7002_RS05130	protein_coding	rplK	SYNPCC7002_RS05130	50S ribosomal protein L11
STRING Clusters	CL:2400	Translation, and Ribosome biogenesis	cluster_1	nusG	SYNPCC7002_A1030	gene-SYNPCC7002_RS05135	protein_coding	nusG	SYNPCC7002_RS05135	transcription termination/antitermination protein NusG
