Geneid	alanine	arginine	asparagine	aspartic.acid	cysteine	glutamine	glutamic.acid	glycine	histidine	isoleucine	leucine	lysine	methionine	phenylalanine	proline	serine	threonine	tryptophan	tyrosine	valine
gene-SYNPCC7002_RS00190	34	18	13	21	3	16	13	20	5	19	32	19	10	13	16	12	11	1	2	24
gene-SYNPCC7002_RS00195	28	9	7	11	4	27	14	18	10	16	34	6	5	16	20	19	21	3	11	20
gene-SYNPCC7002_RS00200	12	9	3	5	3	14	6	10	5	9	14	6	4	5	7	11	10	2	5	8
gene-SYNPCC7002_RS00205	62	42	27	42	1	29	42	53	3	36	61	26	16	26	24	35	30	4	8	52
gene-SYNPCC7002_RS00210	168	108	120	117	2	146	117	181	1	105	254	19	9	71	101	124	138	11	23	115
gene-SYNPCC7002_RS00215	25	6	8	3	0	7	9	4	0	4	4	4	2	3	11	6	4	0	1	11
gene-SYNPCC7002_RS00220	35	32	15	31	10	41	19	47	11	20	70	15	7	27	30	24	25	11	15	27
gene-SYNPCC7002_RS00225	19	18	8	10	2	13	11	15	7	9	23	10	2	13	17	5	13	2	10	17
gene-SYNPCC7002_RS00230	36	19	12	21	5	27	20	24	6	30	51	20	6	7	21	30	30	5	10	21
gene-SYNPCC7002_RS00235	11	4	7	7	3	5	7	6	1	10	11	10	3	3	6	7	7	2	1	8
gene-SYNPCC7002_RS00240	14	8	3	7	2	8	8	14	5	9	24	1	2	3	14	9	9	2	3	17
gene-SYNPCC7002_RS00245	159	92	59	71	12	125	131	71	21	80	159	52	27	37	30	92	81	17	30	117
gene-SYNPCC7002_RS00250	107	46	47	59	8	76	80	63	19	59	132	43	19	26	56	57	65	4	18	59
gene-SYNPCC7002_RS00255	22	17	7	9	2	12	19	13	1	12	27	14	6	5	8	11	11	6	5	9
gene-SYNPCC7002_RS00260	8	9	4	7	3	10	8	5	2	4	15	4	3	2	4	9	4	0	4	9
gene-SYNPCC7002_RS00265	18	3	5	7	1	9	17	10	0	11	7	5	7	5	12	10	15	2	1	19
gene-SYNPCC7002_RS00270	8	10	6	10	0	7	18	15	2	10	11	11	5	8	6	9	20	2	4	22
gene-SYNPCC7002_RS00275	16	16	7	10	6	27	7	13	2	13	25	13	2	10	13	6	15	4	4	8
gene-SYNPCC7002_RS00280	17	10	6	8	2	12	7	6	4	18	10	4	3	7	4	6	7	2	1	4
gene-SYNPCC7002_RS00285	8	6	1	5	0	6	11	1	4	8	9	3	0	4	3	5	1	0	0	3
gene-SYNPCC7002_RS00290	30	16	19	13	0	8	21	15	11	16	24	10	7	9	21	21	19	7	13	18
gene-SYNPCC7002_RS00295	23	17	9	17	6	17	22	24	7	15	34	20	10	12	15	16	24	3	7	20
gene-SYNPCC7002_RS00300	6	3	1	4	0	4	4	5	1	6	8	2	2	1	5	4	6	3	1	2
gene-SYNPCC7002_RS00305	10	6	3	5	3	9	17	11	4	13	12	6	2	3	7	5	1	3	2	9
gene-SYNPCC7002_RS00310	28	15	6	13	0	10	22	13	10	8	31	12	3	9	14	11	9	3	11	10
gene-SYNPCC7002_RS00315	7	15	3	9	2	20	2	18	0	11	17	4	0	10	13	13	10	2	5	4
gene-SYNPCC7002_RS00320	64	69	44	46	5	59	51	61	15	71	125	21	10	50	63	50	46	28	55	66
gene-SYNPCC7002_RS00325	46	20	17	34	1	29	37	40	11	33	54	6	5	24	27	21	39	7	11	39
gene-SYNPCC7002_RS00330	6	3	1	8	1	8	10	2	2	4	11	1	2	5	6	2	2	1	4	4
gene-SYNPCC7002_RS00335	36	32	16	31	5	34	34	35	11	13	62	10	9	24	22	23	23	6	28	21
gene-SYNPCC7002_RS00340	7	1	1	3	0	2	8	2	0	7	2	12	1	5	3	1	0	1	1	1
gene-SYNPCC7002_RS00345	44	24	14	20	3	21	19	21	6	36	50	17	7	11	25	10	21	3	11	26
gene-SYNPCC7002_RS00350	25	15	13	9	1	11	14	28	12	25	26	9	7	4	12	11	13	0	8	21
gene-SYNPCC7002_RS00355	9	7	4	5	1	7	12	14	5	12	11	8	8	10	13	3	8	0	2	15
gene-SYNPCC7002_RS00360	5	11	3	4	0	5	9	4	1	6	3	6	5	6	0	4	6	2	1	3
gene-SYNPCC7002_RS00365	24	22	10	20	1	17	16	18	6	17	27	17	7	4	16	10	6	6	5	28
gene-SYNPCC7002_RS00370	57	21	17	29	1	12	32	41	6	26	45	20	4	10	14	24	23	3	13	31
gene-SYNPCC7002_RS16605	6	6	2	1	0	1	2	2	0	5	8	6	1	3	6	6	4	2	2	3
gene-SYNPCC7002_RS00375	7	14	2	7	0	6	18	8	2	10	12	5	6	3	2	13	3	0	1	11
gene-SYNPCC7002_RS00380	68	21	12	22	3	35	30	35	10	45	50	17	9	20	42	23	36	10	10	31
gene-SYNPCC7002_RS00385	5	4	2	6	6	5	7	2	1	4	7	2	2	3	7	4	6	2	1	5
gene-SYNPCC7002_RS16340	2	8	2	4	4	6	9	4	1	5	10	1	0	5	4	5	1	2	2	4
gene-SYNPCC7002_RS00390	10	6	6	6	0	11	19	4	1	5	10	10	1	7	3	6	15	1	0	7
gene-SYNPCC7002_RS00395	11	6	7	5	1	7	7	4	1	8	14	4	3	5	8	8	9	0	4	2
gene-SYNPCC7002_RS17030	11	11	5	10	4	9	4	10	2	19	22	7	2	18	4	6	11	2	3	11
gene-SYNPCC7002_RS17035	9	8	1	6	7	3	3	9	0	7	16	1	0	11	6	10	6	3	8	5
gene-SYNPCC7002_RS00405	7	0	2	2	2	5	4	2	2	8	2	4	0	1	3	3	10	0	0	6
gene-SYNPCC7002_RS00410	27	9	6	9	0	16	12	17	0	10	26	5	2	3	15	17	31	2	6	11
gene-SYNPCC7002_RS00415	44	16	12	16	0	36	28	26	12	27	52	14	3	19	20	29	34	4	13	23
gene-SYNPCC7002_RS00420	19	7	10	5	2	20	13	28	3	23	35	14	2	4	15	14	14	6	7	15
gene-SYNPCC7002_RS00425	19	14	11	14	2	9	11	20	2	17	28	9	5	4	7	13	13	2	4	16
gene-SYNPCC7002_RS00430	18	13	18	11	2	13	26	24	5	17	28	22	5	19	23	14	19	10	19	18
gene-SYNPCC7002_RS00435	41	18	12	11	5	15	10	49	3	32	59	10	13	26	17	28	20	6	14	31
gene-SYNPCC7002_RS00440	13	5	2	2	2	4	10	5	5	2	14	3	3	5	7	6	3	0	4	4
gene-SYNPCC7002_RS00445	9	11	3	11	0	15	11	9	1	8	23	9	1	7	4	10	14	7	4	7
gene-SYNPCC7002_RS00450	14	9	7	10	2	16	12	7	3	16	22	6	2	4	13	6	11	5	2	11
gene-SYNPCC7002_RS00455	45	8	13	11	3	20	16	25	9	18	34	8	4	9	19	13	13	4	6	26
gene-SYNPCC7002_RS00460	32	12	13	7	3	22	13	24	1	12	30	2	5	8	24	13	18	2	5	20
gene-SYNPCC7002_RS00465	9	4	2	1	1	4	18	2	2	8	8	9	0	8	8	6	5	2	4	5
gene-SYNPCC7002_RS00470	29	16	7	13	1	15	22	19	7	19	23	8	5	4	9	5	16	2	4	21
gene-SYNPCC7002_RS17175	4	4	3	3	0	1	0	5	0	4	3	1	1	2	5	2	0	0	1	2
gene-SYNPCC7002_RS00475	31	25	17	30	5	14	28	32	6	40	32	29	8	14	21	17	26	4	22	27
gene-SYNPCC7002_RS00480	17	10	4	8	2	14	13	15	4	7	32	6	2	4	8	8	9	7	4	9
gene-SYNPCC7002_RS00485	6	4	12	3	1	2	6	12	1	3	4	3	2	2	0	11	14	0	0	6
gene-SYNPCC7002_RS00490	33	21	16	23	12	20	28	39	10	28	43	16	3	11	21	28	25	3	20	33
gene-SYNPCC7002_RS00495	25	20	9	17	2	11	21	15	4	20	45	16	3	12	9	19	16	2	6	20
gene-SYNPCC7002_RS00500	17	19	9	12	2	16	13	16	8	18	25	9	7	9	13	8	20	6	7	14
gene-SYNPCC7002_RS00510	55	28	20	28	3	44	35	49	4	31	85	26	3	30	53	44	69	8	14	38
gene-SYNPCC7002_RS00515	14	3	3	3	0	7	15	11	0	4	11	8	4	2	4	7	7	0	1	5
gene-SYNPCC7002_RS00520	34	13	12	12	5	22	15	31	10	16	33	13	3	10	16	19	14	6	10	19
gene-SYNPCC7002_RS00525	59	18	17	30	8	39	23	45	15	32	48	11	1	17	21	25	27	4	15	32
gene-SYNPCC7002_RS00530	29	16	23	21	6	11	16	30	6	22	23	17	7	6	10	19	25	6	9	35
gene-SYNPCC7002_RS00535	9	7	4	6	2	9	10	1	3	3	14	4	1	7	8	1	7	3	5	9
gene-SYNPCC7002_RS00540	32	10	9	19	3	9	14	21	12	24	31	14	5	8	16	16	17	2	9	18
gene-SYNPCC7002_RS00545	11	6	5	13	2	12	11	16	3	6	23	5	2	8	12	11	7	2	9	10
gene-SYNPCC7002_RS00550	68	8	15	25	1	13	18	31	6	25	30	27	9	11	41	28	30	2	6	41
gene-SYNPCC7002_RS00555	11	9	16	10	2	7	9	12	2	8	19	7	2	5	5	11	11	3	3	17
gene-SYNPCC7002_RS00560	30	10	4	9	2	24	13	10	6	12	26	7	1	12	15	15	15	1	6	15
gene-SYNPCC7002_RS00565	10	13	9	10	10	19	18	9	5	6	21	9	0	5	10	9	11	5	5	8
gene-SYNPCC7002_RS00570	51	41	22	49	7	33	60	42	37	40	82	31	12	31	49	36	30	28	30	30
gene-SYNPCC7002_RS00575	26	25	17	25	4	27	20	27	14	28	45	15	8	15	19	20	18	9	13	16
gene-SYNPCC7002_RS00580	9	2	9	6	3	16	7	13	2	9	13	10	1	10	9	9	16	1	7	11
gene-SYNPCC7002_RS00585	18	12	6	21	1	17	18	25	0	17	30	17	2	14	17	10	12	2	11	15
gene-SYNPCC7002_RS00590	6	8	13	7	1	2	6	11	1	6	12	6	0	3	5	7	8	2	4	10
gene-SYNPCC7002_RS00595	42	39	20	25	5	51	37	35	7	42	74	25	14	17	31	29	28	3	15	44
gene-SYNPCC7002_RS00600	58	19	16	31	7	26	31	41	14	28	47	24	11	18	26	16	32	4	13	35
gene-SYNPCC7002_RS00605	18	9	6	9	1	5	18	13	3	9	23	8	1	6	14	8	8	2	9	12
gene-SYNPCC7002_RS00610	41	39	19	31	1	28	28	32	5	41	30	18	3	18	18	18	26	7	11	38
gene-SYNPCC7002_RS00615	41	14	7	17	10	21	18	42	6	26	42	20	6	14	23	26	29	7	13	26
gene-SYNPCC7002_RS00620	21	8	10	6	4	3	9	32	2	19	35	11	16	24	11	15	15	5	5	28
gene-SYNPCC7002_RS00625	20	16	5	19	2	18	9	10	8	14	18	4	6	5	12	9	10	3	10	20
gene-SYNPCC7002_RS00630	4	7	8	9	8	8	4	9	8	7	14	3	0	11	4	7	5	1	3	7
gene-SYNPCC7002_RS00635	14	8	2	6	0	11	9	10	5	10	20	8	1	2	9	9	7	3	7	5
gene-SYNPCC7002_RS00640	12	6	8	6	1	5	10	14	3	7	12	13	3	2	1	6	8	0	5	5
gene-SYNPCC7002_RS00645	24	8	3	8	2	16	9	17	9	22	21	7	3	7	16	11	12	7	1	8
gene-SYNPCC7002_RS00650	11	7	2	6	2	13	5	13	0	10	20	6	2	4	7	9	8	1	4	7
gene-SYNPCC7002_RS00655	3	15	4	3	0	3	5	7	1	7	11	2	2	4	6	3	3	2	2	10
gene-SYNPCC7002_RS00660	25	7	9	8	1	13	7	19	1	21	51	10	4	18	12	18	17	8	18	24
gene-SYNPCC7002_RS00665	56	23	15	14	1	17	16	53	2	46	83	10	14	33	23	33	20	9	15	49
gene-SYNPCC7002_RS00670	8	0	2	0	0	2	1	3	0	6	9	1	1	5	2	5	3	2	1	10
gene-SYNPCC7002_RS00675	20	5	6	10	4	6	6	16	2	11	15	8	3	6	4	6	10	2	5	12
gene-SYNPCC7002_RS00685	87	43	39	36	0	44	54	57	4	39	58	29	18	20	53	54	60	14	29	56
gene-SYNPCC7002_RS00690	18	23	4	17	2	14	17	16	5	9	37	5	3	4	9	10	9	2	9	13
gene-SYNPCC7002_RS00695	13	15	2	6	2	15	8	8	3	4	14	3	2	0	5	8	10	0	5	13
gene-SYNPCC7002_RS00700	70	64	28	45	1	26	91	70	11	64	89	53	12	26	26	35	36	1	13	59
gene-SYNPCC7002_RS00705	13	6	6	2	0	9	2	9	1	8	17	3	3	11	6	5	8	2	3	8
gene-SYNPCC7002_RS00710	27	7	7	6	1	7	1	18	2	22	29	9	3	15	4	17	10	2	3	9
gene-SYNPCC7002_RS00715	42	31	19	28	4	38	39	36	4	38	68	29	7	18	19	14	27	8	12	51
gene-SYNPCC7002_RS00720	22	11	7	9	2	13	17	10	3	13	14	8	6	15	6	9	8	3	8	8
gene-SYNPCC7002_RS00725	46	30	18	27	5	65	38	26	19	26	68	31	6	15	35	27	37	16	23	27
gene-SYNPCC7002_RS00730	76	27	17	35	0	16	48	53	1	41	44	34	18	6	19	28	29	0	7	55
gene-SYNPCC7002_RS16040	92	66	33	54	16	82	80	76	30	64	128	29	26	38	54	61	65	20	24	37
gene-SYNPCC7002_RS00740	35	21	14	21	6	20	31	30	16	37	45	16	8	21	34	22	23	7	25	33
gene-SYNPCC7002_RS00745	58	29	23	35	5	34	23	40	24	34	72	19	6	23	31	23	38	3	15	47
gene-SYNPCC7002_RS00750	67	10	20	20	0	19	25	42	1	51	81	17	8	21	19	26	32	11	9	59
gene-SYNPCC7002_RS00755	10	15	7	4	4	10	11	6	1	8	14	5	2	10	8	6	9	7	0	9
gene-SYNPCC7002_RS00760	14	2	1	6	1	5	6	5	0	3	11	8	1	2	3	7	4	0	4	6
gene-SYNPCC7002_RS00765	19	11	7	13	3	15	9	20	6	8	33	7	3	7	10	11	15	3	1	20
gene-SYNPCC7002_RS00770	11	6	4	7	0	4	6	14	7	14	13	7	4	2	8	8	11	0	2	13
gene-SYNPCC7002_RS00775	20	11	13	15	3	41	24	9	3	14	38	25	3	8	4	17	11	3	8	11
gene-SYNPCC7002_RS00780	34	12	21	7	4	13	17	35	10	27	32	2	10	29	16	25	19	10	13	23
gene-SYNPCC7002_RS00785	89	43	34	45	0	59	51	32	7	27	81	20	7	22	44	38	34	20	35	28
gene-SYNPCC7002_RS00790	25	16	6	20	3	9	8	23	22	29	29	15	3	30	22	25	15	10	23	16
gene-SYNPCC7002_RS00795	14	6	3	2	1	5	3	10	1	15	28	2	2	15	11	9	8	0	9	10
gene-SYNPCC7002_RS00800	12	8	4	6	4	19	10	14	1	5	27	5	6	5	20	5	15	3	2	12
gene-SYNPCC7002_RS00805	33	18	13	19	8	13	23	49	11	29	34	11	8	8	10	15	26	3	4	29
gene-SYNPCC7002_RS00810	17	15	4	9	6	16	12	14	10	17	22	10	3	10	19	16	12	4	9	16
gene-SYNPCC7002_RS00815	8	18	4	8	0	29	20	4	3	4	23	8	1	6	9	11	7	0	3	13
gene-SYNPCC7002_RS00820	57	16	14	33	5	6	32	40	8	24	52	33	8	17	25	22	29	3	18	34
gene-SYNPCC7002_RS00825	26	21	7	21	4	16	17	29	6	22	48	22	5	14	12	16	16	5	7	13
gene-SYNPCC7002_RS00830	30	1	7	6	2	4	3	10	1	3	9	8	2	5	3	3	7	1	4	7
gene-SYNPCC7002_RS00835	40	23	16	34	2	24	27	29	4	21	30	16	10	14	30	32	23	9	18	30
gene-SYNPCC7002_RS00840	52	23	15	22	5	15	31	39	10	36	43	13	17	8	24	29	29	2	4	28
gene-SYNPCC7002_RS00845	48	31	13	20	2	27	27	30	9	26	57	13	17	20	28	20	29	4	14	19
gene-SYNPCC7002_RS00850	26	16	8	17	2	21	21	19	13	16	44	12	5	12	13	16	19	1	6	23
gene-SYNPCC7002_RS00855	67	14	17	19	7	20	14	46	6	44	100	17	21	36	27	41	37	18	20	44
gene-SYNPCC7002_RS00860	44	13	18	9	3	10	15	40	7	47	90	12	7	30	24	35	32	7	17	37
gene-SYNPCC7002_RS00865	36	23	13	30	3	14	29	25	16	24	39	22	17	32	25	13	14	5	29	17
gene-SYNPCC7002_RS00870	16	2	8	11	0	4	8	11	2	13	12	4	1	5	8	4	9	0	1	13
gene-SYNPCC7002_RS00875	25	4	10	16	4	36	23	14	4	12	30	6	1	15	11	9	15	3	5	13
gene-SYNPCC7002_RS00880	40	19	13	18	3	12	24	31	11	13	50	17	13	6	23	15	24	8	12	29
gene-SYNPCC7002_RS00885	78	59	31	47	12	43	69	53	17	47	106	39	15	24	41	44	62	6	34	53
gene-SYNPCC7002_RS00890	6	4	2	1	3	7	10	4	1	4	11	6	2	4	6	0	5	1	4	4
gene-SYNPCC7002_RS00895	5	2	2	4	1	7	3	4	1	4	8	2	2	1	2	3	5	2	2	3
gene-SYNPCC7002_RS00900	17	10	5	7	0	13	12	6	2	7	16	4	4	5	7	20	5	0	5	12
gene-SYNPCC7002_RS00905	63	20	16	29	6	42	28	38	11	29	72	10	5	9	39	22	34	12	11	30
gene-SYNPCC7002_RS00915	49	14	16	18	3	25	26	23	14	23	52	30	4	11	19	16	17	4	17	16
gene-SYNPCC7002_RS00920	12	4	5	7	0	4	13	7	0	5	10	6	1	1	6	7	9	0	4	12
gene-SYNPCC7002_RS00925	6	1	2	2	0	1	2	6	1	4	5	2	2	5	0	1	2	0	0	2
gene-SYNPCC7002_RS00930	16	20	9	25	0	15	39	19	0	25	20	6	3	6	26	23	15	5	15	26
gene-SYNPCC7002_RS00940	47	29	18	29	2	33	30	32	1	27	63	13	0	23	34	27	32	7	12	28
gene-SYNPCC7002_RS00945	35	29	12	41	4	32	30	42	0	25	61	13	6	23	33	21	34	6	16	30
gene-SYNPCC7002_RS00950	32	20	17	26	4	21	33	33	9	29	62	27	4	11	21	14	32	2	10	33
gene-SYNPCC7002_RS00955	13	10	9	9	0	11	17	6	2	12	24	8	7	10	9	12	8	2	9	13
gene-SYNPCC7002_RS00960	57	28	21	36	8	18	34	56	17	46	36	23	17	19	27	22	44	7	15	37
gene-SYNPCC7002_RS00965	36	14	11	16	7	18	22	38	9	28	40	9	5	12	18	12	17	1	5	29
gene-SYNPCC7002_RS00970	14	9	2	10	6	8	11	11	5	8	17	11	2	4	6	7	8	0	7	16
gene-SYNPCC7002_RS00975	44	21	14	26	17	22	42	58	6	36	42	29	18	15	32	30	26	3	15	37
gene-SYNPCC7002_RS00980	18	15	8	12	15	8	20	21	8	13	17	11	5	5	6	11	15	3	3	23
gene-SYNPCC7002_RS00985	12	8	6	12	5	9	16	14	3	15	23	11	3	7	12	4	9	1	3	14
gene-SYNPCC7002_RS00990	23	9	6	14	5	10	13	6	5	17	18	14	8	5	7	12	15	3	6	17
gene-SYNPCC7002_RS00995	31	29	18	23	6	19	33	44	20	42	44	23	7	20	21	30	19	4	14	26
gene-SYNPCC7002_RS01000	13	4	6	9	1	11	12	6	5	13	14	7	2	6	7	3	10	0	6	7
gene-SYNPCC7002_RS01005	15	3	2	2	5	5	11	6	2	9	10	3	2	4	6	7	8	0	2	10
gene-SYNPCC7002_RS01010	22	10	17	19	3	10	15	14	23	19	25	15	4	7	7	13	12	1	5	18
gene-SYNPCC7002_RS01015	56	38	42	38	15	50	40	47	19	52	96	39	11	37	43	43	36	4	25	32
gene-SYNPCC7002_RS01020	11	2	0	4	1	1	7	8	1	2	8	2	2	4	3	5	3	0	2	12
gene-SYNPCC7002_RS01025	39	15	5	13	10	24	20	27	6	25	32	16	7	14	24	17	21	2	13	30
gene-SYNPCC7002_RS01030	13	16	1	5	0	10	7	8	1	3	21	6	0	7	4	8	12	4	0	3
gene-SYNPCC7002_RS01035	16	7	3	7	0	8	14	10	1	6	16	4	0	2	4	7	4	1	0	4
gene-SYNPCC7002_RS01040	9	8	4	8	2	16	9	12	2	10	16	7	2	6	8	10	6	2	2	11
gene-SYNPCC7002_RS01045	32	14	15	21	6	9	16	29	7	14	30	25	8	14	15	13	15	5	9	24
gene-SYNPCC7002_RS16540	10	8	7	3	0	16	8	9	2	13	14	15	3	11	6	11	8	4	4	5
gene-SYNPCC7002_RS01055	49	1	16	7	1	6	22	28	4	27	59	10	7	19	13	24	22	5	5	41
gene-SYNPCC7002_RS01060	38	25	14	38	0	27	35	32	2	30	36	16	7	10	19	24	29	3	12	42
gene-SYNPCC7002_RS01065	80	62	34	58	13	86	46	65	32	66	121	56	7	26	53	51	63	21	34	41
gene-SYNPCC7002_RS01070	19	4	7	4	4	16	16	27	5	6	15	8	5	10	16	9	18	3	14	12
gene-SYNPCC7002_RS01075	35	20	12	13	4	17	26	24	2	21	30	22	7	14	13	14	17	5	10	21
gene-SYNPCC7002_RS01080	27	15	9	12	5	14	21	26	12	17	34	9	7	13	24	13	18	3	7	26
gene-SYNPCC7002_RS01085	11	19	4	13	2	28	18	15	1	13	33	8	2	9	11	8	12	2	11	20
gene-SYNPCC7002_RS01090	11	10	7	9	6	9	13	13	1	11	16	4	5	8	16	10	12	1	2	13
gene-SYNPCC7002_RS01095	24	17	8	13	2	14	14	14	7	22	31	9	2	6	15	15	13	2	3	11
gene-SYNPCC7002_RS01100	51	25	22	24	4	13	38	41	6	28	46	24	11	17	20	20	27	5	20	29
gene-SYNPCC7002_RS01105	44	30	15	17	3	32	26	30	4	25	37	12	6	16	23	34	31	10	11	31
gene-SYNPCC7002_RS16350	27	13	12	10	3	24	15	14	12	6	50	7	9	9	14	19	15	6	7	15
gene-SYNPCC7002_RS01120	15	10	5	10	2	5	12	8	4	7	17	10	2	5	6	5	6	4	1	8
gene-SYNPCC7002_RS01125	4	5	5	7	4	8	6	15	2	4	10	4	6	6	3	6	8	1	5	7
gene-SYNPCC7002_RS01130	66	25	15	23	4	27	34	60	4	50	99	24	8	35	26	40	26	8	5	62
gene-SYNPCC7002_RS01135	11	4	8	5	4	2	7	10	0	6	12	5	1	7	9	9	5	1	5	3
gene-SYNPCC7002_RS01140	28	15	16	21	2	10	21	37	5	17	29	13	2	12	14	24	29	12	8	24
gene-SYNPCC7002_RS01145	4	5	3	5	0	3	4	5	1	10	3	1	1	6	5	5	9	2	4	4
gene-SYNPCC7002_RS16355	5	2	1	0	0	3	0	2	1	3	3	0	1	4	4	3	3	1	1	5
gene-SYNPCC7002_RS16360	1	3	5	0	0	2	2	2	0	2	8	0	0	3	2	3	1	0	2	2
gene-SYNPCC7002_RS01150	6	0	0	0	0	0	1	8	0	4	1	1	1	2	1	2	0	1	2	8
gene-SYNPCC7002_RS01155	53	33	25	31	2	57	26	37	10	28	86	19	8	22	40	32	46	4	11	36
gene-SYNPCC7002_RS01160	40	19	18	22	7	16	25	32	7	33	39	16	6	18	27	23	15	6	17	24
gene-SYNPCC7002_RS01165	17	12	28	24	5	15	41	12	10	41	43	42	2	22	11	23	14	7	19	17
gene-SYNPCC7002_RS01170	45	54	17	38	6	47	41	34	21	41	69	37	11	20	32	29	19	2	25	34
gene-SYNPCC7002_RS17040	35	17	25	20	0	16	17	31	3	11	32	7	6	12	16	31	32	1	16	17
gene-SYNPCC7002_RS01185	44	29	15	32	5	26	32	38	17	15	74	16	4	20	26	27	28	6	31	19
gene-SYNPCC7002_RS01190	26	18	9	15	5	23	21	31	5	32	42	10	5	4	12	8	21	3	8	8
gene-SYNPCC7002_RS01200	25	2	13	15	1	5	7	17	7	5	15	12	4	10	9	11	14	6	10	10
gene-SYNPCC7002_RS16055	52	18	23	18	8	31	16	33	14	40	92	17	12	34	25	32	30	23	21	30
gene-SYNPCC7002_RS01210	21	8	11	12	2	3	10	12	3	5	24	3	3	6	3	4	11	0	4	7
gene-SYNPCC7002_RS01215	94	47	26	35	13	63	57	64	9	60	113	34	30	27	43	48	53	10	13	79
gene-SYNPCC7002_RS01220	72	25	31	34	6	25	57	51	17	35	67	44	20	33	34	52	42	8	17	53
gene-SYNPCC7002_RS01225	39	10	15	9	4	14	24	29	3	29	26	17	10	3	18	14	22	1	7	24
gene-SYNPCC7002_RS01230	13	5	4	7	6	5	5	9	6	1	12	6	1	6	9	4	9	2	2	9
