Geneid	signal	type	name	locus_tag	old_locus_tag	product	is.de
gene-SYNPCC7002_RS00230	No SP	protein_coding	SYNPCC7002_RS00230	SYNPCC7002_RS00230	SYNPCC7002_A0045	response regulator	TRUE
gene-SYNPCC7002_RS00235	No SP	protein_coding	SYNPCC7002_RS00235	SYNPCC7002_RS00235	SYNPCC7002_A0046	response regulator	TRUE
gene-SYNPCC7002_RS00240	No SP	protein_coding	SYNPCC7002_RS00240	SYNPCC7002_RS00240	SYNPCC7002_A0047	chemotaxis protein CheW	TRUE
gene-SYNPCC7002_RS00245	No SP	protein_coding	SYNPCC7002_RS00245	SYNPCC7002_RS00245	SYNPCC7002_A0048	GAF domain-containing protein	TRUE
gene-SYNPCC7002_RS00250	No SP	protein_coding	SYNPCC7002_RS00250	SYNPCC7002_RS00250	SYNPCC7002_A0049	hybrid sensor histidine kinase/response regulator	TRUE
gene-SYNPCC7002_RS00255	No SP	protein_coding	SYNPCC7002_RS00255	SYNPCC7002_RS00255	SYNPCC7002_A0050	DUF3318 domain-containing protein	TRUE
gene-SYNPCC7002_RS00260	No SP	protein_coding	SYNPCC7002_RS00260	SYNPCC7002_RS00260	SYNPCC7002_A0051	metalloregulator ArsR/SmtB family transcription factor	TRUE
gene-SYNPCC7002_RS00265	No SP	protein_coding	accB	SYNPCC7002_RS00265	SYNPCC7002_A0052	acetyl-CoA carboxylase biotin carboxyl carrier protein	TRUE
gene-SYNPCC7002_RS00270	No SP	protein_coding	efp	SYNPCC7002_RS00270	SYNPCC7002_A0053	elongation factor P	TRUE
gene-SYNPCC7002_RS00275	No SP	protein_coding	SYNPCC7002_RS00275	SYNPCC7002_RS00275	SYNPCC7002_A0054	ComF family protein	TRUE
gene-SYNPCC7002_RS00280	No SP	protein_coding	SYNPCC7002_RS00280	SYNPCC7002_RS00280	SYNPCC7002_A0055	type II toxin-antitoxin system VapC family toxin	TRUE
gene-SYNPCC7002_RS00285	No SP	protein_coding	SYNPCC7002_RS00285	SYNPCC7002_RS00285	SYNPCC7002_A0056	Arc family DNA-binding protein	TRUE
gene-SYNPCC7002_RS00290	No SP	protein_coding	SYNPCC7002_RS00290	SYNPCC7002_RS00290	SYNPCC7002_A0057	hypothetical protein	TRUE
gene-SYNPCC7002_RS00295	No SP	protein_coding	accD	SYNPCC7002_RS00295	SYNPCC7002_A0058	acetyl-CoA carboxylase, carboxyltransferase subunit beta	TRUE
gene-SYNPCC7002_RS00300	No SP	protein_coding	SYNPCC7002_RS00300	SYNPCC7002_RS00300	SYNPCC7002_A0059	hypothetical protein	TRUE
gene-SYNPCC7002_RS00305	No SP	protein_coding	mutT	SYNPCC7002_RS00305	SYNPCC7002_A0060	8-oxo-dGTP diphosphatase MutT	TRUE
gene-SYNPCC7002_RS00310	No SP	protein_coding	rnc	SYNPCC7002_RS00310	SYNPCC7002_A0061	ribonuclease III	TRUE
gene-SYNPCC7002_RS00315	Sec/SPI	protein_coding	SYNPCC7002_RS00315	SYNPCC7002_RS00315	SYNPCC7002_A0062	hypothetical protein	TRUE
gene-SYNPCC7002_RS00320	No SP	protein_coding	SYNPCC7002_RS00320	SYNPCC7002_RS00320	SYNPCC7002_A0063	UPF0182 family protein	TRUE
gene-SYNPCC7002_RS00325	Sec/SPI	protein_coding	SYNPCC7002_RS00325	SYNPCC7002_RS00325	SYNPCC7002_A0064	bifunctional metallophosphatase/5'-nucleotidase	TRUE
gene-SYNPCC7002_RS00330	No SP	protein_coding	SYNPCC7002_RS00330	SYNPCC7002_RS00330	SYNPCC7002_A0065	chlororespiratory reduction protein 7	FALSE
gene-SYNPCC7002_RS00335	No SP	protein_coding	SYNPCC7002_RS00335	SYNPCC7002_RS00335	SYNPCC7002_A0066	YdiU family protein	TRUE
gene-SYNPCC7002_RS00340	No SP	protein_coding	SYNPCC7002_RS00340	SYNPCC7002_RS00340	SYNPCC7002_A0067	PCP reductase family protein	FALSE
gene-SYNPCC7002_RS00345	No SP	protein_coding	lpxB	SYNPCC7002_RS00345	SYNPCC7002_A0068	lipid-A-disaccharide synthase	TRUE
gene-SYNPCC7002_RS00350	No SP	protein_coding	lpxA	SYNPCC7002_RS00350	SYNPCC7002_A0069	acyl-ACP--UDP-N-acetylglucosamine O-acyltransferase	TRUE
gene-SYNPCC7002_RS00355	No SP	protein_coding	fabZ	SYNPCC7002_RS00355	SYNPCC7002_A0070	3-hydroxyacyl-ACP dehydratase FabZ	TRUE
gene-SYNPCC7002_RS00360	No SP	protein_coding	SYNPCC7002_RS00360	SYNPCC7002_RS00360	SYNPCC7002_A0071	TIGR03643 family protein	TRUE
gene-SYNPCC7002_RS00365	No SP	protein_coding	ylqF	SYNPCC7002_RS00365	SYNPCC7002_A0072	ribosome biogenesis GTPase YlqF	TRUE
gene-SYNPCC7002_RS00370	No SP	protein_coding	eno	SYNPCC7002_RS00370	SYNPCC7002_A0073	phosphopyruvate hydratase	TRUE
gene-SYNPCC7002_RS16605	No SP	protein_coding	SYNPCC7002_RS16605	SYNPCC7002_RS16605	NA	hypothetical protein	FALSE
gene-SYNPCC7002_RS00375	No SP	protein_coding	rbfA	SYNPCC7002_RS00375	SYNPCC7002_A0074	30S ribosome-binding factor RbfA	TRUE
gene-SYNPCC7002_RS00380	No SP	protein_coding	SYNPCC7002_RS00380	SYNPCC7002_RS00380	SYNPCC7002_A0075	beta-glucosidase	TRUE
gene-SYNPCC7002_RS00385	No SP	protein_coding	SYNPCC7002_RS00385	SYNPCC7002_RS00385	SYNPCC7002_A0076	DUF4327 family protein	TRUE
gene-SYNPCC7002_RS16340	No SP	protein_coding	SYNPCC7002_RS16340	SYNPCC7002_RS16340	SYNPCC7002_A0077	DUF4327 family protein	TRUE
gene-SYNPCC7002_RS00390	No SP	protein_coding	SYNPCC7002_RS00390	SYNPCC7002_RS00390	SYNPCC7002_A0078	hypothetical protein	TRUE
gene-SYNPCC7002_RS00395	No SP	protein_coding	SYNPCC7002_RS00395	SYNPCC7002_RS00395	SYNPCC7002_A0079	hypothetical protein	TRUE
gene-SYNPCC7002_RS17030	No SP	protein_coding	SYNPCC7002_RS17030	SYNPCC7002_RS17030	NA	ion channel	FALSE
gene-SYNPCC7002_RS17035	No SP	protein_coding	SYNPCC7002_RS17035	SYNPCC7002_RS17035	NA	hypothetical protein	FALSE
gene-SYNPCC7002_RS00405	No SP	protein_coding	SYNPCC7002_RS00405	SYNPCC7002_RS00405	SYNPCC7002_A0081	heavy-metal-associated domain-containing protein	TRUE
gene-SYNPCC7002_RS00410	Sec/SPI	protein_coding	SYNPCC7002_RS00410	SYNPCC7002_RS00410	SYNPCC7002_A0082	peptidoglycan-binding protein	TRUE
gene-SYNPCC7002_RS00415	No SP	protein_coding	SYNPCC7002_RS00415	SYNPCC7002_RS00415	SYNPCC7002_A0083	insulinase family protein	TRUE
gene-SYNPCC7002_RS00420	No SP	protein_coding	SYNPCC7002_RS00420	SYNPCC7002_RS00420	SYNPCC7002_A0084	biotin--[acetyl-CoA-carboxylase] ligase	FALSE
gene-SYNPCC7002_RS00425	No SP	protein_coding	SYNPCC7002_RS00425	SYNPCC7002_RS00425	SYNPCC7002_A0085	SDR family oxidoreductase	TRUE
gene-SYNPCC7002_RS00430	Tat/SPII	protein_coding	msrP	SYNPCC7002_RS00430	SYNPCC7002_A0086	protein-methionine-sulfoxide reductase catalytic subunit MsrP	TRUE
gene-SYNPCC7002_RS00435	No SP	protein_coding	SYNPCC7002_RS00435	SYNPCC7002_RS00435	SYNPCC7002_A0087	MFS transporter	TRUE
gene-SYNPCC7002_RS00440	No SP	protein_coding	SYNPCC7002_RS00440	SYNPCC7002_RS00440	SYNPCC7002_A0088	hypothetical protein	TRUE
gene-SYNPCC7002_RS00445	No SP	protein_coding	SYNPCC7002_RS00445	SYNPCC7002_RS00445	SYNPCC7002_A0089	2TM domain-containing protein	TRUE
gene-SYNPCC7002_RS00450	No SP	protein_coding	SYNPCC7002_RS00450	SYNPCC7002_RS00450	SYNPCC7002_A0090	Uma2 family endonuclease	TRUE
gene-SYNPCC7002_RS00455	No SP	protein_coding	thrB	SYNPCC7002_RS00455	SYNPCC7002_A0091	homoserine kinase	TRUE
gene-SYNPCC7002_RS00460	Sec/SPI	protein_coding	SYNPCC7002_RS00460	SYNPCC7002_RS00460	SYNPCC7002_A0092	hypothetical protein	TRUE
gene-SYNPCC7002_RS00465	No SP	protein_coding	SYNPCC7002_RS00465	SYNPCC7002_RS00465	SYNPCC7002_A0093	DUF2488 family protein	TRUE
gene-SYNPCC7002_RS00470	No SP	protein_coding	SYNPCC7002_RS00470	SYNPCC7002_RS00470	SYNPCC7002_A0094	pyridoxine 5'-phosphate synthase	TRUE
gene-SYNPCC7002_RS17175	No SP	protein_coding	SYNPCC7002_RS17175	SYNPCC7002_RS17175	NA	hypothetical protein	TRUE
gene-SYNPCC7002_RS00475	No SP	protein_coding	SYNPCC7002_RS00475	SYNPCC7002_RS00475	SYNPCC7002_A0095	glucose-1-phosphate adenylyltransferase	TRUE
gene-SYNPCC7002_RS00480	No SP	protein_coding	rimI	SYNPCC7002_RS00480	SYNPCC7002_A0096	ribosomal protein S18-alanine N-acetyltransferase	TRUE
gene-SYNPCC7002_RS00485	Sec/SPI	protein_coding	SYNPCC7002_RS00485	SYNPCC7002_RS00485	NA	hypothetical protein	TRUE
gene-SYNPCC7002_RS00490	No SP	protein_coding	lysA	SYNPCC7002_RS00490	SYNPCC7002_A0097	diaminopimelate decarboxylase	TRUE
gene-SYNPCC7002_RS00495	No SP	protein_coding	cdaA	SYNPCC7002_RS00495	SYNPCC7002_A0098	diadenylate cyclase CdaA	TRUE
gene-SYNPCC7002_RS00500	No SP	protein_coding	SYNPCC7002_RS00500	SYNPCC7002_RS00500	SYNPCC7002_A0099	isoprenyl transferase	TRUE
gene-SYNPCC7002_RS00510	Tat/SPI	protein_coding	SYNPCC7002_RS00510	SYNPCC7002_RS00510	SYNPCC7002_A0101	caspase family protein	TRUE
gene-SYNPCC7002_RS00515	No SP	protein_coding	SYNPCC7002_RS00515	SYNPCC7002_RS00515	SYNPCC7002_A0103	YbaB/EbfC family nucleoid-associated protein	TRUE
gene-SYNPCC7002_RS00520	No SP	protein_coding	murB	SYNPCC7002_RS00520	SYNPCC7002_A0104	UDP-N-acetylmuramate dehydrogenase	TRUE
gene-SYNPCC7002_RS00525	No SP	protein_coding	murC	SYNPCC7002_RS00525	SYNPCC7002_A0105	UDP-N-acetylmuramate--L-alanine ligase	TRUE
gene-SYNPCC7002_RS00530	No SP	protein_coding	SYNPCC7002_RS00530	SYNPCC7002_RS00530	SYNPCC7002_A0106	type I glyceraldehyde-3-phosphate dehydrogenase	TRUE
gene-SYNPCC7002_RS00535	No SP	protein_coding	SYNPCC7002_RS00535	SYNPCC7002_RS00535	SYNPCC7002_A0107	hypothetical protein	TRUE
gene-SYNPCC7002_RS00540	No SP	protein_coding	SYNPCC7002_RS00540	SYNPCC7002_RS00540	SYNPCC7002_A0108	S-methyl-5'-thioadenosine phosphorylase	TRUE
gene-SYNPCC7002_RS00545	No SP	protein_coding	SYNPCC7002_RS00545	SYNPCC7002_RS00545	SYNPCC7002_A0109	redoxin domain-containing protein	TRUE
gene-SYNPCC7002_RS00550	No SP	protein_coding	SYNPCC7002_RS00550	SYNPCC7002_RS00550	SYNPCC7002_A0110	2-oxo acid dehydrogenase subunit E2	TRUE
gene-SYNPCC7002_RS00555	Sec/SPI	protein_coding	psbV	SYNPCC7002_RS00555	SYNPCC7002_A0112	photosystem II cytochrome c-550	TRUE
gene-SYNPCC7002_RS00560	No SP	protein_coding	SYNPCC7002_RS00560	SYNPCC7002_RS00560	SYNPCC7002_A0113	sirohydrochlorin chelatase	FALSE
gene-SYNPCC7002_RS00565	No SP	protein_coding	SYNPCC7002_RS00565	SYNPCC7002_RS00565	SYNPCC7002_A0114	zf-TFIIB domain-containing protein	TRUE
gene-SYNPCC7002_RS00570	No SP	protein_coding	SYNPCC7002_RS00570	SYNPCC7002_RS00570	SYNPCC7002_A0115	glycoside hydrolase	TRUE
gene-SYNPCC7002_RS00575	No SP	protein_coding	SYNPCC7002_RS00575	SYNPCC7002_RS00575	SYNPCC7002_A0116	aldo/keto reductase	TRUE
gene-SYNPCC7002_RS00580	No SP	protein_coding	SYNPCC7002_RS00580	SYNPCC7002_RS00580	SYNPCC7002_A0117	glutathione peroxidase	TRUE
gene-SYNPCC7002_RS00585	No SP	protein_coding	SYNPCC7002_RS00585	SYNPCC7002_RS00585	SYNPCC7002_A0118	glutathione S-transferase family protein	TRUE
gene-SYNPCC7002_RS00590	No SP	protein_coding	SYNPCC7002_RS00590	SYNPCC7002_RS00590	SYNPCC7002_A0119	single-stranded DNA-binding protein	TRUE
gene-SYNPCC7002_RS00595	No SP	protein_coding	SYNPCC7002_RS00595	SYNPCC7002_RS00595	SYNPCC7002_A0120	ABC transporter ATP-binding protein	TRUE
gene-SYNPCC7002_RS00600	No SP	protein_coding	SYNPCC7002_RS00600	SYNPCC7002_RS00600	SYNPCC7002_A0121	UDP-N-acetylmuramoyl-L-alanyl-D-glutamate--2,6-diaminopimelate ligase	TRUE
gene-SYNPCC7002_RS00605	No SP	protein_coding	SYNPCC7002_RS00605	SYNPCC7002_RS00605	SYNPCC7002_A0122	NUDIX hydrolase	TRUE
gene-SYNPCC7002_RS00610	No SP	protein_coding	der	SYNPCC7002_RS00610	SYNPCC7002_A0123	ribosome biogenesis GTPase Der	TRUE
gene-SYNPCC7002_RS00615	No SP	protein_coding	SYNPCC7002_RS00615	SYNPCC7002_RS00615	SYNPCC7002_A0124	saccharopine dehydrogenase NADP-binding domain-containing protein	TRUE
gene-SYNPCC7002_RS00620	No SP	protein_coding	SYNPCC7002_RS00620	SYNPCC7002_RS00620	SYNPCC7002_A0125	formate/nitrite transporter family protein	TRUE
gene-SYNPCC7002_RS00625	No SP	protein_coding	trmH	SYNPCC7002_RS00625	SYNPCC7002_A0126	tRNA (guanosine(18)-2'-O)-methyltransferase TrmH	TRUE
gene-SYNPCC7002_RS00630	No SP	protein_coding	SYNPCC7002_RS00630	SYNPCC7002_RS00630	SYNPCC7002_A0127	GFA family protein	TRUE
gene-SYNPCC7002_RS00635	No SP	protein_coding	SYNPCC7002_RS00635	SYNPCC7002_RS00635	SYNPCC7002_A0128	Rrf2 family transcriptional regulator	TRUE
gene-SYNPCC7002_RS00640	No SP	protein_coding	SYNPCC7002_RS00640	SYNPCC7002_RS00640	SYNPCC7002_A0129	AbrB family transcriptional regulator	TRUE
gene-SYNPCC7002_RS00645	No SP	protein_coding	SYNPCC7002_RS00645	SYNPCC7002_RS00645	SYNPCC7002_A0130	bifunctional 4-hydroxy-2-oxoglutarate aldolase/2-dehydro-3-deoxy-phosphogluconate aldolase	TRUE
gene-SYNPCC7002_RS00650	No SP	protein_coding	SYNPCC7002_RS00650	SYNPCC7002_RS00650	SYNPCC7002_A0131	heavy metal-responsive transcriptional regulator	TRUE
gene-SYNPCC7002_RS00655	No SP	protein_coding	SYNPCC7002_RS00655	SYNPCC7002_RS00655	SYNPCC7002_A0132	hypothetical protein	TRUE
gene-SYNPCC7002_RS00660	No SP	protein_coding	SYNPCC7002_RS00660	SYNPCC7002_RS00660	SYNPCC7002_A0133	sugar ABC transporter permease	TRUE
gene-SYNPCC7002_RS00665	No SP	protein_coding	murJ	SYNPCC7002_RS00665	SYNPCC7002_A0134	murein biosynthesis integral membrane protein MurJ	TRUE
gene-SYNPCC7002_RS00670	No SP	protein_coding	psbZ	SYNPCC7002_RS00670	SYNPCC7002_A0135	photosystem II reaction center protein PsbZ	TRUE
gene-SYNPCC7002_RS00675	No SP	protein_coding	ribH	SYNPCC7002_RS00675	SYNPCC7002_A0136	6,7-dimethyl-8-ribityllumazine synthase	TRUE
gene-SYNPCC7002_RS00685	No SP	protein_coding	SYNPCC7002_RS00685	SYNPCC7002_RS00685	SYNPCC7002_A0138	PBP1A family penicillin-binding protein	TRUE
gene-SYNPCC7002_RS00690	No SP	protein_coding	SYNPCC7002_RS00690	SYNPCC7002_RS00690	SYNPCC7002_A0139	response regulator transcription factor	TRUE
gene-SYNPCC7002_RS00695	No SP	protein_coding	SYNPCC7002_RS00695	SYNPCC7002_RS00695	SYNPCC7002_A0140	DUF4278 domain-containing protein	TRUE
gene-SYNPCC7002_RS00700	No SP	protein_coding	SYNPCC7002_RS00700	SYNPCC7002_RS00700	SYNPCC7002_A0141	ATP-dependent Clp protease ATP-binding subunit	TRUE
gene-SYNPCC7002_RS00705	No SP	protein_coding	SYNPCC7002_RS00705	SYNPCC7002_RS00705	SYNPCC7002_A0142	DUF565 domain-containing protein	FALSE
gene-SYNPCC7002_RS00710	No SP	protein_coding	SYNPCC7002_RS00710	SYNPCC7002_RS00710	SYNPCC7002_A0143	DUF3611 family protein	TRUE
gene-SYNPCC7002_RS00715	No SP	protein_coding	SYNPCC7002_RS00715	SYNPCC7002_RS00715	SYNPCC7002_A0144	GTP-binding protein	TRUE
gene-SYNPCC7002_RS00720	No SP	protein_coding	SYNPCC7002_RS00720	SYNPCC7002_RS00720	SYNPCC7002_A0145	hypothetical protein	TRUE
gene-SYNPCC7002_RS00725	No SP	protein_coding	SYNPCC7002_RS00725	SYNPCC7002_RS00725	SYNPCC7002_A0146	fibronectin-binding domain-containing protein	FALSE
gene-SYNPCC7002_RS00730	No SP	protein_coding	groL	SYNPCC7002_RS00730	SYNPCC7002_A0147	chaperonin GroEL	TRUE
gene-SYNPCC7002_RS16040	No SP	protein_coding	SYNPCC7002_RS16040	SYNPCC7002_RS16040	SYNPCC7002_A0148	PAS domain-containing protein	TRUE
gene-SYNPCC7002_RS00740	No SP	protein_coding	SYNPCC7002_RS00740	SYNPCC7002_RS00740	SYNPCC7002_A0149	glycosyltransferase family 4 protein	TRUE
gene-SYNPCC7002_RS00745	No SP	protein_coding	SYNPCC7002_RS00745	SYNPCC7002_RS00745	SYNPCC7002_A0150	5'-nucleotidase C-terminal domain-containing protein	TRUE
gene-SYNPCC7002_RS00750	No SP	protein_coding	SYNPCC7002_RS00750	SYNPCC7002_RS00750	SYNPCC7002_A0151	mechanosensitive ion channel	TRUE
gene-SYNPCC7002_RS00755	No SP	protein_coding	SYNPCC7002_RS00755	SYNPCC7002_RS00755	SYNPCC7002_A0152	SRPBCC family protein	TRUE
gene-SYNPCC7002_RS00760	No SP	protein_coding	SYNPCC7002_RS00760	SYNPCC7002_RS00760	SYNPCC7002_A0153	hypothetical protein	TRUE
gene-SYNPCC7002_RS00765	No SP	protein_coding	SYNPCC7002_RS00765	SYNPCC7002_RS00765	SYNPCC7002_A0154	energy-coupling factor ABC transporter ATP-binding protein	TRUE
gene-SYNPCC7002_RS00770	No SP	protein_coding	dut	SYNPCC7002_RS00770	SYNPCC7002_A0155	dUTP diphosphatase	TRUE
gene-SYNPCC7002_RS00775	No SP	protein_coding	SYNPCC7002_RS00775	SYNPCC7002_RS00775	SYNPCC7002_A0156	hypothetical protein	TRUE
gene-SYNPCC7002_RS00780	No SP	protein_coding	psbA	SYNPCC7002_RS00780	SYNPCC7002_A0157	photosystem II q(b) protein	TRUE
gene-SYNPCC7002_RS00785	No SP	protein_coding	SYNPCC7002_RS00785	SYNPCC7002_RS00785	SYNPCC7002_A0158	transglycosylase SLT domain-containing protein	TRUE
gene-SYNPCC7002_RS00790	No SP	protein_coding	SYNPCC7002_RS00790	SYNPCC7002_RS00790	SYNPCC7002_A0159	fatty acid desaturase	TRUE
gene-SYNPCC7002_RS00795	No SP	protein_coding	SYNPCC7002_RS00795	SYNPCC7002_RS00795	SYNPCC7002_A0160	hypothetical protein	TRUE
gene-SYNPCC7002_RS00800	No SP	protein_coding	SYNPCC7002_RS00800	SYNPCC7002_RS00800	SYNPCC7002_A0161	COP23 domain-containing protein	FALSE
gene-SYNPCC7002_RS00805	No SP	protein_coding	SYNPCC7002_RS00805	SYNPCC7002_RS00805	SYNPCC7002_A0162	ATP-dependent 6-phosphofructokinase	TRUE
gene-SYNPCC7002_RS00810	No SP	protein_coding	SYNPCC7002_RS00810	SYNPCC7002_RS00810	SYNPCC7002_A0163	hypothetical protein	TRUE
gene-SYNPCC7002_RS00815	No SP	protein_coding	SYNPCC7002_RS00815	SYNPCC7002_RS00815	SYNPCC7002_A0164	hypothetical protein	TRUE
gene-SYNPCC7002_RS00820	No SP	protein_coding	SYNPCC7002_RS00820	SYNPCC7002_RS00820	SYNPCC7002_A0165	phosphoglucomutase/phosphomannomutase family protein	TRUE
