locus	string.name	cluster	Geneid	type	name	locus_tag	product
SYNPCC7002_A2267	ACB00246.1	170	gene-SYNPCC7002_RS11240	protein_coding	SYNPCC7002_RS11240	SYNPCC7002_RS11240	TrkA family potassium uptake protein
SYNPCC7002_A0087	ACA98103.1	97	gene-SYNPCC7002_RS00435	protein_coding	SYNPCC7002_RS00435	SYNPCC7002_RS00435	MFS transporter
SYNPCC7002_A2268	ACB00247.1	171	gene-SYNPCC7002_RS11245	protein_coding	SYNPCC7002_RS11245	SYNPCC7002_RS11245	TrkH family potassium uptake protein
SYNPCC7002_A2265	ACB00244.1	170	gene-SYNPCC7002_RS11230	protein_coding	SYNPCC7002_RS11230	SYNPCC7002_RS11230	DUF6208 family protein
SYNPCC7002_A2266	ddpX	170	gene-SYNPCC7002_RS11235	protein_coding	SYNPCC7002_RS11235	SYNPCC7002_RS11235	M15 family metallopeptidase
SYNPCC7002_A0089	ACA98105.1	97	gene-SYNPCC7002_RS00445	protein_coding	SYNPCC7002_RS00445	SYNPCC7002_RS00445	2TM domain-containing protein
SYNPCC7002_A0083	ACA98099.1	1	gene-SYNPCC7002_RS00415	protein_coding	SYNPCC7002_RS00415	SYNPCC7002_RS00415	insulinase family protein
SYNPCC7002_A0086	ACA98102.1	97	gene-SYNPCC7002_RS00430	protein_coding	msrP	SYNPCC7002_RS00430	protein-methionine-sulfoxide reductase catalytic subunit MsrP
SYNPCC7002_A0085	ACA98101.1	1	gene-SYNPCC7002_RS00425	protein_coding	SYNPCC7002_RS00425	SYNPCC7002_RS00425	SDR family oxidoreductase
SYNPCC7002_A2260	ACB00239.1	316	gene-SYNPCC7002_RS11205	protein_coding	SYNPCC7002_RS11205	SYNPCC7002_RS11205	hypothetical protein
SYNPCC7002_A0082	ACA98098.1	15	gene-SYNPCC7002_RS00410	protein_coding	SYNPCC7002_RS00410	SYNPCC7002_RS00410	peptidoglycan-binding protein
SYNPCC7002_A0081	copZ	317	gene-SYNPCC7002_RS00405	protein_coding	SYNPCC7002_RS00405	SYNPCC7002_RS00405	heavy-metal-associated domain-containing protein
SYNPCC7002_A2258	ACB00237.1	316	gene-SYNPCC7002_RS11200	protein_coding	SYNPCC7002_RS11200	SYNPCC7002_RS11200	pentapeptide repeat-containing protein
SYNPCC7002_A0709	ACA98714.1	142	gene-SYNPCC7002_RS03545	protein_coding	SYNPCC7002_RS03545	SYNPCC7002_RS03545	PH domain-containing protein
SYNPCC7002_A0906	ACA98910.1	2	gene-SYNPCC7002_RS04525	protein_coding	SYNPCC7002_RS04525	SYNPCC7002_RS04525	SpoIIE family protein phosphatase
SYNPCC7002_A0909	ACA98913.1	75	gene-SYNPCC7002_RS04540	protein_coding	SYNPCC7002_RS04540	SYNPCC7002_RS04540	CYTH domain-containing protein
SYNPCC7002_A0704	ACA98709.1	1	gene-SYNPCC7002_RS03520	protein_coding	SYNPCC7002_RS03520	SYNPCC7002_RS03520	alpha/beta fold hydrolase
SYNPCC7002_A0908	chlM	6	gene-SYNPCC7002_RS04535	protein_coding	bchM	SYNPCC7002_RS04535	magnesium protoporphyrin IX methyltransferase
SYNPCC7002_A0707	acsF	183	gene-SYNPCC7002_RS03535	protein_coding	acsF	SYNPCC7002_RS03535	magnesium-protoporphyrin IX monomethyl ester (oxidative) cyclase
SYNPCC7002_A0903	trmB	137	gene-SYNPCC7002_RS04510	protein_coding	trmB	SYNPCC7002_RS04510	tRNA (guanosine(46)-N7)-methyltransferase TrmB
SYNPCC7002_A0902	ftsH-4	1	gene-SYNPCC7002_RS04505	protein_coding	ftsH4	SYNPCC7002_RS04505	ATP-dependent zinc metalloprotease FtsH4
SYNPCC7002_A0701	ACA98706.1	17	gene-SYNPCC7002_RS03505	protein_coding	SYNPCC7002_RS03505	SYNPCC7002_RS03505	hypothetical protein
SYNPCC7002_A0905	ACA98909.1	51	gene-SYNPCC7002_RS04520	protein_coding	larB	SYNPCC7002_RS04520	nickel pincer cofactor biosynthesis protein LarB
SYNPCC7002_A0700	ACA98705.1	32	gene-SYNPCC7002_RS03500	protein_coding	SYNPCC7002_RS03500	SYNPCC7002_RS03500	hypothetical protein
SYNPCC7002_A0702	ACA98707.1	1	gene-SYNPCC7002_RS03510	protein_coding	SYNPCC7002_RS03510	SYNPCC7002_RS03510	class I SAM-dependent methyltransferase
SYNPCC7002_A0900	ACA98904.1	2	gene-SYNPCC7002_RS04495	protein_coding	SYNPCC7002_RS04495	SYNPCC7002_RS04495	ATP-binding protein
SYNPCC7002_A0750	atpC	1	gene-SYNPCC7002_RS03745	protein_coding	atpC	SYNPCC7002_RS03745	ATP synthase F1 subunit epsilon
SYNPCC7002_A0749	atpD	1	gene-SYNPCC7002_RS03740	protein_coding	atpD	SYNPCC7002_RS03740	F0F1 ATP synthase subunit beta
SYNPCC7002_A1486	ACA99477.1	169	gene-SYNPCC7002_RS07445	protein_coding	SYNPCC7002_RS07445	SYNPCC7002_RS07445	hypothetical protein
SYNPCC7002_A1487	ACA99478.1	169	gene-SYNPCC7002_RS16120	protein_coding	SYNPCC7002_RS16120	SYNPCC7002_RS16120	cupin domain-containing protein
SYNPCC7002_A0744	ACA98749.1	1	gene-SYNPCC7002_RS03715	protein_coding	SYNPCC7002_RS03715	SYNPCC7002_RS03715	phosphotransacetylase family protein
SYNPCC7002_A1003	ACA99006.1	151	gene-SYNPCC7002_RS05005	protein_coding	SYNPCC7002_RS05005	SYNPCC7002_RS05005	sodium:proton antiporter
SYNPCC7002_A0747	ACA98752.1	433	gene-SYNPCC7002_RS03730	protein_coding	SYNPCC7002_RS03730	SYNPCC7002_RS03730	four-carbon acid sugar kinase family protein
SYNPCC7002_A1000	chlH	6	gene-SYNPCC7002_RS04990	protein_coding	bchH	SYNPCC7002_RS04990	magnesium chelatase subunit H
SYNPCC7002_A0746	dusA	433	gene-SYNPCC7002_RS03725	protein_coding	dusA	SYNPCC7002_RS03725	tRNA dihydrouridine(20/20a) synthase DusA
SYNPCC7002_A0741	ACA98746.1	432	gene-SYNPCC7002_RS03695	protein_coding	SYNPCC7002_RS03695	SYNPCC7002_RS03695	aldo/keto reductase
SYNPCC7002_A0740	atp1	35	gene-SYNPCC7002_RS03690	protein_coding	SYNPCC7002_RS03690	SYNPCC7002_RS03690	ATP synthase subunit I
SYNPCC7002_A0156	ACA98170.1	115	gene-SYNPCC7002_RS00775	protein_coding	SYNPCC7002_RS00775	SYNPCC7002_RS00775	hypothetical protein
SYNPCC7002_A1001	ACA99004.1	6	gene-SYNPCC7002_RS04995	protein_coding	SYNPCC7002_RS04995	SYNPCC7002_RS04995	restriction endonuclease
SYNPCC7002_A0742	ACA98747.1	432	gene-SYNPCC7002_RS03700	protein_coding	SYNPCC7002_RS03700	SYNPCC7002_RS03700	hypothetical protein
SYNPCC7002_A1485	ACA99476.1	169	gene-SYNPCC7002_RS07440	protein_coding	SYNPCC7002_RS07440	SYNPCC7002_RS07440	oxidoreductase
SYNPCC7002_A0738	atpE	1	gene-SYNPCC7002_RS03680	protein_coding	atpE	SYNPCC7002_RS03680	ATP synthase F0 subunit C
SYNPCC7002_A0155	dut	115	gene-SYNPCC7002_RS00770	protein_coding	dut	SYNPCC7002_RS00770	dUTP diphosphatase
SYNPCC7002_A0737	atpG-2	1	gene-SYNPCC7002_RS03675	protein_coding	SYNPCC7002_RS03675	SYNPCC7002_RS03675	F0F1 ATP synthase subunit B'
SYNPCC7002_A0150	ACA98164.1	134	gene-SYNPCC7002_RS00745	protein_coding	SYNPCC7002_RS00745	SYNPCC7002_RS00745	5'-nucleotidase C-terminal domain-containing protein
SYNPCC7002_A0739	atpB	1	gene-SYNPCC7002_RS03685	protein_coding	atpB	SYNPCC7002_RS03685	F0F1 ATP synthase subunit A
SYNPCC7002_A1482	ACA99473.1	168	gene-SYNPCC7002_RS07425	protein_coding	SYNPCC7002_RS07425	SYNPCC7002_RS07425	ABC transporter ATP-binding protein
SYNPCC7002_A0734	atpA	1	gene-SYNPCC7002_RS03660	protein_coding	atpA	SYNPCC7002_RS03660	F0F1 ATP synthase subunit alpha
SYNPCC7002_A2330	ACB00308.1	8	gene-SYNPCC7002_RS11540	protein_coding	SYNPCC7002_RS11540	SYNPCC7002_RS11540	type 1 glutamine amidotransferase
SYNPCC7002_A0733	atpG	1	gene-SYNPCC7002_RS03655	protein_coding	SYNPCC7002_RS03655	SYNPCC7002_RS03655	F0F1 ATP synthase subunit gamma
SYNPCC7002_A1483	ACA99474.1	168	gene-SYNPCC7002_RS07430	protein_coding	SYNPCC7002_RS07430	SYNPCC7002_RS07430	efflux RND transporter periplasmic adaptor subunit
SYNPCC7002_A0736	atpF	1	gene-SYNPCC7002_RS03670	protein_coding	SYNPCC7002_RS03670	SYNPCC7002_RS03670	F0F1 ATP synthase subunit B
SYNPCC7002_A1480	ACA99471.1	314	gene-SYNPCC7002_RS16115	protein_coding	SYNPCC7002_RS16115	SYNPCC7002_RS16115	DUF1176 domain-containing protein
SYNPCC7002_A0735	atpH	1	gene-SYNPCC7002_RS03665	protein_coding	atpH	SYNPCC7002_RS03665	ATP synthase F1 subunit delta
SYNPCC7002_A0730	ACA98735.1	242	gene-SYNPCC7002_RS03640	protein_coding	cimA	SYNPCC7002_RS03640	citramalate synthase
SYNPCC7002_A1481	ACA99472.1	168	gene-SYNPCC7002_RS07420	protein_coding	SYNPCC7002_RS07420	SYNPCC7002_RS07420	ABC transporter permease
SYNPCC7002_A0732	thf1	27	gene-SYNPCC7002_RS03650	protein_coding	psb29	SYNPCC7002_RS03650	photosystem II biogenesis protein Psp29
SYNPCC7002_A0727	ctaCII	1	gene-SYNPCC7002_RS03625	protein_coding	SYNPCC7002_RS03625	SYNPCC7002_RS03625	cytochrome c oxidase subunit II
SYNPCC7002_A2329	ureF	96	gene-SYNPCC7002_RS11535	protein_coding	SYNPCC7002_RS11535	SYNPCC7002_RS11535	urease accessory protein UreF
SYNPCC7002_A0726	ctaDII	1	gene-SYNPCC7002_RS03620	protein_coding	ctaD	SYNPCC7002_RS03620	cytochrome c oxidase subunit I
SYNPCC7002_A0147	groEL-II	315	gene-SYNPCC7002_RS00730	protein_coding	groL	SYNPCC7002_RS00730	chaperonin GroEL
SYNPCC7002_A0729	sll1485	395	gene-SYNPCC7002_RS03635	protein_coding	SYNPCC7002_RS03635	SYNPCC7002_RS03635	DUF2231 domain-containing protein
SYNPCC7002_A1479	ACA99470.1	314	gene-SYNPCC7002_RS07410	protein_coding	SYNPCC7002_RS07410	SYNPCC7002_RS07410	hypothetical protein
SYNPCC7002_A0723	ACA98728.1	85	gene-SYNPCC7002_RS03605	protein_coding	SYNPCC7002_RS03605	SYNPCC7002_RS03605	pentapeptide repeat-containing protein
SYNPCC7002_A2326	petF-4	313	gene-SYNPCC7002_RS11520	protein_coding	petF1	SYNPCC7002_RS11520	ferredoxin PetF1
SYNPCC7002_A0721	ACA98726.1	1	gene-SYNPCC7002_RS03600	protein_coding	SYNPCC7002_RS03600	SYNPCC7002_RS03600	HD domain-containing protein
SYNPCC7002_A2327	ndhD	1	gene-SYNPCC7002_RS11525	protein_coding	SYNPCC7002_RS11525	SYNPCC7002_RS11525	NAD(P)H-quinone oxidoreductase subunit 4
SYNPCC7002_A0720	ureE	117	gene-SYNPCC7002_RS03595	protein_coding	ureE	SYNPCC7002_RS03595	urease accessory protein UreE
SYNPCC7002_A2324	bvdR	312	gene-SYNPCC7002_RS11510	protein_coding	SYNPCC7002_RS11510	SYNPCC7002_RS11510	Gfo/Idh/MocA family oxidoreductase
SYNPCC7002_A0149	ACA98163.1	1	gene-SYNPCC7002_RS00740	protein_coding	SYNPCC7002_RS00740	SYNPCC7002_RS00740	glycosyltransferase family 4 protein
SYNPCC7002_A2325	petF-3	313	gene-SYNPCC7002_RS11515	protein_coding	SYNPCC7002_RS11515	SYNPCC7002_RS11515	ferredoxin
SYNPCC7002_A0712	ACA98717.1	303	gene-SYNPCC7002_RS03555	protein_coding	SYNPCC7002_RS03555	SYNPCC7002_RS03555	ABC transporter ATP-binding protein/permease
SYNPCC7002_A1478	ACA99469.1	95	gene-SYNPCC7002_RS07405	protein_coding	SYNPCC7002_RS07405	SYNPCC7002_RS07405	hypothetical protein
SYNPCC7002_A0148	ACA98162.1	2	gene-SYNPCC7002_RS16040	protein_coding	SYNPCC7002_RS16040	SYNPCC7002_RS16040	PAS domain-containing protein
SYNPCC7002_A0714	ACA98719.1	431	gene-SYNPCC7002_RS03565	protein_coding	SYNPCC7002_RS03565	SYNPCC7002_RS03565	alpha/beta hydrolase
SYNPCC7002_A0143	ACA98157.1	3	gene-SYNPCC7002_RS00710	protein_coding	SYNPCC7002_RS00710	SYNPCC7002_RS00710	DUF3611 family protein
SYNPCC7002_A0713	phnC	431	gene-SYNPCC7002_RS03560	protein_coding	SYNPCC7002_RS03560	SYNPCC7002_RS03560	ATP-binding cassette domain-containing protein
SYNPCC7002_A2323	ACB00301.1	312	gene-SYNPCC7002_RS11505	protein_coding	SYNPCC7002_RS11505	SYNPCC7002_RS11505	hypothetical protein
SYNPCC7002_A2057	ACB00044.1	243	gene-SYNPCC7002_RS10260	protein_coding	SYNPCC7002_RS10260	SYNPCC7002_RS10260	OsmC family protein
SYNPCC7002_A2055	ACB00042.1	144	gene-SYNPCC7002_RS10250	protein_coding	SYNPCC7002_RS10250	SYNPCC7002_RS10250	DUF924 domain-containing protein
SYNPCC7002_A1473	ACA99464.1	311	gene-SYNPCC7002_RS07375	protein_coding	SYNPCC7002_RS07375	SYNPCC7002_RS07375	hypothetical protein
SYNPCC7002_A2320	ACB00298.1	167	gene-SYNPCC7002_RS11490	protein_coding	SYNPCC7002_RS11490	SYNPCC7002_RS11490	DUF411 domain-containing protein
SYNPCC7002_A0145	ACA98159.1	310	gene-SYNPCC7002_RS00720	protein_coding	SYNPCC7002_RS00720	SYNPCC7002_RS00720	hypothetical protein
SYNPCC7002_A1474	ACA99465.1	311	gene-SYNPCC7002_RS07380	protein_coding	SYNPCC7002_RS07380	SYNPCC7002_RS07380	aldo/keto reductase
SYNPCC7002_A0144	ACA98158.1	310	gene-SYNPCC7002_RS00715	protein_coding	SYNPCC7002_RS00715	SYNPCC7002_RS00715	GTP-binding protein
SYNPCC7002_A2049	hisD	24	gene-SYNPCC7002_RS10220	protein_coding	hisD	SYNPCC7002_RS10220	histidinol dehydrogenase
SYNPCC7002_A1471	ACA99462.1	309	gene-SYNPCC7002_RS07365	protein_coding	SYNPCC7002_RS07365	SYNPCC7002_RS07365	hypothetical protein
SYNPCC7002_A2048	rpsT	1	gene-SYNPCC7002_RS10215	protein_coding	rpsT	SYNPCC7002_RS10215	30S ribosomal protein S20
SYNPCC7002_A1198	cbbR2	400	gene-SYNPCC7002_RS05985	protein_coding	SYNPCC7002_RS05985	SYNPCC7002_RS05985	LysR family transcriptional regulator
SYNPCC7002_A1470	ACA99461.1	309	gene-SYNPCC7002_RS07360	protein_coding	SYNPCC7002_RS07360	SYNPCC7002_RS07360	hypothetical protein
SYNPCC7002_A2045	rpoB	1	gene-SYNPCC7002_RS10205	protein_coding	rpoB	SYNPCC7002_RS10205	DNA-directed RNA polymerase subunit beta
SYNPCC7002_A1199	ACA99198.1	59	gene-SYNPCC7002_RS05990	protein_coding	SYNPCC7002_RS05990	SYNPCC7002_RS05990	TIGR02652 family protein
SYNPCC7002_A2319	ACB00297.1	167	gene-SYNPCC7002_RS11485	protein_coding	SYNPCC7002_RS11485	SYNPCC7002_RS11485	multicopper oxidase family protein
SYNPCC7002_A1196	ACA99195.1	362	gene-SYNPCC7002_RS05975	protein_coding	SYNPCC7002_RS05975	SYNPCC7002_RS05975	thioredoxin domain-containing protein
SYNPCC7002_A0139	ACA98153.1	2	gene-SYNPCC7002_RS00690	protein_coding	SYNPCC7002_RS00690	SYNPCC7002_RS00690	response regulator transcription factor
SYNPCC7002_A2043	rpoC2	1	gene-SYNPCC7002_RS10195	protein_coding	SYNPCC7002_RS10195	SYNPCC7002_RS10195	DNA-directed RNA polymerase subunit beta'
SYNPCC7002_A2317	ACB00295.1	60	gene-SYNPCC7002_RS11475	protein_coding	SYNPCC7002_RS11475	SYNPCC7002_RS11475	PIN domain-containing protein
SYNPCC7002_A2044	rpoC1	1	gene-SYNPCC7002_RS10200	protein_coding	SYNPCC7002_RS10200	SYNPCC7002_RS10200	DNA-directed RNA polymerase subunit gamma
SYNPCC7002_A2318	pacS	167	gene-SYNPCC7002_RS11480	protein_coding	SYNPCC7002_RS11480	SYNPCC7002_RS11480	heavy metal translocating P-type ATPase
SYNPCC7002_A1197	ACA99196.1	3	gene-SYNPCC7002_RS05980	protein_coding	SYNPCC7002_RS05980	SYNPCC7002_RS05980	NnrU protein
SYNPCC7002_A0136	ribH	308	gene-SYNPCC7002_RS00675	protein_coding	ribH	SYNPCC7002_RS00675	6,7-dimethyl-8-ribityllumazine synthase
SYNPCC7002_A1194	clpP-2	430	gene-SYNPCC7002_RS05965	protein_coding	SYNPCC7002_RS05965	SYNPCC7002_RS05965	ATP-dependent Clp protease proteolytic subunit
SYNPCC7002_A1468	uvrA	13	gene-SYNPCC7002_RS07350	protein_coding	uvrA	SYNPCC7002_RS07350	excinuclease ABC subunit UvrA
SYNPCC7002_A2041	aspA	31	gene-SYNPCC7002_RS10185	protein_coding	SYNPCC7002_RS10185	SYNPCC7002_RS10185	aspartate ammonia-lyase
SYNPCC7002_A2315	ACB00293.1	60	gene-SYNPCC7002_RS11465	protein_coding	SYNPCC7002_RS11465	SYNPCC7002_RS11465	DUF2281 domain-containing protein
SYNPCC7002_A2042	ACB00029.1	21	gene-SYNPCC7002_RS10190	protein_coding	SYNPCC7002_RS10190	SYNPCC7002_RS10190	Uma2 family endonuclease
SYNPCC7002_A0135	psbZ	3	gene-SYNPCC7002_RS00670	protein_coding	psbZ	SYNPCC7002_RS00670	photosystem II reaction center protein PsbZ
SYNPCC7002_A2316	ACB00294.1	60	gene-SYNPCC7002_RS11470	protein_coding	SYNPCC7002_RS11470	SYNPCC7002_RS11470	hypothetical protein
SYNPCC7002_A1466	ACA99457.1	21	gene-SYNPCC7002_RS07340	protein_coding	SYNPCC7002_RS07340	SYNPCC7002_RS07340	Uma2 family endonuclease
SYNPCC7002_A1193	clpP	430	gene-SYNPCC7002_RS05960	protein_coding	SYNPCC7002_RS05960	SYNPCC7002_RS05960	ATP-dependent Clp protease proteolytic subunit
SYNPCC7002_A2797	ilvB-2	14	gene-SYNPCC7002_RS13825	protein_coding	ilvB	SYNPCC7002_RS13825	biosynthetic-type acetolactate synthase large subunit
SYNPCC7002_A1190	ACA99189.1	429	gene-SYNPCC7002_RS05945	protein_coding	SYNPCC7002_RS05945	SYNPCC7002_RS05945	U32 family peptidase
SYNPCC7002_A0138	ACA98152.1	166	gene-SYNPCC7002_RS00685	protein_coding	SYNPCC7002_RS00685	SYNPCC7002_RS00685	PBP1A family penicillin-binding protein
SYNPCC7002_A2038	ACB00025.1	33	gene-SYNPCC7002_RS10170	protein_coding	SYNPCC7002_RS10170	SYNPCC7002_RS10170	ABC transporter substrate-binding protein
SYNPCC7002_A2314	ACB00292.1	60	gene-SYNPCC7002_RS11460	protein_coding	SYNPCC7002_RS11460	SYNPCC7002_RS11460	N-6 DNA methylase
SYNPCC7002_A2039	ACB00026.1	33	gene-SYNPCC7002_RS10175	protein_coding	SYNPCC7002_RS10175	SYNPCC7002_RS10175	ABC transporter ATP-binding protein
SYNPCC7002_A2798	ACB00767.1	307	gene-SYNPCC7002_RS13830	protein_coding	SYNPCC7002_RS13830	SYNPCC7002_RS13830	hypothetical protein
SYNPCC7002_A1189	ACA99188.1	429	gene-SYNPCC7002_RS05940	protein_coding	SYNPCC7002_RS05940	SYNPCC7002_RS05940	type II restriction endonuclease
SYNPCC7002_A1467	ACA99458.1	22	gene-SYNPCC7002_RS07345	protein_coding	SYNPCC7002_RS07345	SYNPCC7002_RS07345	AIPR family protein
SYNPCC7002_A2036	ACB00023.1	33	gene-SYNPCC7002_RS10160	protein_coding	SYNPCC7002_RS10160	SYNPCC7002_RS10160	carbohydrate ABC transporter permease
SYNPCC7002_A2037	ACB00024.1	33	gene-SYNPCC7002_RS10165	protein_coding	SYNPCC7002_RS10165	SYNPCC7002_RS10165	ABC transporter permease subunit
SYNPCC7002_A1464	ACA99455.1	93	gene-SYNPCC7002_RS07330	protein_coding	SYNPCC7002_RS07330	SYNPCC7002_RS07330	methyltransferase domain-containing protein
SYNPCC7002_A2034	ACB00021.1	372	gene-SYNPCC7002_RS10150	protein_coding	SYNPCC7002_RS10150	SYNPCC7002_RS10150	adenylyltransferase/cytidyltransferase family protein
SYNPCC7002_A2311	ndbA	306	gene-SYNPCC7002_RS11445	protein_coding	SYNPCC7002_RS11445	SYNPCC7002_RS11445	NAD(P)/FAD-dependent oxidoreductase
SYNPCC7002_A2035	ACB00022.1	3	gene-SYNPCC7002_RS10155	protein_coding	SYNPCC7002_RS10155	SYNPCC7002_RS10155	GUN4 domain-containing protein
SYNPCC7002_A1185	ACA99184.1	106	gene-SYNPCC7002_RS05910	protein_coding	SYNPCC7002_RS05910	SYNPCC7002_RS05910	PIN domain-containing protein
SYNPCC7002_A0131	ACA98146.1	1	gene-SYNPCC7002_RS00650	protein_coding	SYNPCC7002_RS00650	SYNPCC7002_RS00650	heavy metal-responsive transcriptional regulator
SYNPCC7002_A2032	cruF	428	gene-SYNPCC7002_RS10140	protein_coding	SYNPCC7002_RS10140	SYNPCC7002_RS10140	carotenoid biosynthesis protein
SYNPCC7002_A2312	ACB00290.1	60	gene-SYNPCC7002_RS11450	protein_coding	SYNPCC7002_RS11450	SYNPCC7002_RS11450	PIN domain-containing protein
