cluster	database	geneset	geneset.name	no.genes	no.background	pvalue	FDR	cluster.size
cluster_1	GO Cellular Component	GO:0043229	Intracellular organelle	83	259	1.15e-18	3.3e-17	290
cluster_1	UniProt Keywords	KW-0694	RNA-binding	44	67	1.4e-18	7.51e-17	290
cluster_1	STRING Clusters	CL:1452	Oxidative phosphorylation, and Peptidase M16, C-terminal	40	53	1.81e-18	7.79e-17	290
cluster_1	STRING Clusters	CL:2425	Ribosome	34	34	2.31e-18	9.33e-17	290
cluster_1	STRING Clusters	CL:1450	Mixed, incl. Oxidative phosphorylation, and Peptidase M16, C-terminal	42	61	2.63e-18	1e-16	290
cluster_1	GO Molecular Function	GO:0019843	rRNA binding	37	42	1.11e-18	2.22e-16	290
cluster_1	GO Biological Process	GO:0019538	Protein metabolic process	90	306	2.77e-18	2.37e-16	290
cluster_1	KEGG Pathways	syp00190	Oxidative phosphorylation	37	46	8.95e-18	4.34e-16	290
cluster_1	GO Molecular Function	GO:0003723	RNA binding	55	116	3.74e-18	5.6e-16	290
cluster_1	GO Biological Process	GO:0044238	Primary metabolic process	174	972	3.17e-17	2.52e-15	290
cluster_1	STRING Clusters	CL:1454	Oxidative phosphorylation, and Peptidase M16, C-terminal	36	47	7.75e-17	2.79e-15	290
cluster_1	GO Biological Process	GO:0044249	Cellular biosynthetic process	123	556	7.81e-17	5.79e-15	290
cluster_1	GO Biological Process	GO:0071704	Organic substance metabolic process	199	1220	8.41e-17	5.84e-15	290
cluster_1	GO Biological Process	GO:1901576	Organic substance biosynthetic process	124	566	1.07e-16	6.99e-15	290
cluster_1	GO Biological Process	GO:0034641	Cellular nitrogen compound metabolic process	125	581	2.72e-16	1.68e-14	290
cluster_1	STRING Clusters	CL:2427	Ribosome	29	29	8.61e-16	2.79e-14	290
cluster_1	GO Molecular Function	GO:0005488	Binding	183	1079	3.43e-16	4.11e-14	290
cluster_1	GO Biological Process	GO:0044260	Cellular macromolecule metabolic process	83	296	1.08e-15	6.3e-14	290
cluster_1	STRING Clusters	CL:1457	Oxidative phosphorylation, and Peptidase M16, C-terminal	31	42	2.63e-14	8.11e-13	290
cluster_1	GO Biological Process	GO:0043170	Macromolecule metabolic process	123	612	6.59e-14	3.49e-12	290
cluster_1	COMPARTMENTS	GOCC:0005622	Intracellular	170	1011	5.38e-14	4.7e-12	290
cluster_1	STRING Clusters	CL:2430	Ribosome	24	24	3.04e-13	8.93e-12	290
cluster_1	GO Cellular Component	GO:0005622	Intracellular anatomical structure	173	1063	4.71e-13	9.63e-12	290
cluster_1	GO Molecular Function	GO:0003676	Nucleic acid binding	81	315	1.75e-13	1.75e-11	290
cluster_1	GO Biological Process	GO:1901566	Organonitrogen compound biosynthetic process	91	392	6.13e-13	3.1e-11	290
cluster_1	STRING Clusters	CL:1448	Mixed, incl. Oxidative phosphorylation, and Carbon fixation	43	107	2.54e-12	7.13e-11	290
cluster_1	GO Molecular Function	GO:0015453	Oxidoreduction-driven active transmembrane transporter activity	21	22	1.79e-11	1.53e-9	290
cluster_1	COMPARTMENTS	GOCC:1990904	Ribonucleoprotein complex	21	23	3.14e-11	2.06e-9	290
cluster_1	COMPARTMENTS	GOCC:0044391	Ribosomal subunit	19	19	1.02e-10	5.34e-9	290
cluster_1	GO Biological Process	GO:0022900	Electron transport chain	34	78	1.12e-10	5.41e-9	290
cluster_1	COMPARTMENTS	GOCC:0043232	Intracellular non-membrane-bounded organelle	47	146	1.3e-10	5.68e-9	290
cluster_1	COMPARTMENTS	GOCC:0043229	Intracellular organelle	70	298	4.73e-10	1.55e-8	290
cluster_1	GO Biological Process	GO:0006807	Nitrogen compound metabolic process	148	929	1.13e-9	5.2100000000000003e-08	290
cluster_1	COMPARTMENTS	GOCC:0022626	Cytosolic ribosome	16	16	3.28e-9	8.6e-8	290
cluster_1	GO Biological Process	GO:1901564	Organonitrogen compound metabolic process	115	663	4.98e-9	2.22e-7	290
cluster_1	GO Biological Process	GO:0006417	Regulation of translation	16	17	5.84e-9	2.5e-7	290
cluster_1	GO Biological Process	GO:0006091	Generation of precursor metabolites and energy	39	122	7.1e-9	2.63e-7	290
cluster_1	STRING Clusters	CL:2431	Ribosome	15	15	1.04e-8	2.81e-7	290
cluster_1	GO Molecular Function	GO:0016655	Oxidoreductase activity, acting on NAD(P)H, quinone or similar compound as acceptor	18	23	4.68e-9	3.06e-7	290
cluster_1	GO Molecular Function	GO:0097159	Organic cyclic compound binding	124	736	4.08e-9	3.06e-7	290
cluster_1	GO Molecular Function	GO:1901363	Heterocyclic compound binding	124	736	4.08e-9	3.06e-7	290
cluster_1	COMPARTMENTS	GOCC:0070469	Respirasome	17	22	1.46e-8	3.48e-7	290
cluster_1	GO Molecular Function	GO:0009055	Electron transfer activity	25	52	8.34e-9	4.54e-7	290
cluster_1	STRING Clusters	CL:2680	Mixed, incl. Fatty acyl-AMP ligase /fatty acyl-CoA ligase, and 50S ribosomal protein L30e-like	15	16	1.85e-8	4.79e-7	290
cluster_1	GO Molecular Function	GO:0008137	NADH dehydrogenase (ubiquinone) activity	15	15	1.04e-8	5.2e-7	290
cluster_1	GO Cellular Component	GO:1990904	Ribonucleoprotein complex	14	15	5.86e-8	1.05e-6	290
cluster_1	GO Cellular Component	GO:0044391	Ribosomal subunit	13	13	1.05e-7	1.67e-6	290
cluster_1	STRING Clusters	CL:1460	Oxidoreductase activity, acting on NAD(P)H, quinone or similar compound as acceptor	16	22	7.21e-8	1.79e-6	290
cluster_1	GO Molecular Function	GO:0048038	Quinone binding	17	25	5.62e-8	1.98e-6	290
cluster_1	COMPARTMENTS	GOCC:0022627	Cytosolic small ribosomal subunit	13	13	1.05e-7	2.29e-6	290
cluster_1	GO Molecular Function	GO:0015399	Primary active transmembrane transporter activity	25	60	7.83e-8	2.61e-6	290
cluster_1	GO Molecular Function	GO:0008135	Translation factor activity, RNA binding	13	14	1.86e-7	5.85e-6	290
cluster_1	STRING Clusters	CL:1505	Mixed, incl. Cytochrome-c oxidase activity, and Peptidase M16, C-terminal	14	18	2.75e-7	6.59e-6	290
cluster_1	GO Molecular Function	GO:0015078	Proton transmembrane transporter activity	14	18	2.75e-7	7.48e-6	290
cluster_1	COMPARTMENTS	GOCC:0030964	NADH dehydrogenase complex	13	16	5.28e-7	9.89e-6	290
cluster_1	UniProt Keywords	KW-1278	Translocase	16	25	2.58e-7	1.1e-5	290
cluster_1	STRING Clusters	CL:2503	Small ribosomal subunit, and rRNA-binding	11	11	1.06e-6	2.44e-5	290
cluster_1	COMPARTMENTS	GOCC:0098803	Respiratory chain complex	12	15	1.65e-6	2.89e-5	290
cluster_1	GO Biological Process	GO:0006119	Oxidative phosphorylation	13	17	8.55e-7	2.97e-5	290
cluster_1	UniProt Keywords	KW-0874	Quinone	13	17	8.55e-7	3.05e-5	290
cluster_1	GO Biological Process	GO:0009060	Aerobic respiration	15	26	1.64e-6	5.25e-5	290
cluster_1	GO Biological Process	GO:0045333	Cellular respiration	16	30	1.61e-6	5.25e-5	290
cluster_1	GO Molecular Function	GO:0022804	Active transmembrane transporter activity	26	80	2.17e-6	5.65e-5	290
cluster_1	STRING Clusters	CL:3489	Fatty acid biosynthesis, and Phospholipid metabolism	13	20	3.16e-6	7.05e-5	290
cluster_1	STRING Clusters	CL:2575	ATP synthesis	10	10	3.36e-6	7.24e-5	290
cluster_1	UniProt Keywords	KW-0618	Plastoquinone	12	16	2.65e-6	8.11e-5	290
cluster_1	UniProt Keywords	KW-0793	Thylakoid	27	87	2.85e-6	8.11e-5	290
cluster_1	COMPARTMENTS	GOCC:0045271	Respiratory chain complex I	11	14	5.16e-6	8.46e-5	290
cluster_1	COMPARTMENTS	GOCC:0070470	Plasma membrane respirasome	10	11	5.89e-6	9.07e-5	290
cluster_1	GO Biological Process	GO:0022904	Respiratory electron transport chain	13	20	3.16e-6	9.73e-5	290
cluster_1	GO Biological Process	GO:0042773	ATP synthesis coupled electron transport	11	13	3.15e-6	9.73e-5	290
cluster_1	GO Biological Process	GO:0006631	Fatty acid metabolic process	13	21	4.69e-6	1.4e-4	290
cluster_1	GO Cellular Component	GO:0045259	Proton-transporting ATP synthase complex	9	9	1.07e-5	1.5e-4	290
cluster_1	GO Cellular Component	GO:0070469	Respirasome	9	10	1.87e-5	2.2e-4	290
cluster_1	STRING Clusters	CL:2433	rRNA-binding	9	9	1.07e-5	2.2e-4	290
cluster_1	GO Molecular Function	GO:0016491	Oxidoreductase activity	54	274	9.34e-6	2.3e-4	290
cluster_1	UniProt Keywords	KW-0066	ATP synthesis	9	9	1.07e-5	2.5e-4	290
cluster_1	GO Molecular Function	GO:0046933	Proton-transporting ATP synthase activity, rotational mechanism	9	9	1.07e-5	2.6e-4	290
cluster_1	COMPARTMENTS	GOCC:0045272	Plasma membrane respiratory chain complex I	9	10	1.87e-5	2.7e-4	290
cluster_1	UniProt Keywords	KW-0375	Hydrogen ion transport	9	10	1.87e-5	3.8e-4	290
cluster_1	UniProt Keywords	KW-0648	Protein biosynthesis	17	43	1.79e-5	3.8e-4	290
cluster_1	STRING Clusters	CL:1506	Mixed, incl. Peptidase M16, C-terminal, and Thioredoxin-like [2Fe-2S] ferredoxin	9	10	1.87e-5	3.8e-4	290
cluster_1	COMPARTMENTS	GOCC:0005737	Cytoplasm	101	668	3.19e-5	4.3e-4	290
cluster_1	COMPARTMENTS	GOCC:0045259	Proton-transporting ATP synthase complex	9	11	3.12e-5	4.3e-4	290
cluster_1	STRING Clusters	CL:1463	Quinone	10	14	2.54e-5	5e-4	290
cluster_1	GO Cellular Component	GO:0042717	Plasma membrane-derived chromatophore membrane	26	99	5.23e-5	5.8e-4	290
cluster_1	GO Cellular Component	GO:0098590	Plasma membrane region	26	99	5.23e-5	5.8e-4	290
cluster_1	STRING Clusters	CL:1465	Quinone	8	8	3.41e-5	6.5e-4	290
cluster_1	STRING Clusters	CL:2738	Protein folding, and ATP-dependent peptidase activity	15	36	3.47e-5	6.5e-4	290
cluster_1	GO Biological Process	GO:0006633	Fatty acid biosynthetic process	11	18	2.85e-5	7.2e-4	290
cluster_1	GO Biological Process	GO:0046034	ATP metabolic process	11	18	2.85e-5	7.2e-4	290
cluster_1	GO Cellular Component	GO:0031676	Plasma membrane-derived thylakoid membrane	25	97	9.49e-5	8.5e-4	290
cluster_1	STRING Clusters	CL:3491	Fatty acid biosynthesis	9	12	5.02e-5	9e-4	290
cluster_1	GO Cellular Component	GO:0015934	Large ribosomal subunit	7	7	1.1e-4	9.2e-4	290
cluster_1	InterPro Domains	IPR000073	Alpha/beta hydrolase fold-1	13	17	8.55e-7	0.001	290
cluster_1	STRING Clusters	CL:2742	Unfolded protein binding, and Stress response	10	16	5.8e-5	0.001	290
cluster_1	GO Biological Process	GO:0009150	Purine ribonucleotide metabolic process	20	63	4.5e-5	0.0011	290
cluster_1	UniProt Keywords	KW-0963	Cytoplasm	45	229	6.3e-5	0.0011	290
cluster_1	GO Cellular Component	GO:0042651	Thylakoid membrane	27	114	1.7e-4	0.0013	290
cluster_1	GO Molecular Function	GO:0003924	GTPase activity	11	20	5.87e-5	0.0013	290
cluster_1	COMPARTMENTS	GOCC:0032991	Protein-containing complex	67	406	1.2e-4	0.0014	290
cluster_1	KEGG Pathways	syp00061	Fatty acid biosynthesis	9	12	5.02e-5	0.0016	290
cluster_1	GO Biological Process	GO:0072330	Monocarboxylic acid biosynthetic process	12	25	7.47e-5	0.0017	290
cluster_1	KEGG Pathways	syp01212	Fatty acid metabolism	9	13	7.81e-5	0.0019	290
cluster_1	GO Cellular Component	GO:0009579	Thylakoid	28	126	3.2e-4	0.0023	290
cluster_1	GO Cellular Component	GO:0015935	Small ribosomal subunit	6	6	3.5e-4	0.0023	290
cluster_1	GO Biological Process	GO:0006457	Protein folding	12	27	1.3e-4	0.0026	290
cluster_1	UniProt Keywords	KW-0443	Lipid metabolism	10	19	1.7e-4	0.0028	290
cluster_1	UniProt Keywords	KW-0444	Lipid biosynthesis	10	19	1.7e-4	0.0028	290
cluster_1	STRING Clusters	CL:2739	Protein folding, and Clp protease	12	28	1.7e-4	0.003	290
cluster_1	STRING Clusters	CL:3311	Mixed, incl. Carbon metabolism, and Starch and sucrose metabolism	26	109	2e-4	0.0034	290
cluster_1	GO Biological Process	GO:0006414	Translational elongation	7	8	1.9e-4	0.0037	290
cluster_1	GO Molecular Function	GO:0004312	Fatty acid synthase activity	7	8	1.9e-4	0.0038	290
cluster_1	COMPARTMENTS	GOCC:0015934	Large ribosomal subunit	6	6	3.5e-4	0.0039	290
cluster_1	UniProt Keywords	KW-0275	Fatty acid biosynthesis	7	9	3.1e-4	0.0044	290
cluster_1	UniProt Keywords	KW-0251	Elongation factor	6	6	3.5e-4	0.0045	290
cluster_1	UniProt Keywords	KW-0342	GTP-binding	11	26	3.6e-4	0.0045	290
cluster_1	GO Biological Process	GO:0009152	Purine ribonucleotide biosynthetic process	15	45	2.7e-4	0.0051	290
cluster_1	GO Molecular Function	GO:0003824	Catalytic activity	182	1469	2.9e-4	0.0056	290
cluster_1	STRING Clusters	CL:2461	Mixed, incl. Large ribosomal subunit, and KOW (Kyprides, Ouzounis, Woese) motif.	6	6	3.5e-4	0.0057	290
cluster_1	STRING Clusters	CL:2505	Small ribosomal subunit, and rRNA-binding	6	6	3.5e-4	0.0057	290
cluster_1	STRING Clusters	CL:3378	Citrate cycle (TCA cycle), and Aldehyde dehydrogenase family	11	26	3.6e-4	0.0057	290
cluster_1	UniProt Keywords	KW-0820	tRNA-binding	8	14	5.1e-4	0.0058	290
cluster_1	GO Biological Process	GO:0032787	Monocarboxylic acid metabolic process	18	63	3.3e-4	0.0062	290
cluster_1	GO Molecular Function	GO:0003746	Translation elongation factor activity	6	6	3.5e-4	0.0066	290
cluster_1	GO Cellular Component	GO:0045261	Proton-transporting ATP synthase complex, catalytic core F(1)	5	5	0.0012	0.0072	290
cluster_1	UniProt Keywords	KW-0521	NADP	15	50	6.7e-4	0.0072	290
cluster_1	UniProt Keywords	KW-0520	NAD	14	45	7.6e-4	0.0077	290
cluster_1	GO Biological Process	GO:0044255	Cellular lipid metabolic process	20	77	4.4e-4	0.008	290
cluster_1	GO Biological Process	GO:0042254	Ribosome biogenesis	12	32	4.7e-4	0.0082	290
cluster_1	GO Molecular Function	GO:0008324	Cation transmembrane transporter activity	15	48	4.7e-4	0.0086	290
cluster_1	GO Biological Process	GO:0098660	Inorganic ion transmembrane transport	15	49	5.7e-4	0.0095	290
cluster_1	GO Biological Process	GO:0009266	Response to temperature stimulus	6	7	6.1e-4	0.0098	290
cluster_1	GO Cellular Component	GO:0005737	Cytoplasm	121	931	0.0019	0.0108	290
cluster_1	GO Cellular Component	GO:0070470	Plasma membrane respirasome	5	6	0.002	0.0108	290
cluster_1	GO Cellular Component	GO:0098803	Respiratory chain complex	5	6	0.002	0.0108	290
cluster_1	UniProt Keywords	KW-0139	CF(1)	5	5	0.0012	0.0112	290
cluster_1	COMPARTMENTS	GOCC:0045261	Proton-transporting ATP synthase complex, catalytic core F(1)	5	5	0.0012	0.0121	290
cluster_1	Pfam	PF00361	Proton-conducting membrane transporter	9	11	3.12e-5	0.0123	290
cluster_1	Pfam	PF00561	Alpha/beta hydrolase fold	10	14	2.54e-5	0.0123	290
cluster_1	GO Molecular Function	GO:0005525	GTP binding	12	34	7.3e-4	0.0128	290
cluster_1	UniProt Keywords	KW-0813	Transport	27	134	0.0015	0.0138	290
cluster_1	GO Biological Process	GO:0008610	Lipid biosynthetic process	17	64	9.6e-4	0.0151	290
cluster_1	GO Cellular Component	GO:0032991	Protein-containing complex	38	226	0.0033	0.017	290
cluster_1	STRING Clusters	CL:2075	Alpha/beta hydrolase fold-1	5	5	0.0012	0.0174	290
cluster_1	STRING Clusters	CL:2493	L28p-like, and Ribosome	5	5	0.0012	0.0174	290
cluster_1	STRING Clusters	CL:2566	Mixed, incl. RF-1 domain, and mRNA processing	5	5	0.0012	0.0174	290
cluster_1	STRING Clusters	CL:2578	ATP synthesis	5	5	0.0012	0.0174	290
cluster_1	STRING Clusters	CL:2682	Fatty acyl-AMP ligase /fatty acyl-CoA ligase, and Nitrogen fixation	5	5	0.0012	0.0174	290
cluster_1	GO Biological Process	GO:0006397	mRNA processing	5	5	0.0012	0.0178	290
cluster_1	GO Biological Process	GO:0006629	Lipid metabolic process	21	91	0.0012	0.0184	290
cluster_1	GO Biological Process	GO:0055085	Transmembrane transport	41	235	0.0012	0.0184	290
cluster_1	InterPro Domains	IPR001750	NADH:quinone oxidoreductase/Mrp antiporter, membrane subunit	9	11	3.12e-5	0.0185	290
cluster_1	GO Cellular Component	GO:0045263	Proton-transporting ATP synthase complex, coupling factor F(o)	4	4	0.0038	0.0188	290
cluster_1	InterPro Domains	IPR029058	Alpha/Beta hydrolase fold	13	28	4.88e-5	0.0193	290
cluster_1	GO Molecular Function	GO:0017111	Nucleoside-triphosphatase activity	17	66	0.0013	0.0208	290
cluster_1	GO Molecular Function	GO:0051082	Unfolded protein binding	8	17	0.0014	0.0214	290
cluster_1	GO Molecular Function	GO:0022857	Transmembrane transporter activity	36	201	0.0017	0.0255	290
cluster_1	STRING Clusters	CL:1526	Cytochrome-c oxidase activity	5	6	0.002	0.0263	290
cluster_1	GO Molecular Function	GO:0004129	Cytochrome-c oxidase activity	5	6	0.002	0.0286	290
cluster_1	GO Molecular Function	GO:0016746	Acyltransferase activity	13	45	0.002	0.0286	290
cluster_1	GO Biological Process	GO:0009408	Response to heat	5	6	0.002	0.029	290
cluster_1	InterPro Domains	IPR009000	Translation protein, beta-barrel domain superfamily	8	10	9.82e-5	0.0291	290
cluster_1	GO Cellular Component	GO:0045272	Plasma membrane respiratory chain complex I	4	5	0.0064	0.0294	290
cluster_1	GO Molecular Function	GO:0051537	2 iron, 2 sulfur cluster binding	8	19	0.0024	0.0314	290
cluster_1	UniProt Keywords	KW-0138	CF(0)	4	4	0.0038	0.0327	290
cluster_1	UniProt Keywords	KW-0186	Copper	4	4	0.0038	0.0327	290
cluster_1	UniProt Keywords	KW-0679	Respiratory chain	4	4	0.0038	0.0327	290
cluster_1	GO Molecular Function	GO:0016747	Acyltransferase activity, transferring groups other than amino-acyl groups	11	35	0.0026	0.0337	290
cluster_1	GO Molecular Function	GO:0016462	Pyrophosphatase activity	18	78	0.0027	0.0341	290
cluster_1	COMPARTMENTS	GOCC:0031975	Envelope	18	81	0.0038	0.0368	290
cluster_1	STRING Clusters	CL:1990	Mixed, incl. Tetratricopeptide repeats, and Alpha/beta hydrolase fold-1	14	53	0.0028	0.037	290
cluster_1	GO Biological Process	GO:0010468	Regulation of gene expression	24	119	0.0027	0.0391	290
cluster_1	STRING Clusters	CL:2746	Unfolded protein binding	6	11	0.0032	0.041	290
cluster_1	GO Cellular Component	GO:0000428	DNA-directed RNA polymerase complex	4	6	0.0098	0.0414	290
cluster_1	GO Biological Process	GO:0033875	Ribonucleoside bisphosphate metabolic process	8	20	0.003	0.0428	290
cluster_1	GO Biological Process	GO:0034032	Purine nucleoside bisphosphate metabolic process	8	20	0.003	0.0428	290
cluster_1	GO Biological Process	GO:0010556	Regulation of macromolecule biosynthetic process	23	114	0.0033	0.0436	290
cluster_1	GO Biological Process	GO:0031326	Regulation of cellular biosynthetic process	23	114	0.0033	0.0436	290
cluster_1	GO Molecular Function	GO:0000049	tRNA binding	9	26	0.0037	0.0447	290
cluster_1	InterPro Domains	IPR000795	Translational (tr)-type GTP-binding domain	7	8	1.9e-4	0.0449	290
cluster_1	UniProt Keywords	KW-0396	Initiation factor	4	5	0.0064	0.0487	290
cluster_10	STRING Clusters	CL:3316	Glycolysis / Gluconeogenesis, and Pentose-phosphate shunt	12	25	3.37e-24	2.1800000000000003e-21	12
cluster_10	KEGG Pathways	syp00030	Pentose phosphate pathway	10	17	6.05e-20	5.87e-18	12
cluster_10	STRING Clusters	CL:3318	Glycolysis / Gluconeogenesis, and Transaldolase activity	10	19	1.44e-19	2.32e-17	12
cluster_10	STRING Clusters	CL:3320	Glycolytic process, and Transaldolase activity	9	13	3.36e-18	3.1e-16	12
cluster_10	KEGG Pathways	syp01120	Microbial metabolism in diverse environments	11	110	6.32e-15	3.07e-13	12
cluster_10	KEGG Pathways	syp01200	Carbon metabolism	10	67	7.62e-15	3.07e-13	12
cluster_10	GO Biological Process	GO:0005975	Carbohydrate metabolic process	11	115	1e-14	1.12e-11	12
cluster_10	KEGG Pathways	syp00010	Glycolysis / Gluconeogenesis	7	24	6.92e-12	1.68e-10	12
cluster_10	KEGG Pathways	syp01110	Biosynthesis of secondary metabolites	11	263	6.28e-11	1.22e-9	12
cluster_10	STRING Clusters	CL:3334	Pentose phosphate pathway	5	6	2.38e-10	1.71e-8	12
cluster_10	GO Biological Process	GO:0016052	Carbohydrate catabolic process	6	13	3.41e-11	1.9e-8	12
cluster_10	GO Biological Process	GO:0019637	Organophosphate metabolic process	10	168	4.42e-11	1.9e-8	12
cluster_10	GO Biological Process	GO:0006091	Generation of precursor metabolites and energy	9	122	1.43e-10	3.99e-8	12
cluster_10	GO Biological Process	GO:1901135	Carbohydrate derivative metabolic process	10	194	1.75e-10	3.99e-8	12
cluster_10	KEGG Pathways	syp01100	Metabolic pathways	12	550	3.35e-9	5.41e-8	12
cluster_10	GO Biological Process	GO:0006096	Glycolytic process	5	9	1.02e-9	1.9e-7	12
cluster_10	GO Biological Process	GO:0006796	Phosphate-containing compound metabolic process	10	261	3.03e-9	2.41e-7	12
cluster_10	KEGG Pathways	syp01230	Biosynthesis of amino acids	7	90	3.05e-8	4.22e-7	12
cluster_10	STRING Clusters	CL:3321	Glycolysis	4	7	5.99e-8	3.87e-6	12
cluster_10	GO Biological Process	GO:0006098	Pentose-phosphate shunt	4	8	8.96e-8	4.33e-6	12
cluster_10	KEGG Pathways	syp00051	Fructose and mannose metabolism	4	15	6.9e-7	8.37e-6	12
cluster_10	KEGG Pathways	syp00710	Carbon fixation in photosynthetic organisms	4	17	1.06e-6	1.14e-5	12
cluster_10	UniProt Keywords	KW-0324	Glycolysis	4	8	8.96e-8	1.92e-5	12
cluster_10	KEGG Pathways	syp00680	Methane metabolism	4	21	2.22e-6	2.16e-5	12
cluster_10	GO Biological Process	GO:0009117	Nucleotide metabolic process	6	110	3.12e-6	1.2e-4	12
cluster_10	GO Cellular Component	GO:0005737	Cytoplasm	12	931	1.75e-6	2.5e-4	12
cluster_10	GO Biological Process	GO:0006006	Glucose metabolic process	3	8	9.39e-6	2.9e-4	12
cluster_10	COMPARTMENTS	GOCC:0005737	Cytoplasm	11	668	1.31e-6	3.4e-4	12
cluster_10	COMPARTMENTS	GOCC:0005622	Intracellular	12	1011	4.68e-6	6.1e-4	12
cluster_10	UniProt Keywords	KW-0704	Schiff base	3	7	6.84e-6	7.3e-4	12
cluster_10	GO Biological Process	GO:0071704	Organic substance metabolic process	12	1220	4.4e-5	0.0012	12
cluster_10	GO Biological Process	GO:0044281	Small molecule metabolic process	8	416	6.69e-5	0.0017	12
cluster_10	GO Molecular Function	GO:0016832	Aldehyde-lyase activity	3	5	3.21e-6	0.0019	12
cluster_10	InterPro Domains	IPR013785	Aldolase-type TIM barrel	5	50	1.63e-6	0.0019	12
cluster_10	GO Molecular Function	GO:0016744	Transketolase or transaldolase activity	3	7	6.84e-6	0.002	12
cluster_10	GO Biological Process	GO:0006094	Gluconeogenesis	2	4	2.4e-4	0.006	12
cluster_10	SMART Domains	SM01133	DeoC/LacD family aldolase	2	2	9.81e-5	0.0104	12
cluster_10	UniProt Keywords	KW-0570	Pentose shunt	2	3	1.6e-4	0.0116	12
cluster_10	GO Biological Process	GO:0044237	Cellular metabolic process	11	1191	5.7e-4	0.0129	12
cluster_10	GO Molecular Function	GO:0004332	Fructose-bisphosphate aldolase activity	2	2	9.81e-5	0.0196	12
cluster_10	GO Molecular Function	GO:0004801	Transaldolase activity	2	2	9.81e-5	0.0196	12
cluster_10	Reactome Pathways	MAP-168249	Innate Immune System	2	12	0.0015	0.0233	12
