Geneid	Chr	Start	End	Strand	Length	15percent_7002-5_CO2-RNA-seq	15percent_7002-6_CO2-RNA-seq	15percent_7002-7_CO2-RNA-seq	15percent_7002-8_CO2-RNA-seq	1percent_7002-1_CO2-RNA-seq	1percent_7002-2_CO2-RNA-seq	1percent_7002-3_CO2-RNA-seq	1percent_7002-4_CO2-RNA-seq
gene-SYNPCC7002_RS00075	NC_010475.1	9729	10484	+	756	1991	2059	1909	4563	4894	3318	2272	3681
gene-SYNPCC7002_RS00080	NC_010475.1	10504	11418	+	915	1026	910	1004	2291	2855	1898	1183	2201
gene-SYNPCC7002_RS00085	NC_010475.1	11402	11782	-	381	167	177	209	444	263	387	232	418
gene-SYNPCC7002_RS00090	NC_010475.1	11850	12152	-	303	227	280	220	546	301	439	285	514
gene-SYNPCC7002_RS00095	NC_010475.1	12398	12628	+	231	384	414	481	1143	858	841	592	921
gene-SYNPCC7002_RS00100	NC_010475.1	12655	14193	+	1539	933	908	939	2129	2021	1676	1160	1838
gene-SYNPCC7002_RS00105	NC_010475.1	14203	14742	+	540	359	351	352	697	802	518	423	630
gene-SYNPCC7002_RS00110	NC_010475.1	14914	15801	-	888	3341	2885	3355	6977	8141	7173	4138	7320
gene-SYNPCC7002_RS00115	NC_010475.1	15864	20024	-	4161	1240	968	1127	2317	2238	1835	1415	2036
gene-SYNPCC7002_RS00120	NC_010475.1	20106	20954	+	849	2665	2259	2603	5306	6383	4750	3283	5227
gene-SYNPCC7002_RS00130	NC_010475.1	22367	23170	+	804	2525	2078	2457	5716	5040	3710	2482	4413
gene-SYNPCC7002_RS00135	NC_010475.1	23167	24519	-	1353	779	669	796	1688	1602	1023	796	1332
gene-SYNPCC7002_RS00140	NC_010475.1	24806	25246	+	441	186	168	206	414	533	341	207	451
gene-SYNPCC7002_RS00145	NC_010475.1	25340	26419	+	1080	601	474	533	1064	2180	1434	1026	1649
gene-SYNPCC7002_RS00150	NC_010475.1	26445	27062	-	618	826	721	834	1674	1326	910	570	1190
gene-SYNPCC7002_RS00155	NC_010475.1	27194	28225	+	1032	1308	1099	1153	2220	2535	1847	1302	2094
gene-SYNPCC7002_RS00160	NC_010475.1	28366	28854	+	489	13113	11431	13155	25037	48454	43866	24506	44004
gene-SYNPCC7002_RS16250	NC_010475.1	28953	29348	+	396	1346302	1373547	1397838	3177983	4369816	3152725	1986274	4153006
gene-SYNPCC7002_RS00165	NC_010475.1	29424	30743	-	1320	3817	3128	3626	7068	8677	6280	4456	7557
gene-SYNPCC7002_RS00170	NC_010475.1	30885	31730	-	846	2698	2035	2314	4663	5133	3800	2861	4178
gene-SYNPCC7002_RS00175	NC_010475.1	31804	33420	-	1617	9408	7245	8094	16739	20392	14028	10308	15929
gene-SYNPCC7002_RS00180	NC_010475.1	33504	34478	-	975	176	103	142	272	296	209	130	190
gene-SYNPCC7002_RS00185	NC_010475.1	34718	35728	+	1011	8041	6186	7492	15875	16409	7727	5476	8880
gene-SYNPCC7002_RS00190	NC_010475.1	35772	36683	+	912	3125	2646	2998	6083	6273	3975	2837	4415
gene-SYNPCC7002_RS00195	NC_010475.1	36701	37603	+	903	1300	1063	1172	2313	2686	1804	1170	2077
gene-SYNPCC7002_RS00200	NC_010475.1	37587	38036	+	450	246	213	228	466	556	385	222	353
gene-SYNPCC7002_RS00205	NC_010475.1	38116	39978	-	1863	71100	55988	62664	135034	227683	94317	62742	113829
gene-SYNPCC7002_RS00210	NC_010475.1	40120	45915	-	5796	8866	7466	8380	18568	16605	11754	8510	14158
gene-SYNPCC7002_RS00215	NC_010475.1	46222	46563	-	342	12004	9177	9888	23446	64771	27258	19463	31360
gene-SYNPCC7002_RS00220	NC_010475.1	46832	48373	+	1542	3136	2668	2867	6933	8015	4360	2853	5367
gene-SYNPCC7002_RS00225	NC_010475.1	48397	49074	-	678	767	697	851	1630	1319	1052	824	1423
gene-SYNPCC7002_RS00230	NC_010475.1	49554	50762	+	1209	6395	7890	7387	13781	6991	9744	6623	12781
gene-SYNPCC7002_RS00235	NC_010475.1	50845	51207	+	363	2213	2256	2485	4873	2609	2552	1883	3363
gene-SYNPCC7002_RS00240	NC_010475.1	51282	51773	+	492	3616	3454	3922	7661	4178	4005	2768	5343
gene-SYNPCC7002_RS00245	NC_010475.1	51869	56263	+	4395	27274	25780	28348	53689	37455	28744	19175	43400
gene-SYNPCC7002_RS00250	NC_010475.1	56378	59512	+	3135	4827	4561	4975	9191	14601	8497	5474	12229
gene-SYNPCC7002_RS00255	NC_010475.1	59525	60178	-	654	6188	5452	6277	12967	16803	10729	7749	12070
gene-SYNPCC7002_RS00260	NC_010475.1	60296	60643	-	348	3404	3023	3136	7115	9935	7053	4919	7971
gene-SYNPCC7002_RS00265	NC_010475.1	60707	61204	-	498	7733	6423	6892	13938	15971	11782	8251	13828
gene-SYNPCC7002_RS00270	NC_010475.1	61290	61847	-	558	15760	13113	14991	30468	35318	24987	18237	31512
gene-SYNPCC7002_RS00275	NC_010475.1	61952	62608	-	657	185	150	198	357	786	523	367	630
gene-SYNPCC7002_RS00280	NC_010475.1	62605	63024	-	420	355	332	401	714	1228	863	613	1047
gene-SYNPCC7002_RS00285	NC_010475.1	63031	63270	-	240	131	133	149	313	562	358	199	372
gene-SYNPCC7002_RS00290	NC_010475.1	63367	64266	-	900	10272	8463	10543	21699	15928	8813	6153	10488
gene-SYNPCC7002_RS00295	NC_010475.1	64484	65443	-	960	7098	6310	7001	14951	13798	8871	6574	11548
gene-SYNPCC7002_RS00300	NC_010475.1	65470	65679	-	210	1721	1713	1602	3346	3395	2317	1485	2528
gene-SYNPCC7002_RS00305	NC_010475.1	65831	66229	+	399	1003	836	942	2259	1829	1139	890	1326
gene-SYNPCC7002_RS00310	NC_010475.1	66337	67056	-	720	1014	868	924	2154	2632	1918	1367	2249
gene-SYNPCC7002_RS00315	NC_010475.1	67152	67652	+	501	1579	1624	1608	3720	9914	5915	3414	7094
gene-SYNPCC7002_RS00320	NC_010475.1	67696	70698	+	3003	6678	5085	5838	11587	18932	13989	9463	16120
gene-SYNPCC7002_RS00325	NC_010475.1	70804	72312	+	1509	3351	3449	3794	8013	3003	4015	2643	5179
gene-SYNPCC7002_RS00330	NC_010475.1	72394	72648	-	255	469	409	456	1057	1380	883	565	917
gene-SYNPCC7002_RS00335	NC_010475.1	72686	74116	+	1431	3066	2401	2583	5362	10428	8065	5363	8681
gene-SYNPCC7002_RS00340	NC_010475.1	74161	74340	+	180	277	220	235	507	813	592	476	633
gene-SYNPCC7002_RS00345	NC_010475.1	74343	75515	-	1173	1553	1030	1111	2245	3375	2138	1673	2220
gene-SYNPCC7002_RS00350	NC_010475.1	75522	76319	-	798	3203	2366	2786	5953	8003	4752	3309	4983
gene-SYNPCC7002_RS00355	NC_010475.1	76369	76836	-	468	3182	2622	2859	6242	8867	5031	3626	5702
gene-SYNPCC7002_RS00360	NC_010475.1	76972	77229	-	258	274	199	224	472	663	562	272	575
gene-SYNPCC7002_RS00365	NC_010475.1	77289	78125	-	837	2570	2067	2421	4859	4501	3139	2536	3793
gene-SYNPCC7002_RS00370	NC_010475.1	78306	79598	-	1293	25052	18855	23540	41704	29557	24101	19724	26114
gene-SYNPCC7002_RS16605	NC_010475.1	79701	79904	-	204	2	0	3	8	3	2	5	3
gene-SYNPCC7002_RS00375	NC_010475.1	79979	80374	+	396	2273	2073	2559	5640	3344	2562	1724	2751
gene-SYNPCC7002_RS00380	NC_010475.1	80386	81978	+	1593	4455	3904	4469	9146	6325	4768	3313	5337
gene-SYNPCC7002_RS00385	NC_010475.1	82165	82413	+	249	1256	1098	1240	2449	5357	3218	2220	4087
gene-SYNPCC7002_RS16340	NC_010475.1	82481	82723	+	243	754	685	655	1453	2916	1767	1127	2411
gene-SYNPCC7002_RS00390	NC_010475.1	82844	83233	-	390	5099	5138	6059	10735	14962	12036	9806	13643
gene-SYNPCC7002_RS00395	NC_010475.1	83336	83683	-	348	763	787	898	1770	1109	1767	1211	2195
gene-SYNPCC7002_RS17030	NC_010475.1	83787	84305	-	519	18	30	33	50	127	99	71	103
gene-SYNPCC7002_RS17035	NC_010475.1	84224	84586	-	363	147	127	131	326	505	364	235	444
gene-SYNPCC7002_RS00405	NC_010475.1	84600	84794	-	195	509	452	436	1135	1434	1054	679	1125
gene-SYNPCC7002_RS00410	NC_010475.1	84870	85547	-	678	2691	2316	2516	4692	5326	3792	3016	4817
gene-SYNPCC7002_RS00415	NC_010475.1	85586	86875	-	1290	5385	5798	5825	12564	10065	8244	6700	7863
gene-SYNPCC7002_RS00420	NC_010475.1	86991	87764	+	774	476	415	458	929	1146	784	586	845
gene-SYNPCC7002_RS00425	NC_010475.1	87845	88510	+	666	1141	943	1144	2173	1970	1545	1213	1767
gene-SYNPCC7002_RS00430	NC_010475.1	88528	89505	-	978	2016	1755	2089	4211	5616	3860	2764	4725
gene-SYNPCC7002_RS00435	NC_010475.1	89652	90917	+	1266	1089	989	1119	2462	7106	2355	1446	2390
gene-SYNPCC7002_RS00440	NC_010475.1	90933	91235	+	303	420	360	382	690	1631	778	488	827
gene-SYNPCC7002_RS00445	NC_010475.1	91267	91764	+	498	1107	970	1135	2417	4627	3250	2145	3643
gene-SYNPCC7002_RS00450	NC_010475.1	91804	92343	+	540	485	480	541	1153	2303	1530	990	1639
gene-SYNPCC7002_RS00455	NC_010475.1	92387	93304	-	918	2976	2405	2574	5562	5713	4517	3314	5501
gene-SYNPCC7002_RS00460	NC_010475.1	93327	94130	-	804	5282	3962	4646	9574	7446	6666	4701	8115
gene-SYNPCC7002_RS00465	NC_010475.1	94161	94484	-	324	3645	3145	3168	6845	5000	4548	3513	5336
gene-SYNPCC7002_RS00470	NC_010475.1	94538	95278	-	741	2879	2729	3016	5984	5616	4088	3153	4789
gene-SYNPCC7002_RS17175	NC_010475.1	95308	95436	-	129	52	91	76	161	239	161	127	190
gene-SYNPCC7002_RS00475	NC_010475.1	95582	96871	+	1290	44915	40172	43460	90042	77785	58016	41356	75425
gene-SYNPCC7002_RS00480	NC_010475.1	96991	97545	-	555	549	476	519	1189	1406	839	697	1172
gene-SYNPCC7002_RS00485	NC_010475.1	97815	98096	+	282	2345	2255	2362	4520	4174	3516	3157	4903
gene-SYNPCC7002_RS00490	NC_010475.1	98278	99582	+	1305	13317	10204	11413	22409	20919	17482	12562	19998
gene-SYNPCC7002_RS00495	NC_010475.1	99746	100627	+	882	2600	2018	2347	4721	6011	3907	2811	4979
gene-SYNPCC7002_RS00500	NC_010475.1	100631	101380	+	750	1549	1355	1368	2888	6002	4418	2917	4686
gene-SYNPCC7002_RS00505	NC_010475.1	101517	101590	+	74	4	12	10	14	38	24	16	16
gene-SYNPCC7002_RS00510	NC_010475.1	101724	103730	+	2007	8503	7602	8971	18555	11743	8302	5850	9878
gene-SYNPCC7002_RS00515	NC_010475.1	103895	104227	-	333	10025	8460	8851	20914	38182	22094	15615	23324
gene-SYNPCC7002_RS00520	NC_010475.1	104356	105300	-	945	4996	4273	4753	9922	9427	6728	4970	7267
gene-SYNPCC7002_RS00525	NC_010475.1	105340	106806	-	1467	10141	8223	8781	18750	16063	11131	8146	13049
gene-SYNPCC7002_RS00530	NC_010475.1	107108	108124	+	1017	66619	52080	56394	116357	127033	69553	51526	85721
gene-SYNPCC7002_RS00535	NC_010475.1	108257	108601	-	345	590	521	584	1340	854	1009	614	981
gene-SYNPCC7002_RS00540	NC_010475.1	108852	109724	-	873	5638	4255	5422	10401	9946	7777	5383	8899
gene-SYNPCC7002_RS00545	NC_010475.1	109846	110373	+	528	1070	919	1063	1917	1673	1476	1149	1446
gene-SYNPCC7002_RS00550	NC_010475.1	110430	111740	+	1311	25381	19983	22797	44029	50058	38127	26385	45417
gene-SYNPCC7002_RS00555	NC_010475.1	111950	112462	-	513	44706	39771	44411	88031	69779	50514	41719	74255
gene-SYNPCC7002_RS00560	NC_010475.1	112709	113413	-	705	373	277	360	639	931	626	437	760
gene-SYNPCC7002_RS00565	NC_010475.1	113548	114129	+	582	1197	1018	1134	2154	2107	1376	1094	1855
gene-SYNPCC7002_RS00570	NC_010475.1	114276	116504	+	2229	15070	14305	18571	33144	13257	22129	14620	24413
gene-SYNPCC7002_RS00575	NC_010475.1	116526	117704	-	1179	949	822	903	2031	2120	1547	1050	1715
gene-SYNPCC7002_RS00580	NC_010475.1	118054	118548	+	495	6634	5091	5804	13905	13756	11074	7797	11987
gene-SYNPCC7002_RS00585	NC_010475.1	118649	119449	-	801	6463	4831	6016	12245	12418	5938	4288	6797
gene-SYNPCC7002_RS00590	NC_010475.1	119567	119926	+	360	3774	3466	4099	8425	9223	7492	5736	10099
gene-SYNPCC7002_RS00595	NC_010475.1	120060	121814	-	1755	3833	3468	3742	8194	10816	8276	5245	8943
gene-SYNPCC7002_RS00600	NC_010475.1	121880	123376	-	1497	5840	4957	5600	11046	12379	9711	6556	11340
gene-SYNPCC7002_RS00605	NC_010475.1	123484	124035	-	552	1238	1103	1233	2314	2618	1924	1384	2177
gene-SYNPCC7002_RS00610	NC_010475.1	124239	125600	+	1362	5352	4595	5360	10988	9799	7457	5217	8731
gene-SYNPCC7002_RS00615	NC_010475.1	125648	126877	+	1230	864	836	815	1755	2142	1540	1029	1825
gene-SYNPCC7002_RS00620	NC_010475.1	126983	127825	-	843	52649	54588	81673	158429	37855	43965	30360	48381
gene-SYNPCC7002_RS00625	NC_010475.1	128441	129100	-	660	1260	1145	1270	2339	2265	1329	1168	1561
gene-SYNPCC7002_RS00630	NC_010475.1	129138	129524	-	387	71	52	62	115	266	169	124	206
gene-SYNPCC7002_RS00635	NC_010475.1	129535	129978	-	444	105	113	109	294	418	257	191	270
gene-SYNPCC7002_RS00640	NC_010475.1	130195	130581	+	387	4682	4401	4849	8238	8783	6087	5842	5608
gene-SYNPCC7002_RS00645	NC_010475.1	130653	131291	-	639	351	303	343	797	996	718	504	751
gene-SYNPCC7002_RS00650	NC_010475.1	131288	131704	-	417	604	557	534	1216	1492	1129	813	1229
gene-SYNPCC7002_RS00655	NC_010475.1	131704	131988	-	285	907	846	876	2089	2631	1922	1267	1957
gene-SYNPCC7002_RS00660	NC_010475.1	132167	133045	+	879	1171	899	1052	1836	2751	1897	1263	2160
gene-SYNPCC7002_RS00665	NC_010475.1	133052	134653	-	1602	1856	1658	1732	3534	3334	2384	1565	2639
gene-SYNPCC7002_RS00670	NC_010475.1	134875	135063	+	189	15726	14430	14671	29666	30959	20948	15638	21216
gene-SYNPCC7002_RS00675	NC_010475.1	135206	135682	+	477	2902	2431	2796	5101	4562	2965	2443	3803
gene-SYNPCC7002_RS00680	NC_010475.1	135782	135853	+	72	26	10	32	42	46	16	16	26
gene-SYNPCC7002_RS00685	NC_010475.1	136055	138442	+	2388	5807	4454	4903	9694	15696	11420	8876	12338
gene-SYNPCC7002_RS00690	NC_010475.1	138439	139122	-	684	618	544	529	1337	1228	758	455	910
gene-SYNPCC7002_RS00695	NC_010475.1	139328	139741	-	414	9588	7558	8289	14432	23685	9123	7962	13960
gene-SYNPCC7002_RS00700	NC_010475.1	139947	142412	-	2466	110456	96105	112208	235242	189005	151379	99271	182487
gene-SYNPCC7002_RS00705	NC_010475.1	142542	142913	-	372	506	483	580	1006	1197	893	541	1029
gene-SYNPCC7002_RS00710	NC_010475.1	142940	143542	-	603	2203	2028	2420	4686	5006	3717	2388	4344
gene-SYNPCC7002_RS00715	NC_010475.1	143821	145422	+	1602	2541	2342	2429	5103	6241	4824	3498	5894
gene-SYNPCC7002_RS00720	NC_010475.1	145445	146026	+	582	315	261	283	657	1073	722	442	822
gene-SYNPCC7002_RS00725	NC_010475.1	146083	147843	+	1761	945	686	816	1686	2423	1687	1257	1939
gene-SYNPCC7002_RS00730	NC_010475.1	148056	149723	+	1668	46779	34680	40248	82941	65250	56874	44201	60585
gene-SYNPCC7002_RS16040	NC_010475.1	149816	153046	-	3231	739	753	752	1565	1844	1403	919	1429
gene-SYNPCC7002_RS00740	NC_010475.1	153399	154799	-	1401	230	181	156	382	441	327	212	371
gene-SYNPCC7002_RS00745	NC_010475.1	154890	156641	-	1752	120	111	80	200	316	209	122	224
gene-SYNPCC7002_RS00750	NC_010475.1	156915	158534	-	1620	16312	14706	16409	30019	11070	6273	4712	9337
gene-SYNPCC7002_RS00755	NC_010475.1	158726	159169	+	444	766	629	740	1441	2482	1621	1112	1877
gene-SYNPCC7002_RS00760	NC_010475.1	159222	159494	+	273	2551	2544	2535	6116	8533	5904	3870	6470
gene-SYNPCC7002_RS00765	NC_010475.1	159599	160267	+	669	1100	1103	1051	2288	2920	2112	1387	2286
gene-SYNPCC7002_RS00770	NC_010475.1	160274	160702	+	429	818	630	826	1476	2046	1512	995	1694
gene-SYNPCC7002_RS00775	NC_010475.1	160764	161612	+	849	819	665	838	1615	2178	1703	1411	1990
gene-SYNPCC7002_RS00780	NC_010475.1	161801	162883	-	1083	117878	95071	102989	212952	384942	123687	82002	139131
gene-SYNPCC7002_RS00785	NC_010475.1	163051	165204	-	2154	3910	3055	3434	7154	17249	14468	8526	14846
gene-SYNPCC7002_RS00790	NC_010475.1	165337	166389	-	1053	9053	6140	7553	15143	28604	12211	8496	12423
gene-SYNPCC7002_RS00795	NC_010475.1	166576	167043	+	468	2887	2698	2584	5699	9344	7284	4594	8121
gene-SYNPCC7002_RS00800	NC_010475.1	167146	167700	+	555	2698	2410	2502	5257	10239	7188	4261	8013
gene-SYNPCC7002_RS00805	NC_010475.1	167725	168822	-	1098	1614	1529	1993	4274	1332	1825	1047	2173
gene-SYNPCC7002_RS00810	NC_010475.1	169007	169735	-	729	4673	4297	4921	10109	11199	7690	5285	8664
gene-SYNPCC7002_RS00815	NC_010475.1	169701	170243	-	543	5529	5293	5786	12712	14476	10505	7451	11978
gene-SYNPCC7002_RS00820	NC_010475.1	170514	171947	+	1434	17143	13855	16919	32218	27805	22298	15967	26918
gene-SYNPCC7002_RS00825	NC_010475.1	172027	173013	-	987	2738	2466	2501	5677	7273	5424	3826	6417
gene-SYNPCC7002_RS00830	NC_010475.1	173166	173519	+	354	58035	60479	54916	127932	101021	76785	58628	88114
gene-SYNPCC7002_RS00835	NC_010475.1	173717	175018	-	1302	27330	22699	32538	64096	32502	25881	16330	28012
gene-SYNPCC7002_RS00840	NC_010475.1	175339	176679	+	1341	5241	4245	4575	10312	10638	7287	4797	7604
gene-SYNPCC7002_RS00845	NC_010475.1	176689	178056	-	1368	1719	1653	1674	3727	5321	3933	2449	4962
gene-SYNPCC7002_RS00850	NC_010475.1	178297	179232	+	936	9012	7612	8314	16884	8662	5272	4046	6567
gene-SYNPCC7002_RS00855	NC_010475.1	179360	181210	+	1851	8346	6396	7683	13942	7429	3832	2994	5264
gene-SYNPCC7002_RS00860	NC_010475.1	181266	182762	+	1497	5638	4305	5487	10773	6180	3415	2364	4346
gene-SYNPCC7002_RS00865	NC_010475.1	182822	184105	+	1284	3659	2974	4314	7882	4317	2487	1996	3362
gene-SYNPCC7002_RS00870	NC_010475.1	184149	184550	+	402	956	876	991	2157	1290	833	628	1017
gene-SYNPCC7002_RS00875	NC_010475.1	184632	185405	-	774	3315	2671	3036	6429	9984	8765	6196	9036
gene-SYNPCC7002_RS00880	NC_010475.1	185482	186630	-	1149	11998	10203	11734	22384	13703	11342	8393	12906
gene-SYNPCC7002_RS00885	NC_010475.1	186735	189380	-	2646	2829	2194	2468	5649	6913	5640	3928	6000
gene-SYNPCC7002_RS00890	NC_010475.1	189484	189744	-	261	252	233	295	593	1040	776	486	786
gene-SYNPCC7002_RS00895	NC_010475.1	189954	190148	+	195	565	597	629	1358	509	939	684	1321
gene-SYNPCC7002_RS00900	NC_010475.1	190266	190742	-	477	9179	7734	9165	18991	24411	18057	11812	21119
gene-SYNPCC7002_RS00905	NC_010475.1	190898	192481	+	1584	821	751	818	1759	2173	1688	1028	1767
gene-SYNPCC7002_RS00910	NC_010475.1	192526	192598	-	73	0	4	4	0	0	4	0	0
gene-SYNPCC7002_RS00915	NC_010475.1	192659	193855	-	1197	3775	3220	3403	6852	7009	4854	3411	5768
gene-SYNPCC7002_RS00920	NC_010475.1	194043	194387	-	345	1003	1027	1088	2790	2493	1389	888	1553
gene-SYNPCC7002_RS00925	NC_010475.1	195013	195150	-	138	4272	4279	5183	11817	22136	6418	4880	4159
gene-SYNPCC7002_RS00930	NC_010475.1	195386	196330	-	945	10095	8006	9399	19601	25298	19439	12913	21929
gene-SYNPCC7002_RS00935	NC_010475.1	196692	197808	+	1117	2734	2345	2384	4979	7255	5115	3629	5769
gene-SYNPCC7002_RS00940	NC_010475.1	197858	199324	+	1467	3722	3250	3624	6602	10815	7836	5681	8743
gene-SYNPCC7002_RS00945	NC_010475.1	199382	200866	+	1485	2733	2364	2645	5299	8105	6062	4124	6563
gene-SYNPCC7002_RS00950	NC_010475.1	200876	202201	-	1326	1197	1337	1297	2907	1395	2022	1501	2683
gene-SYNPCC7002_RS00955	NC_010475.1	202330	202908	-	579	411	413	515	1025	878	671	595	932
gene-SYNPCC7002_RS00960	NC_010475.1	203001	204710	-	1710	2578	2507	3039	6722	3023	3536	2632	3984
gene-SYNPCC7002_RS00965	NC_010475.1	204923	205969	+	1047	341	318	376	771	585	734	541	830
gene-SYNPCC7002_RS00970	NC_010475.1	206263	206754	+	492	377	473	425	935	633	671	526	777
gene-SYNPCC7002_RS00975	NC_010475.1	206812	208416	+	1605	786	844	792	2038	1309	1525	1046	1847
gene-SYNPCC7002_RS00980	NC_010475.1	208477	209193	+	717	550	548	610	1225	1279	934	609	1197
gene-SYNPCC7002_RS00985	NC_010475.1	209193	209759	+	567	527	485	498	1038	1076	884	630	1009
gene-SYNPCC7002_RS00990	NC_010475.1	209765	210409	+	645	513	388	496	894	1108	926	691	1320
gene-SYNPCC7002_RS00995	NC_010475.1	210491	211915	+	1425	1287	1128	1326	2549	3551	2734	1786	3503
gene-SYNPCC7002_RS01000	NC_010475.1	211915	212346	+	432	196	147	174	310	533	397	314	452
gene-SYNPCC7002_RS01005	NC_010475.1	212334	212675	+	342	139	126	153	296	562	431	271	524
gene-SYNPCC7002_RS01010	NC_010475.1	212718	213500	+	783	386	283	421	810	1552	970	663	1217
gene-SYNPCC7002_RS01015	NC_010475.1	213508	215802	+	2295	295	195	254	512	1306	715	537	884
gene-SYNPCC7002_RS01020	NC_010475.1	215936	216175	+	240	379	307	351	893	906	933	488	1004
gene-SYNPCC7002_RS01025	NC_010475.1	216179	217264	+	1086	881	777	815	1932	1911	1800	1276	2339
gene-SYNPCC7002_RS01030	NC_010475.1	217301	217693	-	393	1421	1299	1445	2991	2462	1639	1067	2010
gene-SYNPCC7002_RS01035	NC_010475.1	217709	218056	-	348	2303	2223	2332	4386	3718	2505	2059	2912
gene-SYNPCC7002_RS01040	NC_010475.1	218123	218578	+	456	160	153	150	270	438	405	246	399
gene-SYNPCC7002_RS01045	NC_010475.1	218881	219849	+	969	17618	16803	19176	38125	16189	23159	16257	31606
gene-SYNPCC7002_RS16540	NC_010475.1	220212	220688	-	477	202	223	222	530	812	488	466	667
gene-SYNPCC7002_RS01055	NC_010475.1	220861	221964	+	1104	15968	13628	15573	32090	33887	23875	17106	28497
gene-SYNPCC7002_RS01060	NC_010475.1	222176	223498	+	1323	15237	13557	15372	34878	52488	42338	25597	50379
gene-SYNPCC7002_RS01065	NC_010475.1	223707	226757	+	3051	6715	5492	6015	11965	13798	10735	8418	12160
gene-SYNPCC7002_RS01070	NC_010475.1	226834	227493	-	660	5546	4712	5287	11441	19949	16168	10626	18641
gene-SYNPCC7002_RS01075	NC_010475.1	227648	228634	+	987	10970	8482	9691	21666	42544	15159	10897	19079
gene-SYNPCC7002_RS01080	NC_010475.1	228807	229748	+	942	5589	4830	4986	11202	15933	7896	5447	9321
gene-SYNPCC7002_RS01085	NC_010475.1	229891	230616	+	726	1052	1066	1165	2435	2546	1928	1313	2084
gene-SYNPCC7002_RS01090	NC_010475.1	230673	231209	+	537	1615	1479	1697	3577	4795	3410	2399	4061
gene-SYNPCC7002_RS01095	NC_010475.1	231257	231988	+	732	592	525	653	1188	1784	1364	844	1435
gene-SYNPCC7002_RS01100	NC_010475.1	232392	233810	+	1419	13288	12195	15847	31237	30842	29580	19701	36721
gene-SYNPCC7002_RS01105	NC_010475.1	233957	235273	+	1317	1044	1068	1202	2744	3497	2825	1752	3338
gene-SYNPCC7002_RS01110	NC_010475.1	235304	235385	-	82	47	46	47	122	121	80	71	93
gene-SYNPCC7002_RS16350	NC_010475.1	235364	236230	-	867	9899	8517	9498	19529	17669	13786	9563	16160
gene-SYNPCC7002_RS01120	NC_010475.1	236255	236686	-	432	7451	6258	7450	15185	13660	10716	7023	13143
gene-SYNPCC7002_RS01125	NC_010475.1	236748	237101	-	354	4753	4248	5255	11675	10995	8240	5693	10051
gene-SYNPCC7002_RS01130	NC_010475.1	237151	239079	-	1929	4434	3998	4060	9181	9031	5998	4041	6917
gene-SYNPCC7002_RS01135	NC_010475.1	239337	239684	+	348	6359	5007	5699	11720	19446	7996	5903	9355
gene-SYNPCC7002_RS01140	NC_010475.1	239750	240772	+	1023	16615	12439	13718	27537	43113	18340	12932	21403
gene-SYNPCC7002_RS01145	NC_010475.1	240876	241121	+	246	7897	7182	8039	16731	19078	13901	10024	17876
gene-SYNPCC7002_RS16355	NC_010475.1	241168	241299	+	132	11596	9686	11533	23447	26019	19206	13615	23563
gene-SYNPCC7002_RS16360	NC_010475.1	241309	241428	+	120	13421	11986	12992	25726	25882	19608	13980	21749
gene-SYNPCC7002_RS01150	NC_010475.1	241484	241603	+	120	11189	10111	11640	21371	24142	17445	12034	18682
