Geneid	Chr	Start	End	Strand	Length	CO2-0-04percent_Lane1-S1_CO2-adaptation	CO2-0-04percent_Lane2-S2_CO2-adaptation	CO2-0-04percent_Lane2-S3_CO2-adaptation	CO2-0-04percent_Lane2-S4_CO2-adaptation	CO2-30percent_Lane1-S14_CO2-adaptation	CO2-30percent_Lane1-S16_CO2-adaptation	CO2-30percent_Lane2-S13_CO2-adaptation	CO2-30percent_Lane2-S15_CO2-adaptation	CO2-4percent_Lane1-S6_CO2-adaptation	CO2-4percent_Lane1-S7_CO2-adaptation	CO2-4percent_Lane2-S5_CO2-adaptation	CO2-4percent_Lane2-S8_CO2-adaptation	CO2-8percent_Lane1-S12_CO2-adaptation	CO2-8percent_Lane2-S10_CO2-adaptation	CO2-8percent_Lane2-S11_CO2-adaptation	CO2-8percent_Lane2-S9_CO2-adaptation
gene-SYNPCC7002_RS00100	NC_010475.1	12655	14193	+	1539	879	736	750	683	1023	897	767	746	674	897	598	895	678	421	535	507
gene-SYNPCC7002_RS00105	NC_010475.1	14203	14742	+	540	231	226	214	201	467	353	293	294	289	416	294	362	281	176	266	234
gene-SYNPCC7002_RS00110	NC_010475.1	14914	15801	-	888	1064	843	917	906	3601	2764	2582	2557	2188	2604	1764	2425	2006	1406	1983	1558
gene-SYNPCC7002_RS00115	NC_010475.1	15864	20024	-	4161	409	347	293	297	706	493	523	479	735	862	562	714	580	464	618	440
gene-SYNPCC7002_RS00120	NC_010475.1	20106	20954	+	849	1168	1041	1123	1209	1813	1265	1315	1511	1746	2012	1047	1594	1335	1173	1559	1043
gene-SYNPCC7002_RS00130	NC_010475.1	22367	23170	+	804	626	500	422	439	1593	1197	1191	1227	1512	2007	1116	1684	1237	898	1218	829
gene-SYNPCC7002_RS00135	NC_010475.1	23167	24519	-	1353	654	530	571	603	1075	873	776	746	664	783	466	775	576	420	570	376
gene-SYNPCC7002_RS00140	NC_010475.1	24806	25246	+	441	232	249	225	238	207	211	217	145	145	174	171	193	218	99	160	155
gene-SYNPCC7002_RS00145	NC_010475.1	25340	26419	+	1080	573	391	387	472	712	500	461	472	431	573	368	449	437	292	411	297
gene-SYNPCC7002_RS00150	NC_010475.1	26445	27062	-	618	560	458	470	491	628	485	500	452	526	706	444	540	496	348	541	383
gene-SYNPCC7002_RS00155	NC_010475.1	27194	28225	+	1032	320	211	194	169	502	507	420	350	530	609	508	609	559	313	423	359
gene-SYNPCC7002_RS00160	NC_010475.1	28366	28854	+	489	5745	5498	5216	5737	11358	7833	7984	8135	10166	12306	7667	10814	9217	8258	10459	6889
gene-SYNPCC7002_RS16250	NC_010475.1	28953	29348	+	396	2834983	3069407	3002030	3618293	2896896	2357411	2179353	2276645	1316187	1749778	1307302	1408708	1569358	920680	1528899	1170076
gene-SYNPCC7002_RS00165	NC_010475.1	29424	30743	-	1320	1947	1848	1961	1965	3093	2430	2203	2304	2848	3891	2548	2969	2621	1821	2801	2086
gene-SYNPCC7002_RS00170	NC_010475.1	30885	31730	-	846	688	670	504	544	2184	1645	1454	1341	2114	2776	1841	1881	2239	1220	2071	1688
gene-SYNPCC7002_RS00175	NC_010475.1	31804	33420	-	1617	2041	1853	1482	1575	6086	4822	4317	4522	6525	8816	5790	5930	6467	4526	6284	5040
gene-SYNPCC7002_RS00180	NC_010475.1	33504	34478	-	975	556	568	645	625	362	262	247	255	129	159	83	111	103	63	108	75
gene-SYNPCC7002_RS00185	NC_010475.1	34718	35728	+	1011	1528	1197	868	876	5468	4496	4191	3700	4108	5935	3786	4300	4416	2857	4178	3439
gene-SYNPCC7002_RS00190	NC_010475.1	35772	36683	+	912	727	657	526	488	2211	1874	1619	1655	1509	2027	1481	1676	1870	918	1429	1271
gene-SYNPCC7002_RS00195	NC_010475.1	36701	37603	+	903	311	245	205	250	1042	814	706	844	746	1187	709	778	900	580	916	579
gene-SYNPCC7002_RS00200	NC_010475.1	37587	38036	+	450	36	29	46	51	148	151	127	107	132	205	129	113	172	93	130	114
gene-SYNPCC7002_RS00205	NC_010475.1	38116	39978	-	1863	42560	43694	40122	45668	62466	44698	42705	43819	32160	42542	27197	34453	29952	22990	32216	23836
gene-SYNPCC7002_RS00210	NC_010475.1	40120	45915	-	5796	4127	3352	3306	3315	4830	4304	4071	3383	3811	5401	3292	4700	3440	2352	3401	2299
gene-SYNPCC7002_RS00215	NC_010475.1	46222	46563	-	342	628	585	485	562	8707	6677	5902	6288	5876	6878	4799	6219	6700	4623	5957	5077
gene-SYNPCC7002_RS00220	NC_010475.1	46832	48373	+	1542	1807	1444	1366	1303	2177	1942	1628	1567	1182	1621	1029	1303	1100	648	989	890
gene-SYNPCC7002_RS00225	NC_010475.1	48397	49074	-	678	315	191	144	171	577	458	325	348	516	651	389	440	515	367	468	304
gene-SYNPCC7002_RS00230	NC_010475.1	49554	50762	+	1209	7582	6233	7017	7551	4712	3632	3421	3292	4205	4687	2758	3265	2934	1995	2942	2325
gene-SYNPCC7002_RS00235	NC_010475.1	50845	51207	+	363	1524	1159	1159	1147	1088	1107	971	692	1109	1219	1002	1037	1110	585	723	743
gene-SYNPCC7002_RS00240	NC_010475.1	51282	51773	+	492	1821	1351	1526	1642	1425	1257	1121	1011	1465	1635	1090	1272	1214	708	1045	720
gene-SYNPCC7002_RS00245	NC_010475.1	51869	56263	+	4395	19646	16188	17417	17485	14300	12174	11359	10372	13213	15231	8984	11423	9814	6824	8489	6915
gene-SYNPCC7002_RS00250	NC_010475.1	56378	59512	+	3135	4701	3937	4900	4758	3218	2535	2550	2377	3722	4080	2457	2993	2629	1897	2877	1872
gene-SYNPCC7002_RS00255	NC_010475.1	59525	60178	-	654	1905	1776	1536	1432	6814	5437	4636	4311	3835	4671	3626	4774	4143	2544	3669	2899
gene-SYNPCC7002_RS00260	NC_010475.1	60296	60643	-	348	1675	1378	1536	1366	4042	3216	2884	2652	3102	3877	2921	3351	3092	1985	2914	2559
gene-SYNPCC7002_RS00265	NC_010475.1	60707	61204	-	498	1565	1298	1148	1032	4351	3351	3232	3021	5018	6452	4313	4444	4883	3399	4725	3638
gene-SYNPCC7002_RS00270	NC_010475.1	61290	61847	-	558	3374	2440	2095	2035	7934	6504	6047	5168	9335	11859	9082	9299	9970	6222	8415	7458
gene-SYNPCC7002_RS00275	NC_010475.1	61952	62608	-	657	147	105	132	165	233	177	154	189	157	178	98	142	142	105	147	76
gene-SYNPCC7002_RS00280	NC_010475.1	62605	63024	-	420	494	465	607	485	561	419	371	405	367	422	345	468	346	227	344	293
gene-SYNPCC7002_RS00285	NC_010475.1	63031	63270	-	240	455	451	501	466	475	362	365	332	262	418	306	414	320	191	338	239
gene-SYNPCC7002_RS00290	NC_010475.1	63367	64266	-	900	16387	17390	19449	20262	10653	7606	7552	7436	6716	7767	5346	7892	5928	4244	5859	4315
gene-SYNPCC7002_RS00295	NC_010475.1	64484	65443	-	960	3464	3364	3348	3527	5537	4359	4035	4000	4526	5603	3641	4034	4369	2908	4324	3520
gene-SYNPCC7002_RS00300	NC_010475.1	65470	65679	-	210	1227	1104	1282	1327	1809	1323	1329	1278	1621	2086	1152	1221	1391	1025	1362	1108
gene-SYNPCC7002_RS00305	NC_010475.1	65831	66229	+	399	200	84	78	76	671	510	526	447	849	985	836	859	736	459	748	643
gene-SYNPCC7002_RS00310	NC_010475.1	66337	67056	-	720	717	620	673	745	1088	820	862	835	670	923	517	693	707	477	611	576
gene-SYNPCC7002_RS00315	NC_010475.1	67152	67652	+	501	998	887	1049	951	1603	1385	1095	1025	917	1268	803	1169	1052	610	903	703
gene-SYNPCC7002_RS00320	NC_010475.1	67696	70698	+	3003	2940	2429	2188	2295	4555	3639	3419	3183	3517	4573	2757	3768	3123	2401	3020	2258
gene-SYNPCC7002_RS00325	NC_010475.1	70804	72312	+	1509	2176	1531	1774	1796	1128	923	897	776	1162	1686	1161	1429	1148	640	1097	827
gene-SYNPCC7002_RS00330	NC_010475.1	72394	72648	-	255	328	311	295	238	536	401	424	324	345	495	359	458	367	240	391	297
gene-SYNPCC7002_RS00335	NC_010475.1	72686	74116	+	1431	1336	1099	1170	1035	1975	1780	1647	1545	1755	2836	1763	2382	1869	1413	1861	1472
gene-SYNPCC7002_RS00340	NC_010475.1	74161	74340	+	180	279	283	285	250	464	365	357	292	320	528	337	394	381	254	377	355
gene-SYNPCC7002_RS00345	NC_010475.1	74343	75515	-	1173	201	124	122	128	569	388	383	447	604	888	683	695	689	395	639	507
gene-SYNPCC7002_RS00350	NC_010475.1	75522	76319	-	798	421	261	253	212	1119	1122	962	785	1182	1627	1057	1410	1221	749	926	899
gene-SYNPCC7002_RS00355	NC_010475.1	76369	76836	-	468	752	605	431	427	1839	1686	1462	1203	2064	2550	1941	2157	2027	1427	1974	1570
gene-SYNPCC7002_RS00360	NC_010475.1	76972	77229	-	258	140	127	117	78	374	307	310	263	289	432	328	360	329	238	365	267
gene-SYNPCC7002_RS00365	NC_010475.1	77289	78125	-	837	766	562	634	564	1208	1097	1041	953	1334	1739	1265	1332	1449	1018	1288	1072
gene-SYNPCC7002_RS00370	NC_010475.1	78306	79598	-	1293	4158	3477	2271	2565	10673	8816	8053	7454	13296	17733	11875	14314	12279	8933	12547	9129
gene-SYNPCC7002_RS16605	NC_010475.1	79701	79904	-	204	3	0	0	1	6	6	5	7	3	3	5	4	6	2	7	0
gene-SYNPCC7002_RS00375	NC_010475.1	79979	80374	+	396	1107	869	801	853	3315	2974	2653	2271	1842	2245	1749	2231	1833	1192	1619	1346
gene-SYNPCC7002_RS00380	NC_010475.1	80386	81978	+	1593	1083	1070	966	946	4534	3618	3316	3033	2351	3233	2008	2662	2068	1361	2129	1587
gene-SYNPCC7002_RS00385	NC_010475.1	82165	82413	+	249	3554	3378	3702	3798	2598	2067	1936	1826	1274	1732	1181	1055	1330	723	1237	1036
gene-SYNPCC7002_RS16340	NC_010475.1	82481	82723	+	243	1779	1625	1787	1860	1394	1149	1059	1005	665	894	638	587	654	334	603	515
gene-SYNPCC7002_RS00390	NC_010475.1	82844	83233	-	390	3928	3162	3481	3262	7167	5397	5289	4327	3923	4953	3595	5105	3674	2978	3786	3073
gene-SYNPCC7002_RS00395	NC_010475.1	83336	83683	-	348	991	844	1349	1248	571	448	461	387	777	1062	631	676	638	451	704	494
gene-SYNPCC7002_RS17030	NC_010475.1	83787	84305	-	519	36	28	21	18	34	29	51	13	32	30	31	34	41	13	35	20
gene-SYNPCC7002_RS17035	NC_010475.1	84224	84586	-	363	75	63	53	38	94	88	82	57	69	105	114	116	115	64	75	74
gene-SYNPCC7002_RS00405	NC_010475.1	84600	84794	-	195	466	342	429	361	559	396	382	364	535	675	530	490	421	343	448	401
gene-SYNPCC7002_RS00410	NC_010475.1	84870	85547	-	678	1467	1146	1324	1063	1873	1593	1475	1323	1888	2375	1674	1936	1793	1191	1783	1453
gene-SYNPCC7002_RS00415	NC_010475.1	85586	86875	-	1290	1735	1642	1784	1704	2706	2104	2155	2097	2850	3736	2517	2512	2386	1841	3087	2017
gene-SYNPCC7002_RS00420	NC_010475.1	86991	87764	+	774	266	190	182	194	381	365	281	290	265	459	258	330	297	227	344	215
gene-SYNPCC7002_RS00425	NC_010475.1	87845	88510	+	666	409	285	210	195	609	622	479	408	535	697	540	618	507	302	488	426
gene-SYNPCC7002_RS00430	NC_010475.1	88528	89505	-	978	596	548	606	629	1597	1258	1155	991	961	1256	850	1124	1043	731	884	774
gene-SYNPCC7002_RS00435	NC_010475.1	89652	90917	+	1266	540	478	452	402	1491	1370	1174	997	525	824	465	638	516	307	482	419
gene-SYNPCC7002_RS00440	NC_010475.1	90933	91235	+	303	181	174	183	172	365	323	251	313	259	273	165	235	249	170	228	195
gene-SYNPCC7002_RS00445	NC_010475.1	91267	91764	+	498	562	501	542	575	1033	797	769	755	822	902	755	751	730	460	629	577
gene-SYNPCC7002_RS00450	NC_010475.1	91804	92343	+	540	439	393	473	473	936	759	669	710	475	710	479	709	472	398	517	417
gene-SYNPCC7002_RS00455	NC_010475.1	92387	93304	-	918	797	638	501	430	1165	1207	1003	859	1058	1552	1149	1381	1221	757	961	1015
gene-SYNPCC7002_RS00460	NC_010475.1	93327	94130	-	804	1841	1537	1537	1348	2832	2239	2250	2051	3167	4360	2463	2952	2922	2146	3034	2263
gene-SYNPCC7002_RS00465	NC_010475.1	94161	94484	-	324	2182	1827	1765	1812	2980	2347	2299	2093	3749	5196	3321	3246	3679	2403	3818	2937
gene-SYNPCC7002_RS00470	NC_010475.1	94538	95278	-	741	1313	992	823	861	2348	1920	1679	1482	1943	2692	1738	2055	1964	1418	1728	1396
gene-SYNPCC7002_RS17175	NC_010475.1	95308	95436	-	129	171	138	142	191	101	51	68	62	64	58	35	66	58	32	47	38
gene-SYNPCC7002_RS00475	NC_010475.1	95582	96871	+	1290	16389	15184	12183	13571	25611	20819	20035	18045	29408	36097	26272	28543	31015	20847	28220	24501
gene-SYNPCC7002_RS00480	NC_010475.1	96991	97545	-	555	456	359	379	330	431	332	358	283	432	570	393	558	422	252	330	288
gene-SYNPCC7002_RS00485	NC_010475.1	97815	98096	+	282	1851	1449	1270	1278	893	793	825	538	1035	1266	1157	1424	1101	622	898	892
gene-SYNPCC7002_RS00490	NC_010475.1	98278	99582	+	1305	3102	2397	2209	2215	5070	4382	3935	3533	6425	8678	5567	6107	6636	4239	6057	4914
gene-SYNPCC7002_RS00495	NC_010475.1	99746	100627	+	882	1008	924	927	977	2052	1502	1504	1460	1790	2303	1462	1549	1902	1094	1737	1343
gene-SYNPCC7002_RS00500	NC_010475.1	100631	101380	+	750	731	615	597	526	1204	941	926	801	1015	1239	1107	1066	1005	632	864	795
gene-SYNPCC7002_RS00505	NC_010475.1	101517	101590	+	74	28	22	34	44	24	14	24	20	24	28	50	24	18	38	58	34
gene-SYNPCC7002_RS00510	NC_010475.1	101724	103730	+	2007	2877	2365	2069	2161	7313	6039	5632	5062	5172	7188	4490	6283	4079	3090	4439	3262
gene-SYNPCC7002_RS00515	NC_010475.1	103895	104227	-	333	5226	4525	3850	4171	12105	8678	8431	8106	9828	13953	9144	9981	10747	7279	10759	8169
gene-SYNPCC7002_RS00520	NC_010475.1	104356	105300	-	945	1973	1667	1542	1470	2743	2359	2158	1875	2859	3753	2489	3351	2812	1716	2416	2014
gene-SYNPCC7002_RS00525	NC_010475.1	105340	106806	-	1467	2555	1953	1762	1716	5470	4368	3896	3943	6045	8078	5100	5630	5463	3926	5261	4171
gene-SYNPCC7002_RS00530	NC_010475.1	107108	108124	+	1017	23077	21023	17911	19955	40839	32220	31609	28621	43844	54520	36625	36764	43578	30611	41930	34291
gene-SYNPCC7002_RS00535	NC_010475.1	108257	108601	-	345	293	223	267	244	353	285	268	266	431	598	408	507	315	242	361	330
gene-SYNPCC7002_RS00540	NC_010475.1	108852	109724	-	873	1472	1274	1183	1291	1858	1457	1469	1468	2803	3382	1820	2334	2244	1799	2339	1634
gene-SYNPCC7002_RS00545	NC_010475.1	109846	110373	+	528	249	222	165	152	821	670	596	587	768	993	691	689	713	561	866	593
gene-SYNPCC7002_RS00550	NC_010475.1	110430	111740	+	1311	4415	3719	2803	3288	11134	9222	8826	8052	12839	16630	11022	12509	12732	8890	12178	9448
gene-SYNPCC7002_RS00555	NC_010475.1	111950	112462	-	513	17313	17508	13918	17793	21242	15947	15810	15879	35032	43599	25101	25827	34366	23616	34311	25059
gene-SYNPCC7002_RS00560	NC_010475.1	112709	113413	-	705	174	147	157	162	331	184	232	193	265	313	235	275	259	176	263	165
gene-SYNPCC7002_RS00565	NC_010475.1	113548	114129	+	582	568	469	524	567	932	690	651	572	1127	1347	809	811	953	717	1024	751
gene-SYNPCC7002_RS00570	NC_010475.1	114276	116504	+	2229	5600	4489	5739	5561	6032	4766	4368	4229	8686	11660	7032	9820	6798	5146	7194	5094
gene-SYNPCC7002_RS00575	NC_010475.1	116526	117704	-	1179	425	340	338	343	1207	1016	859	918	607	971	631	828	676	476	610	512
gene-SYNPCC7002_RS00580	NC_010475.1	118054	118548	+	495	2570	2603	2237	2569	6335	4663	4589	4108	5733	7856	5788	5926	5765	3856	5937	4642
gene-SYNPCC7002_RS00585	NC_010475.1	118649	119449	-	801	1722	1297	896	891	4114	3757	3010	2606	2085	3050	2505	3827	2577	1492	2056	1947
gene-SYNPCC7002_RS00590	NC_010475.1	119567	119926	+	360	3849	3465	3412	3590	4955	3947	3491	3681	3862	5513	3905	4839	4044	2666	3973	3036
gene-SYNPCC7002_RS00595	NC_010475.1	120060	121814	-	1755	2477	2354	2347	2216	4157	3078	2978	2977	3016	3779	2333	3269	2770	2093	2844	2013
gene-SYNPCC7002_RS00600	NC_010475.1	121880	123376	-	1497	3257	2759	2611	2639	4323	3071	3232	3005	3809	4889	3126	4357	3135	2477	3169	2535
gene-SYNPCC7002_RS00605	NC_010475.1	123484	124035	-	552	677	585	629	529	984	748	589	736	892	1274	914	1052	833	641	837	626
gene-SYNPCC7002_RS00610	NC_010475.1	124239	125600	+	1362	3873	3575	4018	3824	6341	4827	4080	4665	3938	5315	3550	4123	3754	2518	3556	2821
gene-SYNPCC7002_RS00615	NC_010475.1	125648	126877	+	1230	326	262	308	258	892	621	582	656	422	660	375	422	443	313	357	349
gene-SYNPCC7002_RS00620	NC_010475.1	126983	127825	-	843	2973	1429	547	650	11414	10021	9158	7888	39711	48808	44634	69724	26593	22102	27832	20987
gene-SYNPCC7002_RS00625	NC_010475.1	128441	129100	-	660	322	347	313	238	929	745	591	617	702	1322	809	729	659	487	776	596
gene-SYNPCC7002_RS00630	NC_010475.1	129138	129524	-	387	80	65	58	51	187	145	115	117	43	83	79	90	55	39	66	51
gene-SYNPCC7002_RS00635	NC_010475.1	129535	129978	-	444	125	119	158	127	313	206	207	244	141	163	103	181	109	108	117	88
gene-SYNPCC7002_RS00640	NC_010475.1	130195	130581	+	387	3887	3363	3228	3265	6918	5664	5215	4434	6581	9757	7431	8506	7850	4596	7007	6237
gene-SYNPCC7002_RS00645	NC_010475.1	130653	131291	-	639	87	100	71	120	468	298	270	365	325	369	240	198	179	166	229	184
gene-SYNPCC7002_RS00650	NC_010475.1	131288	131704	-	417	357	294	295	328	1497	1059	885	1003	444	560	422	507	460	305	391	356
gene-SYNPCC7002_RS00655	NC_010475.1	131704	131988	-	285	452	322	384	360	1244	996	926	802	499	566	403	496	434	277	381	370
gene-SYNPCC7002_RS00660	NC_010475.1	132167	133045	+	879	482	392	316	297	761	574	610	537	719	986	591	717	689	458	647	514
gene-SYNPCC7002_RS00665	NC_010475.1	133052	134653	-	1602	502	471	268	302	754	752	685	603	999	1196	849	1015	884	485	764	571
gene-SYNPCC7002_RS00670	NC_010475.1	134875	135063	+	189	8902	8382	7215	9338	10244	7380	7277	6602	11825	15817	9360	9237	9834	7354	13468	8814
gene-SYNPCC7002_RS00675	NC_010475.1	135206	135682	+	477	1415	1420	1325	1378	1955	1356	1417	1385	1930	2769	1791	1816	1937	1331	1928	1546
gene-SYNPCC7002_RS00680	NC_010475.1	135782	135853	+	72	8	12	8	16	16	4	12	4	14	36	24	4	8	14	32	12
gene-SYNPCC7002_RS00685	NC_010475.1	136055	138442	+	2388	12609	10091	8866	8331	5050	4761	4034	3492	3330	4379	2999	4386	3114	2033	3063	2464
gene-SYNPCC7002_RS00690	NC_010475.1	138439	139122	-	684	384	291	361	314	597	557	488	444	280	423	303	370	294	212	321	249
gene-SYNPCC7002_RS00695	NC_010475.1	139328	139741	-	414	12810	14067	17941	16194	10060	8409	8547	7328	4285	4995	3859	3629	4093	2548	3480	3184
gene-SYNPCC7002_RS00700	NC_010475.1	139947	142412	-	2466	46536	39884	40563	40364	105854	87646	80074	75686	60720	82487	57041	74356	59553	42513	56487	45930
gene-SYNPCC7002_RS00705	NC_010475.1	142542	142913	-	372	330	331	303	354	491	388	375	417	415	601	387	485	368	306	425	379
gene-SYNPCC7002_RS00710	NC_010475.1	142940	143542	-	603	1121	907	858	932	1579	1291	1223	1066	1210	1531	1034	1392	1179	865	1089	874
gene-SYNPCC7002_RS00715	NC_010475.1	143821	145422	+	1602	1535	1226	1112	1162	2216	2011	1645	1558	1609	1727	1454	1807	1685	1032	1451	1286
gene-SYNPCC7002_RS00720	NC_010475.1	145445	146026	+	582	278	236	320	266	412	335	351	264	315	295	230	319	257	210	222	194
gene-SYNPCC7002_RS00725	NC_010475.1	146083	147843	+	1761	425	404	568	537	951	762	645	680	774	1025	645	835	717	523	665	533
gene-SYNPCC7002_RS00730	NC_010475.1	148056	149723	+	1668	11470	9595	6655	7617	18209	13955	13994	13539	25527	32630	20073	22758	23273	17253	24366	17282
gene-SYNPCC7002_RS16040	NC_010475.1	149816	153046	-	3231	763	742	631	654	729	600	516	452	593	664	408	517	500	333	484	355
gene-SYNPCC7002_RS00740	NC_010475.1	153399	154799	-	1401	67	72	41	60	136	114	99	92	115	181	114	137	149	77	106	123
gene-SYNPCC7002_RS00745	NC_010475.1	154890	156641	-	1752	67	64	64	43	148	80	81	86	62	80	59	67	53	46	64	50
gene-SYNPCC7002_RS00750	NC_010475.1	156915	158534	-	1620	14224	12185	16449	15111	6346	5571	4751	4346	4636	5829	3870	4059	5635	3173	4797	3897
