Geneid	seqnames	start	end	strand	type	name	locus_tag	old_locus_tag	product
gene-SYNPCC7002_RS00050	NC_010475.1	5271	5630	-	protein-coding	SYNPCC7002_RS00050	SYNPCC7002_RS00050	SYNPCC7002_A0009	Spx/MgsR family RNA polymerase-binding regulatory protein
gene-SYNPCC7002_RS00055	NC_010475.1	5742	6824	+	protein-coding	SYNPCC7002_RS00055	SYNPCC7002_RS00055	SYNPCC7002_A0010	class I fructose-bisphosphate aldolase
gene-SYNPCC7002_RS00060	NC_010475.1	7044	7613	+	protein-coding	SYNPCC7002_RS00060	SYNPCC7002_RS00060	SYNPCC7002_A0011	Uma2 family endonuclease
gene-SYNPCC7002_RS16035	NC_010475.1	7646	8308	+	protein-coding	SYNPCC7002_RS16035	SYNPCC7002_RS16035	SYNPCC7002_A0012	NUDIX hydrolase
gene-SYNPCC7002_RS00070	NC_010475.1	8305	9621	+	protein-coding	SYNPCC7002_RS00070	SYNPCC7002_RS00070	SYNPCC7002_A0013	hypothetical protein
gene-SYNPCC7002_RS00075	NC_010475.1	9729	10484	+	protein-coding	SYNPCC7002_RS00075	SYNPCC7002_RS00075	SYNPCC7002_A0014	DUF1995 family protein
gene-SYNPCC7002_RS00080	NC_010475.1	10504	11418	+	protein-coding	SYNPCC7002_RS00080	SYNPCC7002_RS00080	SYNPCC7002_A0015	TIGR04168 family protein
gene-SYNPCC7002_RS00085	NC_010475.1	11402	11782	-	protein-coding	SYNPCC7002_RS00085	SYNPCC7002_RS00085	SYNPCC7002_A0016	VOC family protein
gene-SYNPCC7002_RS00090	NC_010475.1	11850	12152	-	protein-coding	SYNPCC7002_RS00090	SYNPCC7002_RS00090	SYNPCC7002_A0017	hypothetical protein
gene-SYNPCC7002_RS00095	NC_010475.1	12398	12628	+	protein-coding	SYNPCC7002_RS00095	SYNPCC7002_RS00095	SYNPCC7002_A0018	hypothetical protein
gene-SYNPCC7002_RS00100	NC_010475.1	12655	14193	+	protein-coding	SYNPCC7002_RS00100	SYNPCC7002_RS00100	SYNPCC7002_A0019	AAA family ATPase
gene-SYNPCC7002_RS00105	NC_010475.1	14203	14742	+	protein-coding	rsmD	SYNPCC7002_RS00105	SYNPCC7002_A0020	16S rRNA (guanine(966)-N(2))-methyltransferase RsmD
gene-SYNPCC7002_RS00110	NC_010475.1	14914	15801	-	protein-coding	SYNPCC7002_RS00110	SYNPCC7002_RS00110	SYNPCC7002_A0021	alpha/beta fold hydrolase
gene-SYNPCC7002_RS00115	NC_010475.1	15864	20024	-	protein-coding	SYNPCC7002_RS00115	SYNPCC7002_RS00115	SYNPCC7002_A0022	WD repeat-containing protein
gene-SYNPCC7002_RS00120	NC_010475.1	20106	20954	+	protein-coding	SYNPCC7002_RS00120	SYNPCC7002_RS00120	SYNPCC7002_A0023	FtsQ-type POTRA domain-containing protein
gene-SYNPCC7002_RS00130	NC_010475.1	22367	23170	+	protein-coding	thiD	SYNPCC7002_RS00130	SYNPCC7002_A0025	bifunctional hydroxymethylpyrimidine kinase/phosphomethylpyrimidine kinase
gene-SYNPCC7002_RS00135	NC_010475.1	23167	24519	-	protein-coding	SYNPCC7002_RS00135	SYNPCC7002_RS00135	SYNPCC7002_A0026	GTP-binding protein
gene-SYNPCC7002_RS00140	NC_010475.1	24806	25246	+	protein-coding	SYNPCC7002_RS00140	SYNPCC7002_RS00140	SYNPCC7002_A0027	hypothetical protein
gene-SYNPCC7002_RS00145	NC_010475.1	25340	26419	+	protein-coding	SYNPCC7002_RS00145	SYNPCC7002_RS00145	SYNPCC7002_A0028	hypothetical protein
gene-SYNPCC7002_RS00150	NC_010475.1	26445	27062	-	protein-coding	SYNPCC7002_RS00150	SYNPCC7002_RS00150	SYNPCC7002_A0029	LysE family translocator
gene-SYNPCC7002_RS00155	NC_010475.1	27194	28225	+	protein-coding	csaB	SYNPCC7002_RS00155	SYNPCC7002_A0030	polysaccharide pyruvyl transferase CsaB
gene-SYNPCC7002_RS00160	NC_010475.1	28366	28854	+	protein-coding	SYNPCC7002_RS00160	SYNPCC7002_RS00160	SYNPCC7002_A0031	DNA starvation/stationary phase protection protein
gene-SYNPCC7002_RS16250	NC_010475.1	28953	29348	+	tmRNA	ssrA	SYNPCC7002_RS16250	SYNPCC7002_A0032	transfer-messenger RNA
gene-SYNPCC7002_RS00165	NC_010475.1	29424	30743	-	protein-coding	SYNPCC7002_RS00165	SYNPCC7002_RS00165	SYNPCC7002_A0033	hemolysin family protein
gene-SYNPCC7002_RS00170	NC_010475.1	30885	31730	-	protein-coding	SYNPCC7002_RS00170	SYNPCC7002_RS00170	SYNPCC7002_A0034	3'(2'),5'-bisphosphate nucleotidase CysQ
gene-SYNPCC7002_RS00175	NC_010475.1	31804	33420	-	protein-coding	lysS	SYNPCC7002_RS00175	SYNPCC7002_A0035	lysine--tRNA ligase
gene-SYNPCC7002_RS00180	NC_010475.1	33504	34478	-	protein-coding	SYNPCC7002_RS00180	SYNPCC7002_RS00180	SYNPCC7002_A0036	hypothetical protein
gene-SYNPCC7002_RS00185	NC_010475.1	34718	35728	+	protein-coding	trpS	SYNPCC7002_RS00185	SYNPCC7002_A0037	tryptophan--tRNA ligase
gene-SYNPCC7002_RS00190	NC_010475.1	35772	36683	+	protein-coding	SYNPCC7002_RS00190	SYNPCC7002_RS00190	SYNPCC7002_A0038	methylenetetrahydrofolate reductase
gene-SYNPCC7002_RS00195	NC_010475.1	36701	37603	+	protein-coding	SYNPCC7002_RS00195	SYNPCC7002_RS00195	SYNPCC7002_A0039	PhzF family phenazine biosynthesis protein
gene-SYNPCC7002_RS00200	NC_010475.1	37587	38036	+	protein-coding	SYNPCC7002_RS00200	SYNPCC7002_RS00200	NA	PhzF family phenazine biosynthesis isomerase
gene-SYNPCC7002_RS00205	NC_010475.1	38116	39978	-	protein-coding	ftsH3	SYNPCC7002_RS00205	SYNPCC7002_A0040	ATP-dependent zinc metalloprotease FtsH3
gene-SYNPCC7002_RS00210	NC_010475.1	40120	45915	-	protein-coding	SYNPCC7002_RS00210	SYNPCC7002_RS00210	SYNPCC7002_A0041	translocation/assembly module TamB domain-containing protein
gene-SYNPCC7002_RS00215	NC_010475.1	46222	46563	-	protein-coding	SYNPCC7002_RS00215	SYNPCC7002_RS00215	SYNPCC7002_A0042	hypothetical protein
gene-SYNPCC7002_RS00220	NC_010475.1	46832	48373	+	protein-coding	SYNPCC7002_RS00220	SYNPCC7002_RS00220	SYNPCC7002_A0043	FAD-binding oxidoreductase
gene-SYNPCC7002_RS00225	NC_010475.1	48397	49074	-	protein-coding	SYNPCC7002_RS00225	SYNPCC7002_RS00225	SYNPCC7002_A0044	hypothetical protein
gene-SYNPCC7002_RS00230	NC_010475.1	49554	50762	+	protein-coding	SYNPCC7002_RS00230	SYNPCC7002_RS00230	SYNPCC7002_A0045	response regulator
gene-SYNPCC7002_RS00235	NC_010475.1	50845	51207	+	protein-coding	SYNPCC7002_RS00235	SYNPCC7002_RS00235	SYNPCC7002_A0046	response regulator
gene-SYNPCC7002_RS00240	NC_010475.1	51282	51773	+	protein-coding	SYNPCC7002_RS00240	SYNPCC7002_RS00240	SYNPCC7002_A0047	chemotaxis protein CheW
gene-SYNPCC7002_RS00245	NC_010475.1	51869	56263	+	protein-coding	SYNPCC7002_RS00245	SYNPCC7002_RS00245	SYNPCC7002_A0048	GAF domain-containing protein
gene-SYNPCC7002_RS00250	NC_010475.1	56378	59512	+	protein-coding	SYNPCC7002_RS00250	SYNPCC7002_RS00250	SYNPCC7002_A0049	hybrid sensor histidine kinase/response regulator
gene-SYNPCC7002_RS00255	NC_010475.1	59525	60178	-	protein-coding	SYNPCC7002_RS00255	SYNPCC7002_RS00255	SYNPCC7002_A0050	DUF3318 domain-containing protein
gene-SYNPCC7002_RS00260	NC_010475.1	60296	60643	-	protein-coding	SYNPCC7002_RS00260	SYNPCC7002_RS00260	SYNPCC7002_A0051	metalloregulator ArsR/SmtB family transcription factor
gene-SYNPCC7002_RS00265	NC_010475.1	60707	61204	-	protein-coding	accB	SYNPCC7002_RS00265	SYNPCC7002_A0052	acetyl-CoA carboxylase biotin carboxyl carrier protein
gene-SYNPCC7002_RS00270	NC_010475.1	61290	61847	-	protein-coding	efp	SYNPCC7002_RS00270	SYNPCC7002_A0053	elongation factor P
gene-SYNPCC7002_RS00275	NC_010475.1	61952	62608	-	protein-coding	SYNPCC7002_RS00275	SYNPCC7002_RS00275	SYNPCC7002_A0054	ComF family protein
gene-SYNPCC7002_RS00280	NC_010475.1	62605	63024	-	protein-coding	SYNPCC7002_RS00280	SYNPCC7002_RS00280	SYNPCC7002_A0055	type II toxin-antitoxin system VapC family toxin
gene-SYNPCC7002_RS00285	NC_010475.1	63031	63270	-	protein-coding	SYNPCC7002_RS00285	SYNPCC7002_RS00285	SYNPCC7002_A0056	Arc family DNA-binding protein
gene-SYNPCC7002_RS00290	NC_010475.1	63367	64266	-	protein-coding	SYNPCC7002_RS00290	SYNPCC7002_RS00290	SYNPCC7002_A0057	hypothetical protein
gene-SYNPCC7002_RS00295	NC_010475.1	64484	65443	-	protein-coding	accD	SYNPCC7002_RS00295	SYNPCC7002_A0058	acetyl-CoA carboxylase, carboxyltransferase subunit beta
gene-SYNPCC7002_RS00300	NC_010475.1	65470	65679	-	protein-coding	SYNPCC7002_RS00300	SYNPCC7002_RS00300	SYNPCC7002_A0059	hypothetical protein
gene-SYNPCC7002_RS00305	NC_010475.1	65831	66229	+	protein-coding	mutT	SYNPCC7002_RS00305	SYNPCC7002_A0060	8-oxo-dGTP diphosphatase MutT
gene-SYNPCC7002_RS00310	NC_010475.1	66337	67056	-	protein-coding	rnc	SYNPCC7002_RS00310	SYNPCC7002_A0061	ribonuclease III
gene-SYNPCC7002_RS00315	NC_010475.1	67152	67652	+	protein-coding	SYNPCC7002_RS00315	SYNPCC7002_RS00315	SYNPCC7002_A0062	hypothetical protein
gene-SYNPCC7002_RS00320	NC_010475.1	67696	70698	+	protein-coding	SYNPCC7002_RS00320	SYNPCC7002_RS00320	SYNPCC7002_A0063	UPF0182 family protein
gene-SYNPCC7002_RS00325	NC_010475.1	70804	72312	+	protein-coding	SYNPCC7002_RS00325	SYNPCC7002_RS00325	SYNPCC7002_A0064	bifunctional metallophosphatase/5'-nucleotidase
gene-SYNPCC7002_RS00330	NC_010475.1	72394	72648	-	protein-coding	SYNPCC7002_RS00330	SYNPCC7002_RS00330	SYNPCC7002_A0065	chlororespiratory reduction protein 7
gene-SYNPCC7002_RS00335	NC_010475.1	72686	74116	+	protein-coding	SYNPCC7002_RS00335	SYNPCC7002_RS00335	SYNPCC7002_A0066	YdiU family protein
gene-SYNPCC7002_RS00340	NC_010475.1	74161	74340	+	protein-coding	SYNPCC7002_RS00340	SYNPCC7002_RS00340	SYNPCC7002_A0067	PCP reductase family protein
gene-SYNPCC7002_RS00345	NC_010475.1	74343	75515	-	protein-coding	lpxB	SYNPCC7002_RS00345	SYNPCC7002_A0068	lipid-A-disaccharide synthase
gene-SYNPCC7002_RS00350	NC_010475.1	75522	76319	-	protein-coding	lpxA	SYNPCC7002_RS00350	SYNPCC7002_A0069	acyl-ACP--UDP-N-acetylglucosamine O-acyltransferase
gene-SYNPCC7002_RS00355	NC_010475.1	76369	76836	-	protein-coding	fabZ	SYNPCC7002_RS00355	SYNPCC7002_A0070	3-hydroxyacyl-ACP dehydratase FabZ
gene-SYNPCC7002_RS00360	NC_010475.1	76972	77229	-	protein-coding	SYNPCC7002_RS00360	SYNPCC7002_RS00360	SYNPCC7002_A0071	TIGR03643 family protein
gene-SYNPCC7002_RS00365	NC_010475.1	77289	78125	-	protein-coding	ylqF	SYNPCC7002_RS00365	SYNPCC7002_A0072	ribosome biogenesis GTPase YlqF
gene-SYNPCC7002_RS00370	NC_010475.1	78306	79598	-	protein-coding	eno	SYNPCC7002_RS00370	SYNPCC7002_A0073	phosphopyruvate hydratase
gene-SYNPCC7002_RS16605	NC_010475.1	79701	79904	-	protein-coding	SYNPCC7002_RS16605	SYNPCC7002_RS16605	NA	hypothetical protein
gene-SYNPCC7002_RS00375	NC_010475.1	79979	80374	+	protein-coding	rbfA	SYNPCC7002_RS00375	SYNPCC7002_A0074	30S ribosome-binding factor RbfA
gene-SYNPCC7002_RS00380	NC_010475.1	80386	81978	+	protein-coding	SYNPCC7002_RS00380	SYNPCC7002_RS00380	SYNPCC7002_A0075	beta-glucosidase
gene-SYNPCC7002_RS00385	NC_010475.1	82165	82413	+	protein-coding	SYNPCC7002_RS00385	SYNPCC7002_RS00385	SYNPCC7002_A0076	DUF4327 family protein
gene-SYNPCC7002_RS16340	NC_010475.1	82481	82723	+	protein-coding	SYNPCC7002_RS16340	SYNPCC7002_RS16340	SYNPCC7002_A0077	DUF4327 family protein
gene-SYNPCC7002_RS00390	NC_010475.1	82844	83233	-	protein-coding	SYNPCC7002_RS00390	SYNPCC7002_RS00390	SYNPCC7002_A0078	hypothetical protein
gene-SYNPCC7002_RS00395	NC_010475.1	83336	83683	-	protein-coding	SYNPCC7002_RS00395	SYNPCC7002_RS00395	SYNPCC7002_A0079	hypothetical protein
gene-SYNPCC7002_RS17030	NC_010475.1	83787	84305	-	protein-coding	SYNPCC7002_RS17030	SYNPCC7002_RS17030	NA	ion channel
gene-SYNPCC7002_RS17035	NC_010475.1	84224	84586	-	protein-coding	SYNPCC7002_RS17035	SYNPCC7002_RS17035	NA	hypothetical protein
gene-SYNPCC7002_RS00405	NC_010475.1	84600	84794	-	protein-coding	SYNPCC7002_RS00405	SYNPCC7002_RS00405	SYNPCC7002_A0081	heavy-metal-associated domain-containing protein
gene-SYNPCC7002_RS00410	NC_010475.1	84870	85547	-	protein-coding	SYNPCC7002_RS00410	SYNPCC7002_RS00410	SYNPCC7002_A0082	peptidoglycan-binding protein
gene-SYNPCC7002_RS00415	NC_010475.1	85586	86875	-	protein-coding	SYNPCC7002_RS00415	SYNPCC7002_RS00415	SYNPCC7002_A0083	insulinase family protein
gene-SYNPCC7002_RS00420	NC_010475.1	86991	87764	+	protein-coding	SYNPCC7002_RS00420	SYNPCC7002_RS00420	SYNPCC7002_A0084	biotin--[acetyl-CoA-carboxylase] ligase
gene-SYNPCC7002_RS00425	NC_010475.1	87845	88510	+	protein-coding	SYNPCC7002_RS00425	SYNPCC7002_RS00425	SYNPCC7002_A0085	SDR family oxidoreductase
gene-SYNPCC7002_RS00430	NC_010475.1	88528	89505	-	protein-coding	msrP	SYNPCC7002_RS00430	SYNPCC7002_A0086	protein-methionine-sulfoxide reductase catalytic subunit MsrP
gene-SYNPCC7002_RS00435	NC_010475.1	89652	90917	+	protein-coding	SYNPCC7002_RS00435	SYNPCC7002_RS00435	SYNPCC7002_A0087	MFS transporter
gene-SYNPCC7002_RS00440	NC_010475.1	90933	91235	+	protein-coding	SYNPCC7002_RS00440	SYNPCC7002_RS00440	SYNPCC7002_A0088	hypothetical protein
gene-SYNPCC7002_RS00445	NC_010475.1	91267	91764	+	protein-coding	SYNPCC7002_RS00445	SYNPCC7002_RS00445	SYNPCC7002_A0089	2TM domain-containing protein
gene-SYNPCC7002_RS00450	NC_010475.1	91804	92343	+	protein-coding	SYNPCC7002_RS00450	SYNPCC7002_RS00450	SYNPCC7002_A0090	Uma2 family endonuclease
gene-SYNPCC7002_RS00455	NC_010475.1	92387	93304	-	protein-coding	thrB	SYNPCC7002_RS00455	SYNPCC7002_A0091	homoserine kinase
gene-SYNPCC7002_RS00460	NC_010475.1	93327	94130	-	protein-coding	SYNPCC7002_RS00460	SYNPCC7002_RS00460	SYNPCC7002_A0092	hypothetical protein
gene-SYNPCC7002_RS00465	NC_010475.1	94161	94484	-	protein-coding	SYNPCC7002_RS00465	SYNPCC7002_RS00465	SYNPCC7002_A0093	DUF2488 family protein
gene-SYNPCC7002_RS00470	NC_010475.1	94538	95278	-	protein-coding	SYNPCC7002_RS00470	SYNPCC7002_RS00470	SYNPCC7002_A0094	pyridoxine 5'-phosphate synthase
gene-SYNPCC7002_RS17175	NC_010475.1	95308	95436	-	protein-coding	SYNPCC7002_RS17175	SYNPCC7002_RS17175	NA	hypothetical protein
gene-SYNPCC7002_RS00475	NC_010475.1	95582	96871	+	protein-coding	SYNPCC7002_RS00475	SYNPCC7002_RS00475	SYNPCC7002_A0095	glucose-1-phosphate adenylyltransferase
gene-SYNPCC7002_RS00480	NC_010475.1	96991	97545	-	protein-coding	rimI	SYNPCC7002_RS00480	SYNPCC7002_A0096	ribosomal protein S18-alanine N-acetyltransferase
gene-SYNPCC7002_RS00485	NC_010475.1	97815	98096	+	protein-coding	SYNPCC7002_RS00485	SYNPCC7002_RS00485	NA	hypothetical protein
gene-SYNPCC7002_RS00490	NC_010475.1	98278	99582	+	protein-coding	lysA	SYNPCC7002_RS00490	SYNPCC7002_A0097	diaminopimelate decarboxylase
gene-SYNPCC7002_RS00495	NC_010475.1	99746	100627	+	protein-coding	cdaA	SYNPCC7002_RS00495	SYNPCC7002_A0098	diadenylate cyclase CdaA
gene-SYNPCC7002_RS00500	NC_010475.1	100631	101380	+	protein-coding	SYNPCC7002_RS00500	SYNPCC7002_RS00500	SYNPCC7002_A0099	isoprenyl transferase
gene-SYNPCC7002_RS00505	NC_010475.1	101517	101590	+	tRNA	SYNPCC7002_RS00505	SYNPCC7002_RS00505	SYNPCC7002_A0100	tRNA-Asp
gene-SYNPCC7002_RS00510	NC_010475.1	101724	103730	+	protein-coding	SYNPCC7002_RS00510	SYNPCC7002_RS00510	SYNPCC7002_A0101	caspase family protein
gene-SYNPCC7002_RS00515	NC_010475.1	103895	104227	-	protein-coding	SYNPCC7002_RS00515	SYNPCC7002_RS00515	SYNPCC7002_A0103	YbaB/EbfC family nucleoid-associated protein
gene-SYNPCC7002_RS00520	NC_010475.1	104356	105300	-	protein-coding	murB	SYNPCC7002_RS00520	SYNPCC7002_A0104	UDP-N-acetylmuramate dehydrogenase
gene-SYNPCC7002_RS00525	NC_010475.1	105340	106806	-	protein-coding	murC	SYNPCC7002_RS00525	SYNPCC7002_A0105	UDP-N-acetylmuramate--L-alanine ligase
gene-SYNPCC7002_RS00530	NC_010475.1	107108	108124	+	protein-coding	SYNPCC7002_RS00530	SYNPCC7002_RS00530	SYNPCC7002_A0106	type I glyceraldehyde-3-phosphate dehydrogenase
gene-SYNPCC7002_RS00535	NC_010475.1	108257	108601	-	protein-coding	SYNPCC7002_RS00535	SYNPCC7002_RS00535	SYNPCC7002_A0107	hypothetical protein
gene-SYNPCC7002_RS00540	NC_010475.1	108852	109724	-	protein-coding	SYNPCC7002_RS00540	SYNPCC7002_RS00540	SYNPCC7002_A0108	S-methyl-5'-thioadenosine phosphorylase
gene-SYNPCC7002_RS00545	NC_010475.1	109846	110373	+	protein-coding	SYNPCC7002_RS00545	SYNPCC7002_RS00545	SYNPCC7002_A0109	redoxin domain-containing protein
gene-SYNPCC7002_RS00550	NC_010475.1	110430	111740	+	protein-coding	SYNPCC7002_RS00550	SYNPCC7002_RS00550	SYNPCC7002_A0110	2-oxo acid dehydrogenase subunit E2
gene-SYNPCC7002_RS00555	NC_010475.1	111950	112462	-	protein-coding	psbV	SYNPCC7002_RS00555	SYNPCC7002_A0112	photosystem II cytochrome c-550
gene-SYNPCC7002_RS00560	NC_010475.1	112709	113413	-	protein-coding	SYNPCC7002_RS00560	SYNPCC7002_RS00560	SYNPCC7002_A0113	sirohydrochlorin chelatase
gene-SYNPCC7002_RS00565	NC_010475.1	113548	114129	+	protein-coding	SYNPCC7002_RS00565	SYNPCC7002_RS00565	SYNPCC7002_A0114	zf-TFIIB domain-containing protein
gene-SYNPCC7002_RS00570	NC_010475.1	114276	116504	+	protein-coding	SYNPCC7002_RS00570	SYNPCC7002_RS00570	SYNPCC7002_A0115	glycoside hydrolase
gene-SYNPCC7002_RS00575	NC_010475.1	116526	117704	-	protein-coding	SYNPCC7002_RS00575	SYNPCC7002_RS00575	SYNPCC7002_A0116	aldo/keto reductase
gene-SYNPCC7002_RS00580	NC_010475.1	118054	118548	+	protein-coding	SYNPCC7002_RS00580	SYNPCC7002_RS00580	SYNPCC7002_A0117	glutathione peroxidase
gene-SYNPCC7002_RS00585	NC_010475.1	118649	119449	-	protein-coding	SYNPCC7002_RS00585	SYNPCC7002_RS00585	SYNPCC7002_A0118	glutathione S-transferase family protein
gene-SYNPCC7002_RS00590	NC_010475.1	119567	119926	+	protein-coding	SYNPCC7002_RS00590	SYNPCC7002_RS00590	SYNPCC7002_A0119	single-stranded DNA-binding protein
gene-SYNPCC7002_RS00595	NC_010475.1	120060	121814	-	protein-coding	SYNPCC7002_RS00595	SYNPCC7002_RS00595	SYNPCC7002_A0120	ABC transporter ATP-binding protein
gene-SYNPCC7002_RS00600	NC_010475.1	121880	123376	-	protein-coding	SYNPCC7002_RS00600	SYNPCC7002_RS00600	SYNPCC7002_A0121	UDP-N-acetylmuramoyl-L-alanyl-D-glutamate--2,6-diaminopimelate ligase
gene-SYNPCC7002_RS00605	NC_010475.1	123484	124035	-	protein-coding	SYNPCC7002_RS00605	SYNPCC7002_RS00605	SYNPCC7002_A0122	NUDIX hydrolase
gene-SYNPCC7002_RS00610	NC_010475.1	124239	125600	+	protein-coding	der	SYNPCC7002_RS00610	SYNPCC7002_A0123	ribosome biogenesis GTPase Der
gene-SYNPCC7002_RS00615	NC_010475.1	125648	126877	+	protein-coding	SYNPCC7002_RS00615	SYNPCC7002_RS00615	SYNPCC7002_A0124	saccharopine dehydrogenase NADP-binding domain-containing protein
gene-SYNPCC7002_RS00620	NC_010475.1	126983	127825	-	protein-coding	SYNPCC7002_RS00620	SYNPCC7002_RS00620	SYNPCC7002_A0125	formate/nitrite transporter family protein
gene-SYNPCC7002_RS00625	NC_010475.1	128441	129100	-	protein-coding	trmH	SYNPCC7002_RS00625	SYNPCC7002_A0126	tRNA (guanosine(18)-2'-O)-methyltransferase TrmH
gene-SYNPCC7002_RS00630	NC_010475.1	129138	129524	-	protein-coding	SYNPCC7002_RS00630	SYNPCC7002_RS00630	SYNPCC7002_A0127	GFA family protein
gene-SYNPCC7002_RS00635	NC_010475.1	129535	129978	-	protein-coding	SYNPCC7002_RS00635	SYNPCC7002_RS00635	SYNPCC7002_A0128	Rrf2 family transcriptional regulator
gene-SYNPCC7002_RS00640	NC_010475.1	130195	130581	+	protein-coding	SYNPCC7002_RS00640	SYNPCC7002_RS00640	SYNPCC7002_A0129	AbrB family transcriptional regulator
gene-SYNPCC7002_RS00645	NC_010475.1	130653	131291	-	protein-coding	SYNPCC7002_RS00645	SYNPCC7002_RS00645	SYNPCC7002_A0130	bifunctional 4-hydroxy-2-oxoglutarate aldolase/2-dehydro-3-deoxy-phosphogluconate aldolase
gene-SYNPCC7002_RS00650	NC_010475.1	131288	131704	-	protein-coding	SYNPCC7002_RS00650	SYNPCC7002_RS00650	SYNPCC7002_A0131	heavy metal-responsive transcriptional regulator
gene-SYNPCC7002_RS00655	NC_010475.1	131704	131988	-	protein-coding	SYNPCC7002_RS00655	SYNPCC7002_RS00655	SYNPCC7002_A0132	hypothetical protein
