"# background genes","# genes","category","chart color","description","FDR value","genes","network.SUID","nodes.SUID","p-value","PMID","term name","transferred FDR value","year"
"19","6","UniProt Keywords","","Cell cycle","2.17E-8","murC|murE|murD|mraY|murG|murF","163300","4606|3910|4990|1438|1210|5203","4.06E-10","","KW-0131","0.7663540266151471","0"
"19","6","UniProt Keywords","","Cell division","2.17E-8","murC|murE|murD|mraY|murG|murF","163300","4606|3910|4990|1438|1210|5203","4.06E-10","","KW-0132","0.7663540266151471","0"
"7","5","STRING Clusters","","Cell shape","3.87E-8","murC|murE|mraY|murG|murF","163300","4606|3910|1438|1210|5203","6.58E-10","","CL:3671","0.7412289034981089","0"
"612","13","GO Biological Process","","Macromolecule metabolic process","1.04E-7","murC|murE|mviN|mrcA|ACA98643.1|murD|mraY|ACA99598.1|rodA|ACB00308.1|tagO|murG|murF","163300","4606|3910|3841|868|2869|4990|1438|1426|5140|3700|2278|1210|5203","2.62E-9","","GO:0043170","0.698296666070122","0"
"29","6","GO Biological Process","","Cell cycle","1.4E-7","murC|murE|murD|mraY|murG|murF","163300","4606|3910|4990|1438|1210|5203","3.64E-9","","GO:0007049","0.6853871964321762","0"
"8","4","KEGG Pathways","","Vancomycin resistance","6.25E-6","ACA98643.1|mraY|murG|murF","163300","2869|1438|1210|5203","1.29E-7","","syp01502","0.5204119982655925","0"
"15","5","GO Molecular Function","","Acid-amino acid ligase activity","7.57E-6","murC|murE|ACA98643.1|murD|murF","163300","4606|3910|2869|4990|5203","1.26E-8","","GO:0016881","0.5120904120499927","0"
"663","12","GO Biological Process","","Organonitrogen compound metabolic process","9.64E-6","murC|murE|mviN|mrcA|ACA98643.1|murD|mraY|ACA99598.1|rodA|ACB00308.1|murG|murF","163300","4606|3910|3841|868|2869|4990|1438|1426|5140|3700|1210|5203","3.12E-7","","GO:1901564","0.5015922966097169","0"
"44","6","GO Molecular Function","","Ligase activity, forming carbon-nitrogen bonds","1.03E-5","murC|murE|ACA98643.1|murD|ACB00308.1|murF","163300","4606|3910|2869|4990|3700|5203","3.45E-8","","GO:0016879","0.4987162775294828","0"
"5","4","Pfam","","Mur ligase family, glutamate ligase domain","1.39E-5","murC|murE|murD|murF","163300","4606|3910|4990|5203","3.31E-8","","PF02875","0.4856985199745905","0"
"6","4","Pfam","","Mur ligase middle domain","1.39E-5","murC|murE|murD|murF","163300","4606|3910|4990|5203","5.5E-8","","PF08245","0.4856985199745905","0"
"5","4","InterPro Domains","","Mur ligase, C-terminal","3.92E-5","murC|murE|murD|murF","163300","4606|3910|4990|5203","3.31E-8","","IPR004101","0.44067139329795424","0"
"7","4","InterPro Domains","","Mur ligase, central","3.92E-5","murC|murE|murD|murF","163300","4606|3910|4990|5203","8.62E-8","","IPR013221","0.44067139329795424","0"
"7","4","InterPro Domains","","Mur-like, catalytic domain superfamily","3.92E-5","murC|murE|murD|murF","163300","4606|3910|4990|5203","8.62E-8","","IPR036565","0.44067139329795424","0"
"6","4","InterPro Domains","","Mur ligase, C-terminal domain superfamily","3.92E-5","murC|murE|murD|murF","163300","4606|3910|4990|5203","5.5E-8","","IPR036615","0.44067139329795424","0"
"3","3","Pfam","","Mur ligase family, catalytic domain","2.1E-4","murC|murE|murF","163300","4606|3910|5203","1.49E-6","","PF01225","0.3677780705266081","0"
"3","3","InterPro Domains","","Mur ligase, N-terminal catalytic domain","3.5E-4","murC|murE|murF","163300","4606|3910|5203","1.49E-6","","IPR000713","0.3455931955649724","0"
"68","5","UniProt Keywords","","Ligase","3.9E-4","murC|murE|ACA98643.1|murD|murF","163300","4606|3910|2869|4990|5203","1.08E-5","","KW-0436","0.3408935392973501","0"
"27","4","GO Molecular Function","","Hexosyltransferase activity","0.0012","mrcA|ACA99598.1|rodA|murG","163300","868|1426|5140|1210","7.81E-6","","GO:0016758","0.29208187539523756","0"
"9","3","GO Molecular Function","","Peptidoglycan glycosyltransferase activity","0.0019","mrcA|ACA99598.1|rodA","163300","868|1426|5140","1.62E-5","","GO:0008955","0.27212463990471714","0"
"48","4","UniProt Keywords","","Cell inner membrane","0.0019","mviN|mraY|rodA|murG","163300","3841|1438|5140|1210","6.37E-5","","KW-0997","0.27212463990471714","0"
"550","9","KEGG Pathways","","Metabolic pathways","0.0046","murC|murE|ACA98643.1|murD|mraY|ACB00308.1|tagO|murG|murF","163300","4606|3910|2869|4990|1438|3700|2278|1210|5203","1.4E-4","","syp01100","0.23372421683184258","0"
"4","2","KEGG Pathways","","D-Glutamine and D-glutamate metabolism","0.007","murC|murD","163300","4606|4990","2.9E-4","","syp00471","0.2154901959985743","0"
"2","2","GO Molecular Function","","phospho-N-acetylmuramoyl-pentapeptide-transferase activity","0.0116","mraY|tagO","163300","1438|2278","1.2E-4","","GO:0008963","0.19355420107730814","0"
"2","2","Pfam","","Glycosyl transferase family 4","0.0122","mraY|tagO","163300","1438|2278","1.2E-4","","PF00953","0.1913640169325252","0"
"5","2","STRING Clusters","","Mixed, incl. Cell cycle protein, and Penicillin-binding Protein dimerisation domain","0.0217","ACA99598.1|rodA","163300","1426|5140","4.0E-4","","CL:3696","0.16635402661514703","0"
"2","2","InterPro Domains","","Glycosyl transferase, family 4","0.0229","mraY|tagO","163300","1438|2278","1.2E-4","","IPR000715","0.1640164517660112","0"
"2","2","InterPro Domains","","Phospho-N-acetylmuramoyl-pentapeptide transferase, conserved site","0.0229","mraY|tagO","163300","1438|2278","1.2E-4","","IPR018480","0.1640164517660112","0"
"2","2","InterPro Domains","","MurE/MurF, N-terminal","0.0229","murE|murF","163300","3910|5203","1.2E-4","","IPR035911","0.1640164517660112","0"
"12","2","KEGG Pathways","","Lysine biosynthesis","0.0332","murE|murF","163300","3910|5203","0.0017","","syp00300","0.14788619162959638","0"
"7","2","GO Molecular Function","","Penicillin binding","0.0457","mrcA|ACA99598.1","163300","868|1426","6.9E-4","","GO:0008658","0.134008379993015","0"
"213","5","UniProt Keywords","","ATP-binding","0.047","murC|murE|ACA98643.1|murD|murF","163300","4606|3910|2869|4990|5203","0.002","","KW-0067","0.13279021420642825","0"
