"# background genes","# genes","category","chart color","description","FDR value","genes","network.SUID","nodes.SUID","p-value","PMID","term name","transferred FDR value","year"
"3","3","InterPro Domains","","Methionyl/Valyl/Leucyl/Isoleucyl-tRNA synthetase, anticodon-binding","2.6E-4","valS|leuS|ileS","163300","928|979|5785","8.65E-7","","IPR013155","0.3585026652029182","0"
"6","3","STRING Clusters","","Mixed, incl. glycyl-tRNA aminoacylation, and histidine-tRNA ligase activity","3.3E-4","valS|hisS|glyS","163300","928|3580|2647","3.61E-6","","CL:2659","0.34814860601221126","0"
"3","3","Pfam","","Anticodon-binding domain of tRNA ligase","3.6E-4","valS|leuS|ileS","163300","928|979|5785","8.65E-7","","PF08264","0.3443697499232713","0"
"4","3","Pfam","","tRNA synthetases class I (M)","3.6E-4","valS|leuS|ileS","163300","928|979|5785","1.51E-6","","PF09334","0.3443697499232713","0"
"3","3","Pfam","","Leucyl-tRNA synthetase, Domain 2","3.6E-4","valS|leuS|ileS","163300","928|979|5785","8.65E-7","","PF13603","0.3443697499232713","0"
"6","3","InterPro Domains","","Aminoacyl-tRNA synthetase, class I, conserved site","6.1E-4","valS|leuS|ileS","163300","928|979|5785","3.61E-6","","IPR001412","0.3214670164989233","0"
"931","11","GO Cellular Component","","Cytoplasm","7.5E-4","pheT|pheS|valS|tyrS|proS|leuS|ileS|dtd3|hisS|glyS|metG","163300","6217|5386|928|1432|1657|979|5785|517|3580|2647|4411","5.26E-6","","GO:0005737","0.31249387366083","0"
"668","10","COMPARTMENTS","","Cytoplasm","0.0013","pheT|pheS|valS|tyrS|leuS|ileS|dtd3|hisS|glyS|metG","163300","6217|5386|928|1432|979|5785|517|3580|2647|4411","5.04E-6","","GOCC:0005737","0.2886056647693163","0"
"9","3","InterPro Domains","","Aminoacyl-tRNA synthetase, class II","0.0014","pheS|proS|hisS","163300","5386|1657|3580","9.4E-6","","IPR006195","0.2853871964321762","0"
"1011","11","COMPARTMENTS","","Intracellular","0.0017","pheT|pheS|valS|tyrS|proS|leuS|ileS|dtd3|hisS|glyS|metG","163300","6217|5386|928|1432|1657|979|5785|517|3580|2647|4411","1.3E-5","","GOCC:0005622","0.2769551078621726","0"
"2","2","GO Molecular Function","","phenylalanine-tRNA ligase activity","0.0019","pheT|pheS","163300","6217|5386","8.19E-5","","GO:0004826","0.27212463990471714","0"
"2","2","GO Biological Process","","phenylalanyl-tRNA aminoacylation","0.0022","pheT|pheS","163300","6217|5386","8.19E-5","","GO:0006432","0.2657577319177794","0"
"26","3","GO Molecular Function","","tRNA binding","0.0033","pheT|pheS|ileS","163300","6217|5386|5785","1.5E-4","","GO:0000049","0.24814860601221125","0"
"2","2","InterPro Domains","","Methionyl/Leucyl tRNA synthetase","0.0108","leuS|metG","163300","979|4411","8.19E-5","","IPR015413","0.19665762445130502","0"
"3","2","Pfam","","tRNA synthetases class I (I, L, M and V)","0.0143","leuS|metG","163300","979|4411","1.4E-4","","PF00133","0.18446639625349381","0"
"3","2","Pfam","","Anticodon binding domain","0.0143","proS|hisS","163300","1657|3580","1.4E-4","","PF03129","0.18446639625349381","0"
"3","2","InterPro Domains","","Anticodon-binding","0.0161","proS|hisS","163300","1657|3580","1.4E-4","","IPR004154","0.17931741239681503","0"
"3","2","InterPro Domains","","Class I and II aminoacyl-tRNA synthetase, tRNA-binding arm","0.0161","pheS|valS","163300","5386|928","1.4E-4","","IPR010978","0.17931741239681503","0"
"3","2","InterPro Domains","","Anticodon-binding domain superfamily","0.0161","proS|hisS","163300","1657|3580","1.4E-4","","IPR036621","0.17931741239681503","0"
"116","4","GO Molecular Function","","RNA binding","0.0166","pheT|pheS|tyrS|ileS","163300","6217|5386|1432|5785","8.0E-4","","GO:0003723","0.1779891911959945","0"
