"# background genes","# genes","category","chart color","description","FDR value","genes","network.SUID","nodes.SUID","p-value","PMID","term name","transferred FDR value","year"
"9","4","KEGG Pathways","","Base excision repair","8.38E-6","recJ|recJ-2|mutM|mutY","163300","3397|5935|3445|4774","8.64E-8","","syp03410","0.5076755981369724","0"
"19","4","KEGG Pathways","","Homologous recombination","5.09E-5","recA|ruvC|recJ|recJ-2","163300","5767|2908|3397|5935","1.05E-6","","syp03440","0.4293282217663242","0"
"203","7","UniProt Keywords","","Hydrolase","2.0E-4","mutT|mutT-2|ruvC|recJ|recJ-2|mutM|mutY","163300","5596|1837|2908|3397|5935|3445|4774","2.84E-6","","KW-0378","0.36989700043360185","0"
"27","4","GO Biological Process","","DNA recombination","2.7E-4","recA|ruvC|recJ|recJ-2","163300","5767|2908|3397|5935","3.67E-6","","GO:0006310","0.3568636235841013","0"
"426","9","GO Molecular Function","","Hydrolase activity","3.6E-4","mutT|mutT-2|ruvC|recJ|uvrA|recJ-2|mutM|uvrB|mutY","163300","5596|1837|2908|3397|3778|5935|3445|5524|4774","1.81E-6","","GO:0016787","0.3443697499232713","0"
"8","3","UniProt Keywords","","SOS response","3.8E-4","recA|uvrA|uvrB","163300","5767|3778|5524","7.06E-6","","KW-0742","0.342021640338319","0"
"10","3","GO Biological Process","","SOS response","7.1E-4","recA|uvrA|uvrB","163300","5767|3778|5524","1.22E-5","","GO:0009432","0.31487416512809246","0"
"7","3","COMPARTMENTS","","Endodeoxyribonuclease complex","0.0013","ruvC|uvrA|uvrB","163300","2908|3778|5524","5.15E-6","","GOCC:1905347","0.2886056647693163","0"
"80","5","GO Molecular Function","","Nuclease activity","0.0013","ruvC|recJ|uvrA|recJ-2|uvrB","163300","2908|3397|3778|5935|5524","8.65E-6","","GO:0004518","0.2886056647693163","0"
"11","3","GO Molecular Function","","Endodeoxyribonuclease activity","0.0019","ruvC|uvrA|uvrB","163300","2908|3778|5524","1.55E-5","","GO:0004520","0.27212463990471714","0"
"315","7","GO Molecular Function","","Nucleic acid binding","0.0043","recA|ruvC|recJ|uvrA|recJ-2|mutM|uvrB","163300","5767|2908|3397|3778|5935|3445|5524","5.05E-5","","GO:0003676","0.23665315444204132","0"
"6","3","InterPro Domains","","NUDIX hydrolase-like domain superfamily","0.0043","mutT|mutT-2|mutY","163300","5596|1837|4774","3.61E-6","","IPR015797","0.23665315444204132","0"
"2","2","GO Molecular Function","","8-oxo-7,8-dihydroguanosine triphosphate pyrophosphatase activity","0.0056","mutT|mutY","163300","5596|4774","8.19E-5","","GO:0008413","0.22518119729937996","0"
"3","2","GO Biological Process","","Base-excision repair","0.0058","mutM|mutY","163300","3445|4774","1.4E-4","","GO:0006284","0.22365720064370626","0"
"3","2","UniProt Keywords","","DNA excision","0.0058","uvrA|uvrB","163300","3778|5524","1.4E-4","","KW-0228","0.22365720064370626","0"
"3","2","UniProt Keywords","","Excision nuclease","0.0058","uvrA|uvrB","163300","3778|5524","1.4E-4","","KW-0267","0.22365720064370626","0"
"4","2","UniProt Keywords","","Glycosidase","0.0058","mutM|mutY","163300","3445|4774","2.0E-4","","KW-0326","0.22365720064370626","0"
"28","3","UniProt Keywords","","Nuclease","0.0058","ruvC|recJ|recJ-2","163300","2908|3397|5935","1.8E-4","","KW-0540","0.22365720064370626","0"
"3","2","GO Molecular Function","","5-3 exonuclease activity","0.0082","recJ|recJ-2","163300","3397|5935","1.4E-4","","GO:0008409","0.20861861476162832","0"
"6","2","UniProt Keywords","","Exonuclease","0.009","recJ|recJ-2","163300","3397|5935","3.8E-4","","KW-0269","0.2045757490560675","0"
"78","4","GO Molecular Function","","Pyrophosphatase activity","0.01","mutT|uvrA|uvrB|mutY","163300","5596|3778|5524|4774","1.8E-4","","GO:0016462","0.2","0"
"4","2","GO Molecular Function","","DNA N-glycosylase activity","0.0101","mutM|mutY","163300","3445|4774","2.0E-4","","GO:0019104","0.19956786262173573","0"
"5","2","GO Molecular Function","","Damaged DNA binding","0.0114","recA|mutM","163300","5767|3445","2.8E-4","","GO:0003684","0.19430951486635273","0"
"5","2","GO Molecular Function","","Excinuclease ABC activity","0.0114","uvrA|uvrB","163300","3778|5524","2.8E-4","","GO:0009381","0.19430951486635273","0"
"6","2","GO Biological Process","","Nucleotide-excision repair","0.015","uvrA|uvrB","163300","3778|5524","3.8E-4","","GO:0006289","0.1823908740944319","0"
"1079","10","GO Molecular Function","","Binding","0.0163","mutT|recA|ruvC|recJ|uvrA|recJ-2|mutM|uvrB|mutY|phr","163300","5596|5767|2908|3397|3778|5935|3445|5524|4774|3829","4.9E-4","","GO:0005488","0.17878123955960423","0"
"10","2","UniProt Keywords","","Zinc-finger","0.0189","uvrA|mutM","163300","3778|3445","8.9E-4","","KW-0863","0.1723538195826756","0"
"8","2","KEGG Pathways","","Nucleotide excision repair","0.0196","uvrA|uvrB","163300","3778|5524","6.1E-4","","syp03420","0.1707743928643524","0"
"11","2","UniProt Keywords","","DNA recombination","0.0203","recA|ruvC","163300","5767|2908","0.001","","KW-0233","0.1692503962086787","0"
"1469","11","GO Molecular Function","","Catalytic activity","0.0221","mutT|recA|mutT-2|ruvC|recJ|uvrA|recJ-2|mutM|uvrB|mutY|phr","163300","5596|5767|1837|2908|3397|3778|5935|3445|5524|4774|3829","7.7E-4","","GO:0003824","0.1655607726314889","0"
"5","2","COMPARTMENTS","","Excinuclease repair complex","0.0249","uvrA|uvrB","163300","3778|5524","2.8E-4","","GOCC:0009380","0.16038006529042637","0"
"5","2","STRING Clusters","","DNA helicase, ATP-dependent, RecQ type, and Damaged DNA binding","0.0307","recA|mutM","163300","5767|3445","2.8E-4","","CL:2879","0.15128616245228135","0"
"3","2","Pfam","","DHH family","0.0344","recJ|recJ-2","163300","3397|5935","1.4E-4","","PF01368","0.14634415574284698","0"
"3","2","Pfam","","DHHA1 domain","0.0344","recJ|recJ-2","163300","3397|5935","1.4E-4","","PF02272","0.14634415574284698","0"
"2","2","Pfam","","NUDIX domain","0.0344","mutT|mutY","163300","5596|4774","8.19E-5","","PF14815","0.14634415574284698","0"
"5","2","GO Cellular Component","","Excinuclease repair complex","0.0407","uvrA|uvrB","163300","3778|5524","2.8E-4","","GO:0009380","0.13904055907747798","0"
"736","8","GO Molecular Function","","Organic cyclic compound binding","0.0435","recA|ruvC|recJ|uvrA|recJ-2|mutM|uvrB|phr","163300","5767|2908|3397|3778|5935|3445|5524|3829","0.0016","","GO:0097159","0.13615107430453627","0"
"736","8","GO Molecular Function","","Heterocyclic compound binding","0.0435","recA|ruvC|recJ|uvrA|recJ-2|mutM|uvrB|phr","163300","5767|2908|3397|3778|5935|3445|5524|3829","0.0016","","GO:1901363","0.13615107430453627","0"
"5","2","InterPro Domains","","NUDIX hydrolase domain","0.0485","mutT|mutT-2","163300","5596|1837","2.8E-4","","IPR000086","0.13142582613977363","0"
"3","2","InterPro Domains","","DDH domain","0.0485","recJ|recJ-2","163300","3397|5935","1.4E-4","","IPR001667","0.13142582613977363","0"
"3","2","InterPro Domains","","DHHA1 domain","0.0485","recJ|recJ-2","163300","3397|5935","1.4E-4","","IPR003156","0.13142582613977363","0"
"2","2","InterPro Domains","","Bacterial RecJ exonuclease","0.0485","recJ|recJ-2","163300","3397|5935","8.19E-5","","IPR004610","0.13142582613977363","0"
"3","2","InterPro Domains","","NUDIX hydrolase","0.0485","mutT|mutT-2","163300","5596|1837","1.4E-4","","IPR020476","0.13142582613977363","0"
"2","2","InterPro Domains","","Adenine DNA glycosylase, C-terminal","0.0485","mutT|mutY","163300","5596|4774","8.19E-5","","IPR029119","0.13142582613977363","0"
"3","2","InterPro Domains","","DHH phosphoesterase superfamily","0.0485","recJ|recJ-2","163300","3397|5935","1.4E-4","","IPR038763","0.13142582613977363","0"
"2","2","InterPro Domains","","RecJ, OB domain","0.0485","recJ|recJ-2","163300","3397|5935","8.19E-5","","IPR041122","0.13142582613977363","0"
"16","2","KEGG Pathways","","Mismatch repair","0.0491","recJ|recJ-2","163300","3397|5935","0.002","","syp03430","0.13089185078770316","0"
