"# background genes","# genes","category","chart color","description","FDR value","genes","network.SUID","nodes.SUID","p-value","PMID","term name","transferred FDR value","year"
"550","15","KEGG Pathways","","Metabolic pathways","3.74E-7","por|chlG|chlD|ACA98649.1|acsF|chlM|chlH|chlH-2|hemC|chlB|acsF-2|hemL|chlI|chlN|chlL","163300","3088|4321|4546|2845|406|3658|3688|4186|1417|1675|2719|5239|5509|4210|4195","1.16E-8","","syp01100","0.642712839779952","0"
"5","5","GO Molecular Function","","Ligase activity, forming nitrogen-metal bonds, forming coordination complexes","8.26E-7","chlD|chlH|chlH-2|chlI|ACB00827.1","163300","4546|3688|4186|5509|3190","1.38E-9","","GO:0051003","0.6083019952679618","0"
"4","4","GO Molecular Function","","Magnesium chelatase activity","1.55E-5","chlD|chlH-2|chlI|ACB00827.1","163300","4546|4186|5509|3190","7.78E-8","","GO:0016851","0.4809668301829708","0"
"23","5","GO Molecular Function","","Oxidoreductase activity, acting on the CH-CH group of donors","7.51E-5","por|ACA98649.1|chlB|chlN|chlL","163300","3088|2845|1675|4210|4195","5.02E-7","","GO:0016627","0.4124360062995832","0"
"4","3","GO Molecular Function","","Oxidoreductase activity, acting on the CH-CH group of donors, iron-sulfur protein as acceptor","8.8E-4","chlB|chlN|chlL","163300","1675|4210|4195","7.36E-6","","GO:0016636","0.30555173278498315","0"
"7","3","GO Biological Process","","Photosynthesis, dark reaction","0.001","chlB|chlN|chlL","163300","1675|4210|4195","2.49E-5","","GO:0019685","0.3","0"
"8","3","GO Biological Process","","Protoporphyrinogen IX biosynthetic process","0.0014","ACA98649.1|hemC|hemL","163300","2845|1417|5239","3.42E-5","","GO:0006782","0.2853871964321762","0"
"6","3","GO Molecular Function","","Oxidoreductase activity, acting on iron-sulfur proteins as donors","0.0018","chlB|chlN|chlL","163300","1675|4210|4195","1.75E-5","","GO:0016730","0.2744727494896694","0"
"101","6","UniProt Keywords","","Oxidoreductase","0.0023","por|acsF|chlB|acsF-2|chlN|chlL","163300","3088|406|1675|2719|4210|4195","3.19E-5","","KW-0560","0.2638272163982407","0"
"10","3","STRING Clusters","","Porphyrin biosynthesis","0.0042","ACA98649.1|hemC|hemL","163300","2845|1417|5239","5.87E-5","","CL:2170","0.23767507096020996","0"
"1705","18","GO Biological Process","","Cellular process","0.0043","por|chlG|chlD|ACA98649.1|acsF|chlM|chlH|ACA99004.1|chlH-2|hemC|chlB|acsF-2|hemL|chlI|pucC|chlN|chlL|ACB00827.1","163300","3088|4321|4546|2845|406|3658|3688|3691|4186|1417|1675|2719|5239|5509|4267|4210|4195|3190","1.2E-4","","GO:0009987","0.23665315444204132","0"
"29","4","COMPARTMENTS","","Chloroplast","0.0046","chlH|chlH-2|chlI|chlL","163300","3688|4186|5509|4195","4.12E-5","","GOCC:0009507","0.23372421683184258","0"
"6","3","COMPARTMENTS","","Chloroplast stroma","0.0046","chlH|chlH-2|chlI","163300","3688|4186|5509","1.75E-5","","GOCC:0009570","0.23372421683184258","0"
"77","5","UniProt Keywords","","Iron","0.006","acsF|chlB|acsF-2|chlN|chlL","163300","406|1675|2719|4210|4195","1.1E-4","","KW-0408","0.2221848749616356","0"
"1469","17","GO Molecular Function","","Catalytic activity","0.0123","por|chlG|chlD|ACA98649.1|acsF|chlM|chlH|ACA99004.1|chlH-2|hemC|chlB|acsF-2|hemL|chlI|chlN|chlL|ACB00827.1","163300","3088|4321|4546|2845|406|3658|3688|3691|4186|1417|1675|2719|5239|5509|4210|4195|3190","1.4E-4","","GO:0003824","0.19100948885606023","0"
"2","2","GO Molecular Function","","Magnesium-protoporphyrin IX monomethyl ester (oxidative) cyclase activity","0.0169","acsF|acsF-2","163300","406|2719","2.3E-4","","GO:0048529","0.17721132953863267","0"
"5","2","COMPARTMENTS","","Chloroplast inner membrane","0.041","chlH|chlH-2","163300","3688|4186","7.8E-4","","GOCC:0009706","0.13872161432802646","0"
