"# background genes","# genes","category","chart color","description","FDR value","genes","network.SUID","nodes.SUID","p-value","PMID","term name","transferred FDR value","year"
"19","10","UniProt Keywords","","Cell wall biogenesis/degradation","4.53E-16","murB|murC|murE|mviN|ACA98643.1|murD|mraY|rodA|murG|murF","253919","5533|5521|4636|4558|3349|6040|1498|6250|1231|6331","6.35E-18","","KW-0961","1.534390179798717","0"
"131","13","GO Biological Process","","Carbohydrate derivative biosynthetic process","4.65E-14","murB|murC|murE|mviN|ACA98643.1|murD|mraY|ACA99598.1|rodA|ACB00308.1|tagO|murG|murF","253919","5533|5521|4636|4558|3349|6040|1498|1486|6250|4381|2578|1231|6331","8.36E-16","","GO:1901137","1.3332547047110046","0"
"12","8","STRING Clusters","","Cell shape, and POTRA domain","4.94E-13","murB|murC|murE|murD|mraY|ACB00278.1|murG|murF","253919","5533|5521|4636|6040|1498|4639|1231|6331","7.64E-15","","CL:3669","1.2306273051076353","0"
"33","8","GO Biological Process","","Cell division","2.37E-10","murB|murC|murE|murD|mraY|rodA|murG|murF","253919","5533|5521|4636|6040|1498|6250|1231|6331","5.53E-12","","GO:0051301","0.9625251653989896","0"
"7","6","STRING Clusters","","Cell shape","6.87E-10","murB|murC|murE|mraY|murG|murF","253919","5533|5521|4636|1498|1231|6331","1.17E-11","","CL:3671","0.916304326294045","0"
"19","7","UniProt Keywords","","Cell cycle","7.4E-10","murB|murC|murE|murD|mraY|murG|murF","253919","5533|5521|4636|6040|1498|1231|6331","1.38E-11","","KW-0131","0.9130768280269024","0"
"19","7","UniProt Keywords","","Cell division","7.4E-10","murB|murC|murE|murD|mraY|murG|murF","253919","5533|5521|4636|6040|1498|1231|6331","1.38E-11","","KW-0132","0.9130768280269024","0"
"29","7","GO Biological Process","","Cell cycle","6.8E-9","murB|murC|murE|murD|mraY|murG|murF","253919","5533|5521|4636|6040|1498|1231|6331","1.71E-10","","GO:0007049","0.8167491087293763","0"
"392","13","GO Biological Process","","Organonitrogen compound biosynthetic process","2.63E-8","murB|murC|murE|mviN|ACA98643.1|murD|mraY|ACA99598.1|rodA|ACB00308.1|alrA|murG|murF","253919","5533|5521|4636|4558|3349|6040|1498|1486|6250|4381|2806|1231|6331","6.86E-10","","GO:1901566","0.7580044251510242","0"
"556","14","GO Biological Process","","Cellular biosynthetic process","6.93E-8","murB|murC|murE|mviN|ACA98643.1|murD|mraY|ACA99598.1|rodA|ACB00308.1|tagO|alrA|murG|murF","253919","5533|5521|4636|4558|3349|6040|1498|1486|6250|4381|2578|2806|1231|6331","1.87E-9","","GO:0044249","0.7159266765388194","0"
"566","14","GO Biological Process","","Organic substance biosynthetic process","8.55E-8","murB|murC|murE|mviN|ACA98643.1|murD|mraY|ACA99598.1|rodA|ACB00308.1|tagO|alrA|murG|murF","253919","5533|5521|4636|4558|3349|6040|1498|1486|6250|4381|2578|2806|1231|6331","2.38E-9","","GO:1901576","0.7068033885271827","0"
"8","5","KEGG Pathways","","Vancomycin resistance","1.2E-7","ACA98643.1|mraY|alrA|murG|murF","253919","3349|1498|2806|1231|6331","2.47E-9","","syp01502","0.6920818753952375","0"
"15","5","GO Molecular Function","","Acid-amino acid ligase activity","1.75E-5","murC|murE|ACA98643.1|murD|murF","253919","5521|4636|3349|6040|6331","2.91E-8","","GO:0016881","0.47569619513137057","0"
"44","6","GO Molecular Function","","Ligase activity, forming carbon-nitrogen bonds","2.92E-5","murC|murE|ACA98643.1|murD|ACB00308.1|murF","253919","5521|4636|3349|6040|4381|6331","9.77E-8","","GO:0016879","0.4534617148551582","0"
"5","4","Pfam","","Mur ligase family, glutamate ligase domain","3.03E-5","murC|murE|murD|murF","253919","5521|4636|6040|6331","6.28E-8","","PF02875","0.4518557371497695","0"
"6","4","Pfam","","Mur ligase middle domain","3.03E-5","murC|murE|murD|murF","253919","5521|4636|6040|6331","1.04E-7","","PF08245","0.4518557371497695","0"
"5","4","InterPro Domains","","Mur ligase, C-terminal","7.45E-5","murC|murE|murD|murF","253919","5521|4636|6040|6331","6.28E-8","","IPR004101","0.4127843727251707","0"
"7","4","InterPro Domains","","Mur ligase, central","7.45E-5","murC|murE|murD|murF","253919","5521|4636|6040|6331","1.63E-7","","IPR013221","0.4127843727251707","0"
"7","4","InterPro Domains","","Mur-like, catalytic domain superfamily","7.45E-5","murC|murE|murD|murF","253919","5521|4636|6040|6331","1.63E-7","","IPR036565","0.4127843727251707","0"
"6","4","InterPro Domains","","Mur ligase, C-terminal domain superfamily","7.45E-5","murC|murE|murD|murF","253919","5521|4636|6040|6331","1.04E-7","","IPR036615","0.4127843727251707","0"
"550","11","KEGG Pathways","","Metabolic pathways","3.4E-4","murB|murC|murE|ACA98643.1|murD|mraY|ACB00308.1|tagO|alrA|murG|murF","253919","5533|5521|4636|3349|6040|1498|4381|2578|2806|1231|6331","1.04E-5","","syp01100","0.34685210829577445","0"
"3","3","Pfam","","Mur ligase family, catalytic domain","3.8E-4","murC|murE|murF","253919","5521|4636|6331","2.37E-6","","PF01225","0.342021640338319","0"
"3","3","InterPro Domains","","Mur ligase, N-terminal catalytic domain","5.6E-4","murC|murE|murF","253919","5521|4636|6331","2.37E-6","","IPR000713","0.32518119729938","0"
"68","5","UniProt Keywords","","Ligase","8.6E-4","murC|murE|ACA98643.1|murD|murF","253919","5521|4636|3349|6040|6331","2.41E-5","","KW-0436","0.3065501548756432","0"
"27","4","GO Molecular Function","","Hexosyltransferase activity","0.0023","ACA99598.1|rodA|ACB00278.1|murG","253919","1486|6250|4639|1231","1.46E-5","","GO:0016758","0.2638272163982407","0"
"9","3","GO Molecular Function","","Peptidoglycan glycosyltransferase activity","0.0031","ACA99598.1|rodA|ACB00278.1","253919","1486|6250|4639","2.56E-5","","GO:0008955","0.25086383061657275","0"
"48","4","UniProt Keywords","","Cell inner membrane","0.0036","mviN|mraY|rodA|murG","253919","4558|1498|6250|1231","1.2E-4","","KW-0997","0.24436974992327126","0"
"3","2","KEGG Pathways","","D-Alanine metabolism","0.0063","ACA98643.1|alrA","253919","3349|2806","2.6E-4","","syp00473","0.22006594505464183","0"
"415","9","GO Molecular Function","","Anion binding","0.0074","murB|murC|murE|ACA98643.1|murD|ACA99598.1|ACB00278.1|alrA|murF","253919","5533|5521|4636|3349|6040|1486|4639|2806|6331","7.4E-5","","GO:0043168","0.21307682802690237","0"
"4","2","KEGG Pathways","","D-Glutamine and D-glutamate metabolism","0.0075","murC|murD","253919","5521|6040","3.9E-4","","syp00471","0.21249387366083","0"
"6","2","KEGG Pathways","","beta-Lactam resistance","0.0116","ACA99598.1|ACB00278.1","253919","1486|4639","7.2E-4","","syp01501","0.19355420107730814","0"
"2","2","GO Molecular Function","","phospho-N-acetylmuramoyl-pentapeptide-transferase activity","0.0133","mraY|tagO","253919","1498|2578","1.6E-4","","GO:0008963","0.18761483590329142","0"
"460","9","GO Molecular Function","","Small molecule binding","0.0133","murB|murC|murE|ACA98643.1|murD|ACA99598.1|ACB00278.1|alrA|murF","253919","5533|5521|4636|3349|6040|1486|4639|2806|6331","1.7E-4","","GO:0036094","0.18761483590329142","0"
"1705","15","GO Biological Process","","Cellular process","0.0148","murB|murC|murE|mviN|ACA98643.1|murD|mraY|ACA99598.1|rodA|ACB00278.1|ACB00308.1|tagO|alrA|murG|murF","253919","5533|5521|4636|4558|3349|6040|1498|1486|6250|4639|4381|2578|2806|1231|6331","5.3E-4","","GO:0009987","0.18297382846050425","0"
"2","2","Pfam","","Glycosyl transferase family 4","0.0188","mraY|tagO","253919","1498|2578","1.6E-4","","PF00953","0.17258421507363203","0"
"2","2","Pfam","","Penicillin-binding Protein dimerisation domain","0.0188","ACA99598.1|ACB00278.1","253919","1486|4639","1.6E-4","","PF03717","0.17258421507363203","0"
"229","6","UniProt Keywords","","Cytoplasm","0.0214","murB|murC|murE|ACA98643.1|murD|murF","253919","5533|5521|4636|3349|6040|6331","8.0E-4","","KW-0963","0.16695862266508094","0"
"5","2","STRING Clusters","","Mixed, incl. Cell cycle protein, and Penicillin-binding Protein dimerisation domain","0.0291","ACA99598.1|rodA","253919","1486|6250","5.4E-4","","CL:3696","0.15361070110140926","0"
"2","2","InterPro Domains","","Glycosyl transferase, family 4","0.0307","mraY|tagO","253919","1498|2578","1.6E-4","","IPR000715","0.15128616245228135","0"
"2","2","InterPro Domains","","Penicillin-binding protein, dimerisation domain","0.0307","ACA99598.1|ACB00278.1","253919","1486|4639","1.6E-4","","IPR005311","0.15128616245228135","0"
"2","2","InterPro Domains","","Phospho-N-acetylmuramoyl-pentapeptide transferase, conserved site","0.0307","mraY|tagO","253919","1498|2578","1.6E-4","","IPR018480","0.15128616245228135","0"
"2","2","InterPro Domains","","MurE/MurF, N-terminal","0.0307","murE|murF","253919","4636|6331","1.6E-4","","IPR035911","0.15128616245228135","0"
"2","2","InterPro Domains","","Penicillin-binding protein, dimerisation domain superfamily","0.0307","ACA99598.1|ACB00278.1","253919","1486|4639","1.6E-4","","IPR036138","0.15128616245228135","0"
"12","2","KEGG Pathways","","Lysine biosynthesis","0.0317","murE|murF","253919","4636|6331","0.0023","","syp00300","0.14989407377822486","0"
"1469","14","GO Molecular Function","","Catalytic activity","0.0447","murB|murC|murE|ACA98643.1|murD|mraY|ACA99598.1|rodA|ACB00278.1|ACB00308.1|tagO|alrA|murG|murF","253919","5533|5521|4636|3349|6040|1498|1486|6250|4639|4381|2578|2806|1231|6331","8.5E-4","","GO:0003824","0.13496924768680635","0"
"7","2","GO Molecular Function","","Penicillin binding","0.0447","ACA99598.1|ACB00278.1","253919","1486|4639","9.2E-4","","GO:0008658","0.13496924768680635","0"
"697","10","GO Molecular Function","","Ion binding","0.0447","murB|murC|murE|ACA98643.1|murD|mraY|ACA99598.1|ACB00278.1|alrA|murF","253919","5533|5521|4636|3349|6040|1498|1486|4639|2806|6331","7.5E-4","","GO:0043167","0.13496924768680635","0"
