"# background genes","# genes","category","chart color","description","FDR value","genes","network.SUID","nodes.SUID","p-value","PMID","term name","transferred FDR value","year"
"8","5","UniProt Keywords","","Chlorophyll","5.03E-7","psbA|psbC|psbD|psbB|psbA-2","163300","4732|2965|2947|5782|5050","9.4E-9","","KW-0148","0.6298432014944073","0"
"689","16","GO Cellular Component","","Integral component of membrane","5.73E-7","psbZ|psbE|psbJ|psbH|psbN|petD|psbT|psbA|psbC|psbD|psbB|petA|ACB00144.1|psbA-2|psbD-2|psbK","163300","3784|2932|2938|4888|4894|5011|3478|4732|2965|2947|5782|1744|5059|5050|5128|3934","8.02E-8","","GO:0016021","0.624184537803261","0"
"647","16","UniProt Keywords","","Membrane","1.34E-6","psbZ|psbE|psbJ|psbH|psbN|petD|psbT|psbA|psbC|psbD|ycf3|psbB|petA|ACB00144.1|psbA-2|psbK","163300","3784|2932|2938|4888|4894|5011|3478|4732|2965|2947|2395|5782|1744|5059|5050|3934","3.13E-8","","KW-0472","0.5872895201635193","0"
"476","14","COMPARTMENTS","","Membrane","3.8E-6","psbZ|psbE|psbJ|psbH|psbT|psbA|psbC|psbD|psbB|petA|ACB00144.1|psbA-2|psbD-2|psbK","163300","3784|2932|2938|4888|3478|4732|2965|2947|5782|1744|5059|5050|5128|3934","8.7E-8","","GOCC:0016020","0.542021640338319","0"
"602","15","UniProt Keywords","","Transmembrane helix","5.57E-6","psbZ|psbE|psbJ|psbH|psbN|petD|psbT|psbA|psbC|psbD|psbB|petA|ACB00144.1|psbA-2|psbK","163300","3784|2932|2938|4888|4894|5011|3478|4732|2965|2947|5782|1744|5059|5050|3934","1.56E-7","","KW-1133","0.5254144804826271","0"
"406","13","COMPARTMENTS","","Protein-containing complex","5.71E-6","psbZ|psbE|psbJ|psbH|petD|psbT|psbA|psbC|psbD|psbB|psbA-2|psbD-2|psbK","163300","3784|2932|2938|4888|5011|3478|4732|2965|2947|5782|5050|5128|3934","1.52E-7","","GOCC:0032991","0.5243363891754151","0"
"38","6","UniProt Keywords","","Electron transport","6.06E-6","psbE|petD|psbA|psbD|petA|psbA-2","163300","2932|5011|4732|2947|1744|5050","2.26E-7","","KW-0249","0.5217527375833714","0"
"34","6","GO Molecular Function","","Iron ion binding","1.5E-5","psbE|psbA|psbD|petA|psbA-2|psbD-2","163300","2932|4732|2947|1744|5050|5128","1.25E-7","","GO:0005506","0.4823908740944319","0"
"6","4","GO Molecular Function","","Oxygen evolving activity","2.92E-5","psbA|psbD|psbA-2|psbD-2","163300","4732|2947|5050|5128","2.93E-7","","GO:0010242","0.4534617148551582","0"
"5","4","Pfam","","Photosynthetic reaction centre protein","7.4E-5","psbA|psbD|psbA-2|psbD-2","163300","4732|2947|5050|5128","1.76E-7","","PF00124","0.4130768280269024","0"
"10","4","STRING Clusters","","Photosystem II","1.1E-4","psbE|psbC|psbD|psbK","163300","2932|2965|2947|3934","1.37E-6","","CL:1033","0.3958607314841775","0"
"5","3","UniProt Keywords","","Reaction center","3.0E-4","psbZ|psbJ|psbK","163300","3784|2938|3934","1.39E-5","","KW-0674","0.35228787452803373","0"
"5","3","STRING Clusters","","Photosystem II cytochrome b559, N-terminal, and Photosynthetic electron transport in photosystem II","0.001","psbE|psbC|psbD","163300","2932|2965|2947","1.39E-5","","CL:1043","0.3","0"
"27","4","COMPARTMENTS","","Bacterial thylakoid","0.0013","psbZ|psbJ|psbT|psbK","163300","3784|2938|3478|3934","4.01E-5","","GOCC:0030075","0.2886056647693163","0"
"6","3","STRING Clusters","","Reaction center, and Photosystem II","0.0013","psbZ|psbJ|psbT","163300","3784|2938|3478","2.08E-5","","CL:1058","0.2886056647693163","0"
"10","3","COMPARTMENTS","","Plasma membrane-derived thylakoid photosystem II","0.002","psbZ|psbJ|psbK","163300","3784|2938|3934","6.95E-5","","GOCC:0030096","0.2698970004336019","0"
"77","5","UniProt Keywords","","Iron","0.0029","psbE|psbA|psbD|petA|psbA-2","163300","2932|4732|2947|1744|5050","1.5E-4","","KW-0408","0.25376020021010437","0"
"2","2","UniProt Keywords","","Herbicide resistance","0.0042","psbA|psbA-2","163300","4732|5050","2.5E-4","","KW-0359","0.23767507096020996","0"
"3","3","InterPro Domains","","Photosynthetic reaction centre, L/M","0.0059","psbA|psbD|psbA-2","163300","4732|2947|5050","5.01E-6","","IPR000484","0.22291479883578558","0"
"3","3","InterPro Domains","","Photosystem II protein D1/D2 superfamily","0.0059","psbA|psbD|psbA-2","163300","4732|2947|5050","5.01E-6","","IPR036854","0.22291479883578558","0"
"21","3","UniProt Keywords","","Manganese","0.0072","psbA|psbC|psbA-2","163300","4732|2965|5050","4.7E-4","","KW-0464","0.21426675035687315","0"
"4","2","UniProt Keywords","","Calcium","0.0089","psbA|psbA-2","163300","4732|5050","6.3E-4","","KW-0106","0.20506099933550873","0"
"1469","18","GO Biological Process","","Metabolic process","0.0126","psbZ|psbE|psbJ|psbH|psbN|petD|psbT|ACA98985.1|psbA|psbC|psbD|ycf3|psbB|petA|psbA-2|psbD-2|ACB00609.1|psbK","163300","3784|2932|2938|4888|4894|5011|3478|3379|4732|2965|2947|2395|5782|1744|5050|5128|6172|3934","7.92E-5","","GO:0008152","0.18996294548824372","0"
"55","4","COMPARTMENTS","","Plasma membrane protein complex","0.0135","psbZ|psbJ|psbT|psbK","163300","3784|2938|3478|3934","5.1E-4","","GOCC:0098797","0.1869666231504994","0"
"3","2","GO Molecular Function","","Oxidoreductase activity, acting on diphenols and related substances as donors, oxygen as acceptor","0.0279","psbA|psbA-2","163300","4732|5050","4.2E-4","","GO:0016682","0.15543957967264024","0"
"234","6","UniProt Keywords","","Metal-binding","0.0483","psbE|psbA|psbC|psbD|petA|psbA-2","163300","2932|4732|2965|2947|1744|5050","0.0036","","KW-0479","0.1316052869248488","0"
